Config,STOP_LOSS,TRAILING_TRIGGER,TRAILING_DROP,MIN_SCORE,Return,Drawdown,Risk_Adj
Baseline,0.2,0.1,0.05,20.0,25.752489999999995,-10.263999778301159,2.5090111609747527
Optimized,0.15,0.08,0.03,50.0,27.917849999999977,-9.212432922390734,3.0304535441605114
