date,code,name,action,price,shares,total_amt,remaining_cash
2024-10-10,sh588830,科创新能源ETF,BUY,1.227,81400,99987.66557999999,4900012.33442
2024-10-10,sh562580,可选消费ETF,BUY,1.132,88200,99952.22663999998,4800060.10778
2024-10-10,sh511220,城投债ETF海富通,BUY,10.143,9800,99510.74154,4700549.36624
2024-10-10,sh510880,红利ETF,BUY,3.27,30500,99844.7085,4600704.657740001
2024-10-11,sh510880,红利ETF,BUY,3.226,30900,99793.05173999998,4500911.606000001
2024-10-11,sh513190,港股通金融ETF,BUY,1.259,79300,99948.52256999999,4400963.083430001
2024-10-11,sz159974,央企创新ETF富国,BUY,1.595,62600,99956.83169999998,4301006.251730001
2024-10-11,sz159545,恒生红利低波ETF易方达,BUY,1.171,85300,99996.17493,4201010.076800001
2024-10-11,sh513230,港股通消费ETF华夏,BUY,0.873,114400,99981.05831999998,4101029.018480001
2024-10-11,sh512890,红利低波ETF,BUY,1.082,92300,99978.45546,4001050.563020001
2024-10-11,sh512700,银行ETF南方,BUY,1.406,71000,99935.80859999999,3901114.754420001
2024-10-11,sh515290,银行ETF天弘,BUY,1.245,80200,99958.8339,3801155.920520001
2024-10-11,sh515680,央企创新ETF嘉实,BUY,1.489,67000,99872.73929999999,3701283.181220001
2024-10-11,sh513970,恒生消费ETF,BUY,0.866,115300,99959.63478,3601323.546440001
2024-10-14,sh511220,城投债ETF海富通,BUY,10.203,9700,99077.96600999997,3502245.580430001
2024-10-14,sh518600,上海金ETF,BUY,5.718,17400,99602.64251999998,3402642.9379100013
2024-10-14,sz159632,纳斯达克ETF,BUY,1.644,60700,99900.56987999998,3302742.3680300014
2024-10-14,sh513350,标普油气ETF,BUY,1.013,98600,99991.66997999998,3202750.6980500016
2024-10-14,sh512070,证券保险ETF易方达,BUY,0.818,122100,99987.66557999997,3102763.032470002
2024-10-14,sh511800,易方达货币ETF,BUY,100.015,900,90112.51484999999,3012650.517620002
2024-10-14,sz159751,港股通科技ETF鹏华,BUY,0.797,125300,99973.95051,2912676.567110002
2024-10-14,sh511020,国债ETF5至10年,BUY,113.142,800,90613.16495999998,2822063.402150002
2024-10-14,sh513390,纳指100ETF,BUY,1.609,62000,99867.73379999999,2722195.668350002
2024-10-14,sh561060,国企红利ETF,BUY,1.103,90500,99931.30364999999,2622264.3647000017
2024-10-15,sh588830,科创新能源ETF,SELL,1.149,81400,93425.71854,2715690.0832400015
2024-10-15,sh562580,可选消费ETF,SELL,1.1,88200,96913.27800000002,2812603.3612400014
2024-10-15,sh511220,城投债ETF海富通,SELL,10.215,19500,198973.38825,3011576.7494900012
2024-10-15,sh510880,红利ETF,SELL,3.231,61400,198165.17826,3209741.927750001
2024-10-15,sh513190,港股通金融ETF,BUY,1.278,78100,99921.59297999999,3109820.334770001
2024-10-15,sz159787,建材ETF易方达,BUY,0.642,155500,99940.81409999999,3009879.520670001
2024-10-15,sz159745,建材ETF,BUY,0.586,170400,99964.23983999998,2909915.280830001
2024-10-15,sh513810,港股国企ETF,BUY,1.276,78200,99892.96151999998,2810022.319310001
2024-10-15,sz159519,港股国企ETF,BUY,1.291,77300,99904.07372999997,2710118.2455800013
2024-10-15,sz159726,恒生红利ETF,BUY,1.054,94700,99923.59517999999,2610194.650400001
2024-10-15,sh513690,港股红利ETF博时,BUY,0.89,112200,99967.84379999999,2510226.806600001
2024-10-15,sh513530,港股通红利ETF,BUY,1.4,71300,99929.80199999998,2410297.004600001
2024-10-15,sz159923,中证A100ETF大成,BUY,2.29,43600,99953.82839999998,2310343.176200001
2024-10-15,sz159302,港股高股息ETF,BUY,1.078,92600,99932.60508,2210410.571120001
2024-10-16,sh513190,港股通金融ETF,SELL,1.309,157400,205809.95974,2416220.5308600008
2024-10-16,sz159974,央企创新ETF富国,SELL,1.582,62600,98924.26348000001,2515144.794340001
2024-10-16,sz159545,恒生红利低波ETF易方达,SELL,1.191,85300,101480.54847000001,2616625.3428100008
