Strategy,Return,MaxDD
"Baseline (T=20, Top10)",130.94374480321792,-25.246147518680758
Market Timing,49.861219719694795,-12.572735737182539
Dual Momentum,60.231705802693305,-17.878831593216315
Concentration (Top5),128.34304187667834,-25.246147518680758
TimingDualTop5,50.07187806665172,-13.645487418821967
