date,code,name,action,price,shares,total_amt,remaining_cash
2024-10-10,sh588830,科创新能源ETF,BUY,1.227,81400,99987.66557999999,2900012.33442
2024-10-10,sh562580,可选消费ETF,BUY,1.132,88200,99952.22663999998,2800060.10778
2024-10-10,sh511220,城投债ETF海富通,BUY,10.143,9800,99510.74154,2700549.3662400004
2024-10-10,sh510880,红利ETF,BUY,3.27,30500,99844.7085,2600704.65774
2024-10-11,sh510880,红利ETF,BUY,3.226,30900,99793.05173999998,2500911.606
2024-10-11,sh513190,港股通金融ETF,BUY,1.259,79300,99948.52256999999,2400963.08343
2024-10-11,sz159974,央企创新ETF富国,BUY,1.595,62600,99956.83169999998,2301006.25173
2024-10-11,sz159545,恒生红利低波ETF易方达,BUY,1.171,85300,99996.17493,2201010.0768
2024-10-11,sh513230,港股通消费ETF华夏,BUY,0.873,114400,99981.05831999998,2101029.01848
2024-10-11,sh512890,红利低波ETF,BUY,1.082,92300,99978.45546,2001050.56302
2024-10-11,sh512700,银行ETF南方,BUY,1.406,71000,99935.80859999999,1901114.7544200001
2024-10-11,sh515290,银行ETF天弘,BUY,1.245,80200,99958.8339,1801155.9205200002
2024-10-11,sh515680,央企创新ETF嘉实,BUY,1.489,67000,99872.73929999999,1701283.1812200001
2024-10-11,sh513970,恒生消费ETF,BUY,0.866,115300,99959.63478,1601323.5464400002
2024-10-14,sh588830,科创新能源ETF,SELL,1.177,81400,95702.41142,1697025.9578600002
2024-10-14,sh562580,可选消费ETF,SELL,1.117,88200,98411.02866,1795436.9865200003
2024-10-14,sh511220,城投债ETF海富通,SELL,10.203,9800,99879.41166,1895316.3981800003
2024-10-14,sh510880,红利ETF,SELL,3.312,61400,203133.10752,2098449.5057
2024-10-14,sh513190,港股通金融ETF,SELL,1.322,79300,104719.28194,2203168.78764
2024-10-14,sz159974,央企创新ETF富国,SELL,1.627,62600,101738.16477999999,2304906.95242
2024-10-14,sz159545,恒生红利低波ETF易方达,SELL,1.212,85300,103269.87804,2408176.83046
2024-10-14,sh513230,港股通消费ETF华夏,SELL,0.878,114400,100332.71248,2508509.54294
2024-10-14,sh512890,红利低波ETF,SELL,1.113,92300,102616.89710999999,2611126.44005
2024-10-14,sh512700,银行ETF南方,SELL,1.457,71000,103333.2083,2714459.64835
2024-10-14,sh515290,银行ETF天弘,SELL,1.287,80200,103103.86086,2817563.50921
2024-10-14,sh515680,央企创新ETF嘉实,SELL,1.523,67000,101928.7549,2919492.26411
2024-10-14,sh513970,恒生消费ETF,SELL,0.87,115300,100200.6579,3019692.92201
2024-10-14,sh511220,城投债ETF海富通,BUY,10.203,9700,99077.96600999997,2920614.956
2024-10-14,sh518600,上海金ETF,BUY,5.718,17400,99602.64251999998,2821012.31348
2024-10-14,sz159632,纳斯达克ETF,BUY,1.644,60700,99900.56987999998,2721111.7436
2024-10-14,sh513350,标普油气ETF,BUY,1.013,98600,99991.66997999998,2621120.0736200004
2024-10-14,sh512070,证券保险ETF易方达,BUY,0.818,122100,99987.66557999997,2521132.4080400006
2024-10-14,sh511800,易方达货币ETF,BUY,100.015,900,90112.51484999999,2431019.8931900007
2024-10-14,sz159751,港股通科技ETF鹏华,BUY,0.797,125300,99973.95051,2331045.942680001
2024-10-14,sh511020,国债ETF5至10年,BUY,113.142,800,90613.16495999998,2240432.7777200006
2024-10-14,sh513390,纳指100ETF,BUY,1.609,62000,99867.73379999999,2140565.0439200005
2024-10-14,sh561060,国企红利ETF,BUY,1.103,90500,99931.30364999999,2040633.7402700006
2024-10-15,sh513190,港股通金融ETF,BUY,1.278,78100,99921.59297999999,1940712.1472900007
2024-10-15,sz159787,建材ETF易方达,BUY,0.642,155500,99940.81409999999,1840771.3331900006
2024-10-15,sz159745,建材ETF,BUY,0.586,170400,99964.23983999998,1740807.0933500007
2024-10-15,sh513810,港股国企ETF,BUY,1.276,78200,99892.96151999998,1640914.1318300008
2024-10-15,sz159519,港股国企ETF,BUY,1.291,77300,99904.07372999997,1541010.0581000007
2024-10-15,sz159726,恒生红利ETF,BUY,1.054,94700,99923.59517999999,1441086.4629200008
2024-10-15,sh513690,港股红利ETF博时,BUY,0.89,112200,99967.84379999999,1341118.6191200009
2024-10-15,sh513530,港股通红利ETF,BUY,1.4,71300,99929.80199999998,1241188.817120001
2024-10-15,sz159923,中证A100ETF大成,BUY,2.29,43600,99953.82839999998,1141234.988720001
2024-10-15,sz159302,港股高股息ETF,BUY,1.078,92600,99932.60508,1041302.383640001
2024-10-16,sh511220,城投债ETF海富通,BUY,10.217,9700,99213.91539,942088.468250001
2024-10-16,sh518600,上海金ETF,BUY,5.794,17200,99766.42247999998,842322.045770001
2024-10-16,sz159632,纳斯达克ETF,BUY,1.651,60500,99995.37404999998,742326.671720001
2024-10-16,sh511800,易方达货币ETF,BUY,100.016,900,90113.41584,652213.255880001
2024-10-16,sh513030,德国ETF,BUY,1.443,69200,99965.44115999999,552247.8147200011
2024-10-16,sh511020,国债ETF5至10年,BUY,113.238,800,90690.04943999999,461557.7652800011
2024-10-16,sz159816,0-4地债ETF,BUY,111.9,800,89618.472,371939.2932800011
2024-10-16,sh513390,纳指100ETF,BUY,1.616,61800,99978.65568,271960.63760000106
2024-10-16,sh513800,日本东证指数ETF南方,BUY,1.363,73200,99881.34876,172079.28884000107
2024-10-16,sh511030,公司债ETF,BUY,10.535,9400,99137.93189999998,72941.35694000109
2024-10-17,sh511220,城投债ETF海富通,SELL,10.216,19400,197972.39056,270913.7475000011
2024-10-17,sh518600,上海金ETF,SELL,5.823,34600,201254.17662,472167.92412000115
2024-10-17,sz159632,纳斯达克ETF,SELL,1.657,121200,200607.48876,672775.4128800011
2024-10-17,sh513350,标普油气ETF,SELL,0.978,98600,96324.72612,769100.1390000011
2024-10-17,sh512070,证券保险ETF易方达,SELL,0.791,122100,96474.86079,865574.9997900012
2024-10-17,sh511800,易方达货币ETF,SELL,100.025,1800,179846.9505,1045421.9502900012
2024-10-17,sz159751,港股通科技ETF鹏华,SELL,0.766,125300,95874.22222000001,1141296.1725100013
2024-10-17,sh511020,国债ETF5至10年,SELL,113.35,1600,181160.50400000002,1322456.6765100013
2024-10-17,sh513390,纳指100ETF,SELL,1.621,123800,200459.05221999998,1522915.7287300013
2024-10-17,sh561060,国企红利ETF,SELL,1.073,90500,96999.68285,1619915.4115800012
2024-10-17,sh513190,港股通金融ETF,BUY,1.292,77300,99981.45876,1519933.9528200012
2024-10-17,sh518600,上海金ETF,BUY,5.823,17100,99682.83063,1420251.1221900012
2024-10-17,sh512890,红利低波ETF,BUY,1.096,91100,99955.43015999999,1320295.6920300012
2024-10-17,sh512700,银行ETF南方,BUY,1.441,69300,99971.14743,1220324.5446000013
2024-10-17,sh515290,银行ETF天弘,BUY,1.275,78300,99942.31575,1120382.2288500012
2024-10-17,sz159787,建材ETF易方达,BUY,0.639,156300,99985.56326999998,1020396.6655800012
2024-10-17,sh517900,银行AH优选ETF,BUY,1.242,80400,99966.64248,920430.0231000012
2024-10-17,sz159547,红利低波ETF华夏,BUY,1.131,88300,99977.15402999999,820452.8690700012
2024-10-17,sz159745,建材ETF,BUY,0.586,170400,99964.23983999998,720488.6292300012
2024-10-17,sh560150,红利低波ETF泰康,BUY,1.092,91400,99918.58967999999,620570.0395500013
2024-10-18,sh513190,港股通金融ETF,SELL,1.328,155400,206144.19168000002,826714.2312300013
2024-10-18,sz159787,建材ETF易方达,SELL,0.646,311800,201201.23492000002,1027915.4661500014
2024-10-18,sz159745,建材ETF,SELL,0.591,340800,201191.24592,1229106.7120700013
2024-10-18,sh513810,港股国企ETF,SELL,1.298,78200,101391.94604000001,1330498.6581100014
2024-10-18,sz159519,港股国企ETF,SELL,1.311,77300,101228.82566999999,1431727.4837800013
2024-10-18,sz159726,恒生红利ETF,SELL,1.067,94700,100933.75060999999,1532661.2343900013
2024-10-18,sh513690,港股红利ETF博时,SELL,0.896,112200,100420.61568,1633081.8500700013
2024-10-18,sh513530,港股通红利ETF,SELL,1.43,71300,101846.8451,1734928.6951700014
2024-10-18,sz159923,中证A100ETF大成,SELL,1.799,43600,78350.11996,1813278.8151300014
2024-10-18,sz159302,港股高股息ETF,SELL,1.096,92600,101377.96144000001,1914656.7765700014
2024-10-18,sz159586,计算机ETF南方,BUY,1.16,86100,99985.86359999998,1814670.9129700013
2024-10-18,sh516770,游戏ETF华泰柏瑞,BUY,1.02,97900,99967.84379999999,1714703.0691700014
2024-10-18,sh516010,游戏ETF,BUY,0.991,100700,99903.47306999998,1614799.5961000014
2024-10-18,sh516100,金融科技ETF华夏,BUY,1.164,85800,99981.05831999998,1514818.5377800013
2024-10-18,sh513290,纳指生物科技ETF,BUY,1.245,80200,99958.8339,1414859.7038800013
2024-10-18,sz159725,线上消费ETF,BUY,0.719,138900,99978.95600999998,1314880.7478700012
2024-10-18,sh513650,标普500ETF南方,BUY,1.51,66100,99920.79209999999,1214959.9557700013
2024-10-18,sh513730,东南亚科技ETF,BUY,1.259,79300,99948.52256999999,1115011.4332000013
2024-10-18,sz159509,纳指科技ETF,BUY,1.571,63500,99868.23434999998,1015143.1988500012
2024-10-18,sh513850,美国50ETF易方达,BUY,1.314,76000,99973.85039999998,915169.3484500012
2024-10-21,sh518600,上海金ETF,SELL,5.938,17100,101428.10621999999,1016597.4546700012
2024-10-21,sh513030,德国ETF,SELL,1.445,69200,99884.00660000001,1116481.4612700013
2024-10-21,sz159816,0-4地债ETF,SELL,111.9,800,89421.528,1205902.9892700012
2024-10-21,sh513800,日本东证指数ETF南方,SELL,1.353,73200,98930.65644,1304833.6457100012
2024-10-21,sh511030,公司债ETF,SELL,10.542,9400,98985.79572000001,1403819.4414300013
2024-10-21,sh512890,红利低波ETF,SELL,1.092,91100,99371.77068000002,1503191.2121100014
2024-10-21,sh512700,银行ETF南方,SELL,1.428,69300,98851.54355999999,1602042.7556700013
2024-10-21,sh515290,银行ETF天弘,SELL,1.263,78300,98784.11781,1700826.8734800012
2024-10-21,sh517900,银行AH优选ETF,SELL,1.241,80400,99666.64596000001,1800493.5194400013
2024-10-21,sz159547,红利低波ETF华夏,SELL,1.126,88300,99316.43161999999,1899809.9510600013
2024-10-21,sh560150,红利低波ETF泰康,SELL,1.09,91400,99516.41140000001,1999326.3624600014
2024-10-21,sz159586,计算机ETF南方,SELL,1.188,86100,102174.28451999999,2101500.6469800016
2024-10-21,sh516770,游戏ETF华泰柏瑞,SELL,1.064,97900,104051.01784,2205551.6648200015
2024-10-21,sh516010,游戏ETF,SELL,1.031,100700,103707.49613,2309259.1609500013
2024-10-21,sh516100,金融科技ETF华夏,SELL,1.17,85800,100275.5754,2409534.7363500013
2024-10-21,sh513290,纳指生物科技ETF,SELL,1.25,80200,100139.725,2509674.4613500014
2024-10-21,sz159725,线上消费ETF,SELL,0.741,138900,102811.68260999999,2612486.1439600014
2024-10-21,sh513650,标普500ETF南方,SELL,1.509,66100,99635.18061,2712121.3245700016
2024-10-21,sh513730,东南亚科技ETF,SELL,1.267,79300,100362.57959,2812483.904160002
2024-10-21,sz159509,纳指科技ETF,SELL,1.562,63500,99077.8943,2911561.7984600016
2024-10-21,sh513850,美国50ETF易方达,SELL,1.315,76000,99830.066,3011391.8644600017
2024-10-21,sz159801,芯片ETF广发,BUY,0.601,166200,99996.07481999998,2911395.789640002
2024-10-21,sh560800,数字经济ETF,BUY,0.735,135900,99996.37514999999,2811399.4144900017
2024-10-21,sh588370,科创50增强ETF南方,BUY,0.983,101600,99982.66007999999,2711416.754410002
2024-10-21,sz159546,集成电路ETF,BUY,1.252,79700,99894.16283999998,2611522.591570002
2024-10-21,sh588990,科创芯片ETF博时,BUY,1.496,66700,99892.96151999998,2511629.630050002
2024-10-21,sh560780,半导体设备ETF广发,BUY,1.128,88500,99937.81079999998,2411691.819250002
2024-10-21,sh588200,科创芯片ETF,BUY,1.426,70000,99929.80199999998,2311762.017250002
2024-10-21,sz159813,半导体ETF,BUY,0.776,128700,99981.05831999998,2211780.958930002
2024-10-21,sh588000,科创50ETF,BUY,1.05,95100,99964.84049999999,2111816.118430002
2024-10-21,sh562590,半导体设备ETF华夏,BUY,1.113,89700,99945.91970999999,2011870.198720002
2024-10-22,sz159801,芯片ETF广发,BUY,0.595,167800,99950.82509999999,1911919.373620002
2024-10-22,sz159546,集成电路ETF,BUY,1.226,81400,99906.17603999998,1812013.197580002
2024-10-22,sz159779,消费电子50ETF,BUY,0.774,129000,99955.83059999999,1712057.366980002
2024-10-22,sz159813,半导体ETF,BUY,0.765,130500,99942.31575,1612115.051230002
2024-10-22,sz159582,半导体产业ETF,BUY,1.415,70500,99867.23324999999,1512247.817980002
2024-10-22,sh561310,消电ETF,BUY,0.79,126400,99965.84159999999,1412281.976380002
2024-10-22,sh516920,芯片50ETF,BUY,0.709,140800,99937.00991999998,1312344.9664600021
2024-10-22,sh561980,半导体设备ETF,BUY,1.274,78400,99991.46975999999,1212353.496700002
2024-10-22,sh588110,科创成长ETF,BUY,1.053,94800,99934.20683999998,1112419.2898600022
2024-10-22,sh512760,芯片ETF,BUY,1.104,90400,99911.38175999999,1012507.9081000022
2024-10-23,sh588830,科创新能源ETF,BUY,1.288,77500,99929.80199999998,912578.1061000022
2024-10-23,sz159618,光伏ETF指数基金,BUY,0.684,146000,99973.8504,812604.2557000022
2024-10-23,sz159725,线上消费ETF,BUY,0.745,134000,99939.813,712664.4427000022
2024-10-23,sh516190,传媒ETF华夏,BUY,0.932,107100,99926.99892,612737.4437800022
2024-10-23,sh516160,新能源ETF,BUY,2.133,46800,99934.20683999998,512803.2369400022
2024-10-23,sz159609,光伏ETF浦银,BUY,0.499,200100,99959.73488999998,412843.5020500022
2024-10-23,sz159863,光伏ETF鹏华,BUY,0.571,174900,99977.75468999999,312865.74736000225
2024-10-23,sh516880,光伏50ETF,BUY,0.722,138300,99962.43785999998,212903.30950000227
2024-10-23,sz159861,碳中和50ETF,BUY,0.914,109200,99918.58967999999,112984.71982000228
2024-10-23,sz159875,新能源ETF,BUY,0.507,197000,99988.8669,12995.85292000229
2024-10-24,sz159801,芯片ETF广发,SELL,0.583,334000,194507.8058,207503.65872000228
2024-10-24,sh560800,数字经济ETF,SELL,0.713,135900,96790.11362999999,304293.77235000225
2024-10-24,sh588370,科创50增强ETF南方,SELL,0.959,101600,97327.22215999999,401620.99451000226
2024-10-24,sz159546,集成电路ETF,SELL,1.213,161100,195199.34427000003,596820.3387800023
2024-10-24,sh588990,科创芯片ETF博时,SELL,1.456,66700,97008.37328,693828.7120600024
2024-10-24,sh560780,半导体设备ETF广发,SELL,1.112,88500,98303.74680000002,792132.4588600025
2024-10-24,sh588200,科创芯片ETF,SELL,1.387,70000,96983.201,889115.6598600025
2024-10-24,sz159813,半导体ETF,SELL,0.752,259200,194703.98976,1083819.6496200024
2024-10-24,sh588000,科创50ETF,SELL,1.029,95100,97750.25631,1181569.9059300025
2024-10-24,sh562590,半导体设备ETF华夏,SELL,1.084,89700,97127.84172,1278697.7476500024
2024-10-24,sh512660,军工ETF,BUY,1.06,94200,99961.8372,1178735.9104500024
2024-10-24,sz159618,光伏ETF指数基金,BUY,0.661,151100,99986.96480999999,1078748.9456400024
2024-10-24,sz159609,光伏ETF浦银,BUY,0.481,207600,99965.44115999997,978783.5044800024
2024-10-24,sh512710,军工龙头ETF,BUY,0.652,153200,99996.27504,878787.2294400025
2024-10-24,sh512670,国防ETF,BUY,0.729,137000,99982.86029999999,778804.3691400025
2024-10-24,sh512560,军工ETF易方达,BUY,0.644,155100,99994.27283999999,678810.0963000025
2024-10-24,sz159863,光伏ETF鹏华,BUY,0.551,181200,99951.02532,578859.0709800025
2024-10-24,sh516880,光伏50ETF,BUY,0.693,144100,99971.14742999998,478887.9235500025
2024-10-24,sz159864,光伏50ETF,BUY,0.526,189900,99997.27614,378890.64741000254
2024-10-24,sh515790,光伏ETF,BUY,0.829,120400,99921.39275999997,278969.2546500026
2024-10-25,sz159779,消费电子50ETF,SELL,0.765,129000,98576.4465,377545.7011500026
2024-10-25,sz159582,半导体产业ETF,SELL,1.407,70500,99084.38715,476630.0883000026
2024-10-25,sh561310,消电ETF,SELL,0.785,126400,99114.8536,575744.9419000027
2024-10-25,sh516920,芯片50ETF,SELL,0.701,140800,98592.22911999999,674337.1710200027
2024-10-25,sh561980,半导体设备ETF,SELL,1.27,78400,99458.4752,773795.6462200027
2024-10-25,sh588110,科创成长ETF,SELL,1.047,94800,99146.41884,872942.0650600027
2024-10-25,sh512760,芯片ETF,SELL,1.097,90400,99059.71432,972001.7793800028
2024-10-25,sh562580,可选消费ETF,BUY,1.152,86700,99988.26623999998,872013.5131400027
2024-10-25,sh560590,中证1000增强ETF鹏华,BUY,1.066,93700,99994.07262,772019.4405200027
2024-10-25,sz159743,湖北ETF,BUY,0.851,117300,99932.10453,672087.3359900027
2024-10-25,sz159555,2000增强ETF,BUY,1.013,98600,99991.66997999998,572095.6660100027
2024-10-25,sz159532,中证2000ETF易方达,BUY,1.043,95700,99924.89660999998,472170.7694000027
2024-10-25,sz159535,中证2000ETF嘉实,BUY,1.008,99000,99901.77119999999,372268.9982000027
2024-10-25,sh562660,中证2000ETF华夏,BUY,1.068,93500,99967.84379999999,272301.15440000274
2024-10-25,sz159546,集成电路ETF,BUY,1.221,81800,99987.66557999999,172313.48882000276
2024-10-25,sh588990,科创芯片ETF博时,BUY,1.458,68500,99982.86029999999,72330.62852000278
2024-10-28,sh588830,科创新能源ETF,SELL,1.34,77500,103735.765,176066.39352000278
2024-10-28,sz159618,光伏ETF指数基金,SELL,0.707,297100,209818.64532999997,385885.03885000275
2024-10-28,sz159725,线上消费ETF,SELL,0.768,134000,102798.7968,488683.83565000276
2024-10-28,sh516190,传媒ETF华夏,SELL,0.958,107100,102488.93802,591172.7736700028
2024-10-28,sh516160,新能源ETF,SELL,2.192,46800,102472.75584000001,693645.5295100028
2024-10-28,sz159609,光伏ETF浦银,SELL,0.518,407700,210956.29254,904601.8220500029
2024-10-28,sz159863,光伏ETF鹏华,SELL,0.592,356100,210579.30768,1115181.129730003
2024-10-28,sh516880,光伏50ETF,SELL,0.743,282400,209592.39448000002,1324773.524210003
2024-10-28,sz159861,碳中和50ETF,SELL,0.936,109200,102098.76768000002,1426872.291890003
2024-10-28,sz159875,新能源ETF,SELL,0.52,197000,102327.316,1529199.6078900031
2024-10-28,sh512660,军工ETF,SELL,1.088,94200,102376.86144000001,1631576.469330003
2024-10-28,sh512710,军工龙头ETF,SELL,0.666,153200,101918.96568000001,1733495.435010003
2024-10-28,sh512670,国防ETF,SELL,0.744,137000,101815.8792,1835311.314210003
2024-10-28,sh512560,军工ETF易方达,SELL,0.659,155100,102098.46801000001,1937409.782220003
2024-10-28,sz159864,光伏50ETF,SELL,0.57,189900,108123.93269999999,2045533.714920003
2024-10-28,sh515790,光伏ETF,SELL,0.891,120400,107158.39596000001,2152692.110880003
2024-10-28,sh562580,可选消费ETF,SELL,1.138,86700,98556.06894,2251248.179820003
2024-10-28,sh560590,中证1000增强ETF鹏华,SELL,1.08,93700,101084.6844,2352332.864220003
2024-10-28,sz159743,湖北ETF,SELL,0.876,117300,102641.76972000001,2454974.6339400033
2024-10-28,sz159555,2000增强ETF,SELL,1.042,98600,102628.18467999999,2557602.8186200033
2024-10-28,sz159532,中证2000ETF易方达,SELL,1.074,95700,102668.74002,2660271.558640003
2024-10-28,sz159535,中证2000ETF嘉实,SELL,1.041,99000,102945.63509999998,2763217.1937400033
2024-10-28,sh562660,中证2000ETF华夏,SELL,1.097,93500,102456.67355,2865673.867290003
2024-10-28,sz159546,集成电路ETF,SELL,1.218,81800,99522.80436,2965196.671650003
2024-10-28,sh588990,科创芯片ETF博时,SELL,1.449,68500,99147.31785,3064343.9895000034
2024-10-28,sh588830,科创新能源ETF,BUY,1.34,74500,99939.813,2964404.1765000033
2024-10-28,sh588010,科创新材料ETF,BUY,0.596,167600,99999.47855999997,2864404.697940003
2024-10-28,sz159752,新能源龙头ETF,BUY,0.529,188800,99985.06272,2764419.6352200033
2024-10-28,sz159618,光伏ETF指数基金,BUY,0.707,141200,99938.21123999998,2664481.423980003
2024-10-28,sh516160,新能源ETF,BUY,2.192,45500,99845.7096,2564635.714380003
2024-10-28,sz159609,光伏ETF浦银,BUY,0.518,192800,99980.25744,2464655.456940003
2024-10-28,sh588160,科创新材料ETF南方,BUY,0.603,165600,99966.64248,2364688.8144600033
2024-10-28,sz159863,光伏ETF鹏华,BUY,0.592,168700,99980.25743999999,2264708.5570200034
2024-10-28,sh516880,光伏50ETF,BUY,0.743,134400,99969.04511999998,2164739.5119000035
2024-10-28,sz159875,新能源ETF,BUY,0.52,192000,99949.824,2064789.6879000035
2024-10-29,sh560220,中证2000ETF广发,BUY,1.037,96300,99972.94940999997,1964816.7384900036
2024-10-29,sz159553,中证2000增强ETF海富通,BUY,1.126,88700,99986.06381999998,1864830.6746700036
2024-10-29,sz159543,国证2000ETF基金,BUY,0.95,105100,99954.82949999999,1764875.8451700036
2024-10-29,sh563300,中证2000ETF,BUY,0.998,100000,99909.77999999998,1664966.0651700036
2024-10-29,sz159555,2000增强ETF,BUY,1.016,98300,99982.66007999999,1564983.4050900035
2024-10-29,sz159743,湖北ETF,BUY,0.866,115300,99959.63478,1465023.7703100035
2024-10-29,sz159532,中证2000ETF易方达,BUY,1.05,95100,99964.84049999999,1365058.9298100036
2024-10-29,sz159533,中证2000ETF基金,BUY,1.127,88600,99962.03741999998,1265096.8923900037
2024-10-29,sz159531,中证2000ETF,BUY,0.992,100600,99904.97471999998,1165191.9176700036
2024-10-29,sh516300,中证1000ETF华泰柏瑞,BUY,2.398,41600,99866.53248,1065325.3851900036
2024-10-30,sh516000,大数据ETF华夏,BUY,0.854,116900,99942.41585999998,965382.9693300036
2024-10-30,sh515400,大数据ETF,BUY,0.803,124300,99922.69419,865460.2751400037
2024-10-30,sh560300,电信50ETF,BUY,1.349,74000,99935.80859999999,765524.4665400037
2024-10-30,sz159747,香港科技ETF南方,BUY,1.124,88800,99920.99232,665603.4742200037
2024-10-30,sz159741,恒生科技ETF嘉实,BUY,0.605,165100,99995.37404999998,565608.1001700037
2024-10-30,sh513180,恒生科技指数ETF,BUY,0.613,162900,99967.54346999999,465640.55670000374
2024-10-30,sh560690,电信ETF鹏华,BUY,1.299,76800,99872.93951999999,365767.6171800038
2024-10-30,sh513330,恒生互联网ETF,BUY,0.436,229100,99997.47636,265770.1408200038
2024-10-30,sh513260,恒生科技ETF基金,BUY,1.164,85800,99981.05831999998,165789.08250000383
2024-10-30,sz159605,中概互联ETF,BUY,0.95,105100,99954.82949999999,65834.25300000384
2024-10-31,sh588830,科创新能源ETF,SELL,1.293,74500,96222.53865,162056.79165000384
2024-10-31,sh588010,科创新材料ETF,SELL,0.59,167600,98775.2276,260832.01925000385
2024-10-31,sz159752,新能源龙头ETF,SELL,0.519,188800,97879.41408,358711.43333000387
2024-10-31,sz159618,光伏ETF指数基金,SELL,0.716,141200,100987.99088,459699.42421000387
2024-10-31,sh516160,新能源ETF,SELL,2.164,45500,98353.6918,558053.1160100038
2024-10-31,sz159609,光伏ETF浦银,SELL,0.525,192800,101108.658,659161.7740100038
2024-10-31,sh588160,科创新材料ETF南方,SELL,0.595,165600,98423.6148,757585.3888100038
2024-10-31,sz159863,光伏ETF鹏华,SELL,0.601,168700,101277.17242999999,858862.5612400038
2024-10-31,sh516880,光伏50ETF,SELL,0.755,134400,101360.3808,960222.9420400038
2024-10-31,sz159875,新能源ETF,SELL,0.513,192000,98387.6544,1058610.5964400037
2024-10-31,sh515250,智能汽车ETF,BUY,0.954,104700,99993.67218,958616.9242600037
2024-10-31,sz159786,VRETF,BUY,0.886,112700,99962.03741999998,858654.8868400038
2024-10-31,sz159998,计算机ETF,BUY,0.862,115800,99929.40156,758725.4852800037
2024-10-31,sz159888,智能汽车ETF华夏,BUY,1.068,93500,99967.84379999999,658757.6414800037
2024-10-31,sz159732,消费电子ETF,BUY,0.816,122400,99988.26623999998,558769.3752400037
2024-10-31,sh515400,大数据ETF,BUY,0.814,122700,99987.66557999997,458781.7096600037
2024-10-31,sh516520,智能驾驶ETF,BUY,1.041,95900,99941.71508999998,358839.9945700037
2024-10-31,sh512720,计算机ETF,BUY,1.022,97700,99959.23434,258880.7602300037
2024-10-31,sh512330,信息科技ETF南方,BUY,0.997,100100,99909.47966999999,158971.2805600037
2024-10-31,sz159613,信息安全ETF,BUY,0.862,115800,99929.40156,59041.87900000371
2024-11-01,sh560220,中证2000ETF广发,SELL,1.014,96300,97540.78698,156582.66598000372
2024-11-01,sz159553,中证2000增强ETF海富通,SELL,1.107,88700,98082.89000999999,254665.5559900037
2024-11-01,sz159543,国证2000ETF基金,SELL,0.939,105100,98580.34220999999,353245.89820000366
2024-11-01,sh563300,中证2000ETF,SELL,0.981,100000,97992.09,451237.98820000363
2024-11-01,sz159555,2000增强ETF,SELL,1.002,98300,98388.25374,549626.2419400036
2024-11-01,sz159743,湖北ETF,SELL,0.852,115300,98127.54083999999,647753.7827800036
2024-11-01,sz159532,中证2000ETF易方达,SELL,1.035,95100,98320.22864999999,746074.0114300036
2024-11-01,sz159533,中证2000ETF基金,SELL,1.113,88600,98503.32702,844577.3384500035
2024-11-01,sz159531,中证2000ETF,SELL,0.97,100600,97474.6598,942051.9982500036
2024-11-01,sh516300,中证1000ETF华泰柏瑞,SELL,2.378,41600,98815.98272,1040867.9809700035
2024-11-01,sz159786,VRETF,BUY,0.848,117700,99919.39055999999,940948.5904100036
2024-11-01,sz159609,光伏ETF浦银,BUY,0.51,195800,99967.84379999999,840980.7466100035
2024-11-01,sz159743,湖北ETF,BUY,0.852,117200,99964.23983999998,741016.5067700036
2024-11-01,sz159863,光伏ETF鹏华,BUY,0.587,170100,99958.53356999999,641057.9732000036
2024-11-01,sh510770,G60创新ETF,BUY,0.572,174600,99981.05831999998,541076.9148800037
2024-11-01,sh516880,光伏50ETF,BUY,0.733,136200,99944.41805999998,441132.49682000367
2024-11-01,sh512200,房地产ETF,BUY,1.646,60600,99857.32235999998,341275.1744600037
2024-11-01,sz159864,光伏50ETF,BUY,0.56,178300,99957.8328,241317.34166000367
2024-11-01,sh515790,光伏ETF,BUY,0.878,113700,99938.41145999999,141378.93020000367
2024-11-01,sh516860,金融科技ETF博时,BUY,1.154,86500,99930.80309999998,41448.127100003694
2024-11-04,sh516000,大数据ETF华夏,SELL,0.851,116900,99372.46991,140820.5970100037
2024-11-04,sh515400,大数据ETF,SELL,0.797,247000,196642.4551,337463.05211000366
2024-11-04,sh560300,电信50ETF,SELL,1.32,74000,97572.552,435035.6041100037
2024-11-04,sz159747,香港科技ETF南方,SELL,1.123,88800,99612.70535999999,534648.3094700037
2024-11-04,sz159741,恒生科技ETF嘉实,SELL,0.604,165100,99610.70756,634259.0170300037
2024-11-04,sh513180,恒生科技指数ETF,SELL,0.612,162900,99585.13572,733844.1527500037
2024-11-04,sh560690,电信ETF鹏华,SELL,1.269,76800,97351.99488,831196.1476300037
2024-11-04,sh513330,恒生互联网ETF,SELL,0.437,229100,100006.57162999999,931202.7192600038
2024-11-04,sh513260,恒生科技ETF基金,SELL,1.163,85800,99675.63606,1030878.3553200038
2024-11-04,sz159605,中概互联ETF,SELL,0.957,105100,100470.06122999999,1131348.416550004
2024-11-04,sh515250,智能汽车ETF,SELL,0.942,104700,98518.90986,1229867.326410004
