date,total_value,return_pct,cummax,drawdown
2024-09-02,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-09-03,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-09-04,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-09-05,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-09-06,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-09-09,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-09-10,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-09-11,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-09-12,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-09-13,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-09-18,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-09-19,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-09-20,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-09-23,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-09-24,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-09-25,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-09-26,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-09-27,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-09-30,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-10-08,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-10-09,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-10-10,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-10-11,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-10-14,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-10-15,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-10-16,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-10-17,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-10-18,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-10-21,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-10-22,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-10-23,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-10-24,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-10-25,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-10-28,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-10-29,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-10-30,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-10-31,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-11-01,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-11-04,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-11-05,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-11-06,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-11-07,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-11-08,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-11-11,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
2024-11-12,1000000.0000000003,4.440892098500626e-14,1000000.0000000003,0.0
