date,code,name,theme,qty,value,weight
2024-10-09,CASH,现金,现金,0,2000000.00,100%
2024-10-10,sh588830,科创新能源ETF,新能源,81400,99877.80,5.0%
2024-10-10,sh562580,可选消费ETF,可选消费,88200,99842.40,5.0%
2024-10-10,sh511220,城投债ETF海富通,城投债海富通,9800,99401.40,5.0%
2024-10-10,sh510880,红利ETF,红利,30500,99735.00,5.0%
2024-10-11,sh588830,科创新能源ETF,新能源,81400,94179.80,4.7%
2024-10-11,sh562580,可选消费ETF,可选消费,88200,97990.20,4.9%
2024-10-11,sh511220,城投债ETF海富通,城投债海富通,9800,99528.80,5.0%
2024-10-11,sh510880,红利ETF,红利,61400,198076.40,10.0%
2024-10-11,sh513190,港股通金融ETF,金融,79300,99838.70,5.0%
2024-10-11,sz159974,央企创新ETF富国,央企创新富国,62600,99847.00,5.0%
2024-10-11,sz159545,恒生红利低波ETF易方达,红利,85300,99886.30,5.0%
2024-10-11,sh513230,港股通消费ETF华夏,消费华夏,114400,99871.20,5.0%
2024-10-11,sh512890,红利低波ETF,红利,92300,99868.60,5.0%
2024-10-11,sh512700,银行ETF南方,银行,71000,99826.00,5.0%
2024-10-11,sh515290,银行ETF天弘,银行,80200,99849.00,5.0%
2024-10-11,sh515680,央企创新ETF嘉实,央企创新嘉实,67000,99763.00,5.0%
2024-10-11,sh513970,恒生消费ETF,恒生消费,115300,99849.80,5.0%
2024-10-14,sh511220,城投债ETF海富通,城投债海富通,9700,98969.10,4.9%
2024-10-14,sh518600,上海金ETF,上海金,17400,99493.20,4.9%
2024-10-14,sz159632,纳斯达克ETF,纳斯达克,60700,99790.80,4.9%
2024-10-14,sh513350,标普油气ETF,标普,98600,99881.80,4.9%
2024-10-14,sh512070,证券保险ETF易方达,证券,122100,99877.80,4.9%
2024-10-14,sh511800,易方达货币ETF,易方达货币,900,90013.50,4.5%
2024-10-14,sz159751,港股通科技ETF鹏华,科技鹏华,125300,99864.10,4.9%
2024-10-14,sh511020,国债ETF5至10年,国债5至10年,800,90513.60,4.5%
2024-10-14,sh513390,纳指100ETF,纳指,62000,99758.00,4.9%
2024-10-14,sh561060,国企红利ETF,红利,90500,99821.50,4.9%
2024-10-15,sh511220,城投债ETF海富通,城投债海富通,9700,99085.50,4.9%
2024-10-15,sh518600,上海金ETF,上海金,17400,99371.40,4.9%
2024-10-15,sz159632,纳斯达克ETF,纳斯达克,60700,101429.70,5.1%
2024-10-15,sh513350,标普油气ETF,标普,98600,97614.00,4.9%
2024-10-15,sh512070,证券保险ETF易方达,证券,122100,96336.90,4.8%
2024-10-15,sh511800,易方达货币ETF,易方达货币,900,90022.50,4.5%
2024-10-15,sz159751,港股通科技ETF鹏华,科技鹏华,125300,95729.20,4.8%
2024-10-15,sh511020,国债ETF5至10年,国债5至10年,800,90592.80,4.5%
2024-10-15,sh513390,纳指100ETF,纳指,62000,101246.00,5.0%
2024-10-15,sh561060,国企红利ETF,红利,90500,97287.50,4.8%
2024-10-15,sh513190,港股通金融ETF,金融,78100,99811.80,5.0%
2024-10-15,sz159787,建材ETF易方达,建材易方达,155500,99831.00,5.0%
2024-10-15,sz159745,建材ETF,建材,170400,99854.40,5.0%
2024-10-15,sh513810,港股国企ETF,港股国企,78200,99783.20,5.0%
2024-10-15,sz159519,港股国企ETF,港股国企,77300,99794.30,5.0%
2024-10-15,sz159726,恒生红利ETF,红利,94700,99813.80,5.0%
2024-10-15,sh513690,港股红利ETF博时,红利,112200,99858.00,5.0%
2024-10-15,sh513530,港股通红利ETF,红利,71300,99820.00,5.0%
