Period,Return,MaxDD
1,110.04300618476309,-25.246147518680758
2,104.03676550569432,-25.246147518680758
3,104.71119782721057,-25.246147518680758
4,101.02064791699749,-25.246147518680758
5,83.37686336296836,-25.246147518680758
6,102.62375094297846,-25.246147518680758
7,114.69121452046753,-25.246147518680758
8,113.93143772355879,-25.246147518680758
9,105.47450670526936,-25.246147518680758
10,120.0419967497603,-25.246147518680758
11,92.97166863799828,-25.246147518680758
12,97.7499841785699,-25.246147518680758
13,112.31150893396693,-25.246147518680758
14,106.27226768293805,-25.246147518680758
15,106.704680665626,-25.246147518680758
16,120.12964605234812,-25.246147518680758
17,98.53764045397054,-25.246147518680758
18,99.0126746821874,-25.246147518680758
19,112.46797063729814,-25.246147518680758
20,128.6020883850477,-25.246147518680758
21,115.13901397649637,-25.246147518680758
22,87.51903689209979,-25.246147518680758
23,121.7083126606799,-25.246147518680758
24,99.44840577333822,-25.246147518680758
25,107.53709868201553,-25.246147518680758
26,93.24178481353127,-25.246147518680758
27,99.14875604234834,-25.246147518680758
28,98.36722326877822,-25.246147518680758
29,114.0382502155103,-25.246147518680758
30,106.64435932485144,-25.246147518680758
31,123.89863275649438,-25.246147518680758
32,103.74826334040472,-25.246147518680758
33,84.07731788520852,-25.246147518680758
34,109.10792264893874,-25.246147518680758
35,110.9493784114239,-25.246147518680758
36,87.82338411846793,-25.246147518680758
37,95.95439878142436,-25.246147518680758
38,116.74017269324617,-25.246147518680758
39,110.31654135430462,-25.246147518680758
40,109.79811138186713,-25.246147518680758
41,66.30180593835446,-25.246147518680758
42,83.42023227788376,-25.246147518680758
43,104.95338616146572,-25.246147518680758
44,103.83344758047524,-25.246147518680758
45,123.03959927123694,-25.246147518680758
46,117.82743586026542,-25.246147518680758
47,81.10723658923693,-25.246147518680758
48,82.90614682359828,-25.246147518680758
49,78.00048833034853,-25.246147518680758
50,114.6594208797199,-25.246147518680758
51,99.93506061115023,-25.246147518680758
52,101.28223133193602,-25.246147518680758
53,113.95587056770422,-25.246147518680758
54,99.32652241114414,-25.246147518680758
55,82.38317739300396,-25.246147518680758
56,88.00163906388396,-25.246147518680758
57,94.80411052907027,-25.246147518680758
58,91.76005726964871,-25.246147518680758
59,95.73951663003461,-25.246147518680758
60,114.6594208797199,-25.246147518680758
