配置,STOP_LOSS,TRAILING_TRIGGER,TRAILING_DROP,MIN_SCORE,牛市收益,牛市回撤,牛市风险调整比,全周期收益,全周期回撤,全周期风险调整比,稳健性得分
激进止盈,0.2,0.08,0.03,20,27.346800000000005,-9.888263421417854,2.7655816632844936,63.697459999999964,-24.872163201982445,2.56099397075856,2.56099397075856
原始配置,0.2,0.1,0.05,20,25.752489999999995,-10.263999778301159,2.5090111609747527,62.44589000000005,-24.641503942612285,2.5341752737751144,2.5090111609747527
平衡配置,0.18,0.09,0.04,30,25.983619999999963,-10.078633125631487,2.5780896750691014,58.60870999999997,-25.398441265482163,2.3075711374324506,2.3075711374324506
全优化,0.15,0.08,0.03,50,27.917849999999977,-9.212432922390734,3.0304535441605114,49.16689999999999,-30.409994627277126,1.6168006802572177,1.6168006802572177
高门槛,0.2,0.1,0.05,50,25.69726999999997,-9.948861667394038,2.582935702505451,44.81465999999996,-31.077123236831905,1.4420466031709986,1.4420466031709986
