Period,Strategy,Return,ChiNext,Excess
Full (2024-09-01),Weak_T20,126.7887349146993,121.43331121433314,5.35542370036616
Full (2024-09-01),Weak_T10,134.0236047893752,121.43331121433314,12.590293575042068
Full (2024-09-01),Weak_T20_Score150,110.67005785026831,121.43331121433314,-10.763253364064838
Full (2024-09-01),Weak_T20_Score200,95.25468277984157,121.43331121433314,-26.17862843449157
Post-924 (2024-11-01),Weak_T20,72.88356569837748,60.12476007677543,12.75880562160205
Post-924 (2024-11-01),Weak_T10,66.30165970929033,60.12476007677543,6.176899632514903
Post-924 (2024-11-01),Weak_T20_Score150,133.65658765841334,60.12476007677543,73.53182758163791
Post-924 (2024-11-01),Weak_T20_Score200,130.28385616676897,60.12476007677543,70.15909608999354
Post-Year (2025-01-01),Weak_T20,91.26377150099239,65.27984150569588,25.983929995296506
Post-Year (2025-01-01),Weak_T10,114.12126955586719,65.27984150569588,48.8414280501713
Post-Year (2025-01-01),Weak_T20_Score150,72.9279187571676,65.27984150569588,7.648077251471719
Post-Year (2025-01-01),Weak_T20_Score200,85.61249381283037,65.27984150569588,20.33265230713448
