etf_code,etf_name,theme,r1,r3,r5,r10,r20,total_score,latest_close,r60,r120,r250
SHSE.517520,永赢中证沪深港黄金产业股票ETF,资源/有色,2.779953014878629,7.361963190184056,12.951807228915671,19.9725776965265,26.262626262626256,300,2.625,33.24873096446701,80.0411522633745,131.07394366197184
SHSE.560980,广发中证光伏龙头30ETF,新能源,9.192546583850927,8.518518518518512,10.705289672544076,16.26984126984127,22.937062937062944,300,0.879,21.40883977900553,79.0224032586558,88.22269807280513
SHSE.512710,富国中证军工龙头ETF,低空经济/军工,3.010033444816056,6.6974595842956175,7.317073170731714,2.325581395348839,29.230769230769244,255,0.924,29.593267882187952,27.097661623108678,59.31034482758623
SZSE.159745,国泰中证全指建筑材料ETF,全指建筑材料,0.41608876560332914,4.02298850574713,9.696969696969688,7.1005917159763206,10.53435114503816,80,0.724,11.213517665130562,11.728395061728387,31.159420289855056
SZSE.159707,华宝中证800地产ETF,红利/金融,0.4643962848297218,1.0903426791277269,5.700325732899028,1.5649452269170594,4.173354735152492,50,0.649,-4.558823529411769,-0.9160305343511458,7.628524046434501
SZSE.159107,富国创业板软件ETF,泛AI/数字,1.7964071856287442,3.2388663967611366,-0.8746355685131096,2.102102102102104,18.32946635730859,0,1.02,6.918238993710698,,
SZSE.159105,易方达恒生生物科技ETF,互联/全球,1.724137931034473,1.4155712841253694,-2.33690360272639,-1.182266009852218,6.929637526652447,0,1.003,,,
SZSE.159930,汇添富中证能源ETF,汇添富能源,-1.6276041666666754,0.6662225183211199,2.649456521739125,0.7333333333333265,5.222841225626738,0,1.511,5.222841225626738,12.008895478131944,13.014210919970076
SZSE.159625,嘉实国证绿色电力ETF,国证绿色电力,0.8979591836734611,-0.16155088852988705,1.4778325123152722,3.0859049207672995,3.6912751677852387,0,1.236,-1.6706443914081073,5.731394354148841,15.947467166979354
SZSE.159323,华夏中证港股通汽车产业主题ETF,互联/全球,0.850077279752697,1.7940717628705076,0.6944444444444365,1.9531249999999931,3.0805687203791408,0,1.305,-6.518624641833809,-0.6849315068493241,36.64921465968586
