T,TOP_N,Final_Return,Max_Drawdown,Sharpe,Risk_Adj_Ratio
3,5,27.282010000000035,-8.830176628539688,1.2836227368447917,3.089633554081224
2,5,28.492499999999986,-9.508710664714592,1.3004611396691892,2.9964630331777165
4,5,28.343300000000006,-10.313106905422675,1.2978973371550746,2.748279471930712
5,5,25.907780000000002,-9.852963104596224,1.2031136538180656,2.6294404764303345
6,5,25.752489999999995,-10.263999778301159,1.2376559562103733,2.5090111609747527
20,5,16.932199999999998,-8.203186779754413,1.1161789580086667,2.06410026427643
19,5,17.008259999999975,-8.462281792559512,1.105604016977854,2.009890525620943
18,5,17.227060000000005,-8.946931094468924,1.1011976210413932,1.9254714066871415
17,5,17.03180999999998,-9.24702102885442,1.0733716400460083,1.8418699326900947
16,5,17.39960999999999,-9.463785571147609,1.0859674638959986,1.8385465170561823
7,5,21.321180000000005,-11.759876845031291,1.0665807041786424,1.8130444970610806
8,5,20.524270000000012,-12.180367656510638,1.053868457480489,1.6850287757142863
9,5,19.908270000000016,-12.40468677983837,1.0451832195848465,1.6048990477016636
15,5,15.90592999999998,-9.974544133144924,0.9984264374166743,1.5946523257283858
10,5,18.96513999999998,-12.260060342633016,1.0226556808970115,1.546904294920212
11,5,17.01568,-12.276052005850357,0.9459936203211897,1.3860873179659792
14,5,14.153110000000012,-10.630621078469249,0.8840608297383236,1.331353069169688
12,5,14.87723000000003,-11.396034973976265,0.8805119358277183,1.3054742315176588
13,5,14.287000000000027,-11.186242101317045,0.8755546002941078,1.2771938842909456
