date,end_date,holdings,return_pct,chinext_pct
2024-09-02,2024-09-24,"515220, 159930, 159566...",1.3288496762333901,5.308560053085598
2024-09-24,2024-10-21,"159851, 512070, 513090...",30.054419761786775,36.54694391934468
2024-10-21,2024-11-08,"512480, 159995, 512760...",5.714828373206049,5.306875865251515
2024-11-08,2024-11-28,"516510, 515400, 159998...",-7.654971599221194,-6.7484662576687064
2024-11-28,2024-12-18,"159766, 588200, 512200...",0.10970148320823547,1.4097744360902054
2024-12-18,2025-01-08,"513910, 515450, 512800...",-3.2620161849168605,-8.804448563484701
2025-01-08,2025-02-05,"159667, 562500, 159887...",4.765097371532567,2.8455284552845628
2025-02-05,2025-02-25,"159636, 513980, 159792...",17.057877767985595,8.547430830039527
2025-02-25,2025-03-17,"588200, 588780, 588790...",-1.4904501460923258,-1.0923987255348266
2025-03-17,2025-04-07,"513750, 513920, 513550...",-9.213295435715118,-18.315692590888176
2025-04-25,2025-05-20,"513550, 513980, 159636...",4.14551852896905,5.104166666666665
2025-05-20,2025-06-10,"159506, 159570, 513200...",11.119944179811615,-0.29732408325072734
2025-06-10,2025-06-30,"159570, 159506, 513200...",0.09985201388968967,6.013916500994032
2025-06-30,2025-07-18,"515880, 512710, 512670...",2.670437450396368,5.578996718237206
2025-07-18,2025-08-07,"516150, 562800, 159570...",6.0974225000183235,3.0195381882770933
2025-08-07,2025-08-27,"516150, 560860, 561330...",9.28826520286552,16.20689655172416
2025-08-27,2025-09-16,"515880, 588020, 159363...",6.969204155570896,13.464391691394662
2025-09-16,2025-10-14,"588780, 588200, 588790...",-1.9249175960870057,-4.086302713305001
2025-10-14,2025-11-03,"515220, 159887, 512800...",3.3260852752799774,8.248125426039543
2025-11-03,2025-11-21,"560980, 515790...",-9.521626181972564,-8.564231738035266
2025-12-11,2025-12-31,"563230, 159206...",29.673301722357603,1.2714558169103718
2025-12-31,2026-01-22,"159206, 563230, 159638...",14.016783347632455,4.048964218455753
2026-01-22,2026-01-23,"159745, 588780, 517520...",1.2453328613125647,0.6636500754147789
