T,Return
1,6.937265426309214
2,26.974992811728747
3,8.889437000802713
4,11.572129316068015
5,8.416668595079123
6,28.981400535183653
7,17.97400332501322
8,39.002569653298956
9,13.546582852512046
10,30.717926119723103
11,33.95652556275404
12,26.2968038861229
13,-6.932387436581289
14,20.665733979685985
