date,total_value,return_pct,cummax,drawdown
2024-09-02,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-09-03,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-09-04,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-09-05,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-09-06,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-09-09,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-09-10,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-09-11,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-09-12,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-09-13,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-09-18,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-09-19,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-09-20,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-09-23,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-09-24,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-09-25,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-09-26,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-09-27,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-09-30,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-10-08,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-10-09,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-10-10,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-10-11,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-10-14,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-10-15,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-10-16,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-10-17,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-10-18,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-10-21,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-10-22,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-10-23,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-10-24,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-10-25,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-10-28,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-10-29,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-10-30,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-10-31,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
2024-11-01,999999.9999999999,-1.1102230246251565e-14,999999.9999999999,0.0
