T,TOP_N,Final_Return,Annualized_Return,Max_Drawdown,Sharpe,Risk_Adj_Ratio
6,5,62.44589000000005,12.89564313320084,-24.641503942612285,0.6724062879909094,2.5341752737751144
10,5,69.03381999999998,14.023246332317395,-27.900449744206114,0.7352468316419458,2.4742905807221165
6,10,59.73735999999996,12.422082435796833,-27.0830554197934,0.6537547113872908,2.205709772182553
6,8,58.48439999999992,12.200974780175722,-26.811036562741354,0.6457418031812867,2.1813554229109617
10,8,58.44357999999994,12.19374932734134,-28.614758765617175,0.6620808141111131,2.042427842174381
10,10,58.31833000000002,12.17157039990271,-28.982422053786404,0.6599729909328875,2.012196561480307
10,3,53.78082999999996,11.359058414260193,-33.58134658131349,0.6224325847160227,1.6015090362673716
6,3,44.71339999999997,9.679935609312773,-30.950041623018787,0.533588229808774,1.4446959569432314
