Period,Return,MaxDD,WinRate
1,107.45015993434208,-30.626628123578143,51.92878338278932
2,121.72627110671867,-28.33178838118361,51.92878338278932
3,91.09039715379015,-28.11898703887793,51.038575667655785
4,83.84517462168985,-28.355602936368186,49.25816023738873
5,45.92393360408915,-21.319744559920725,50.445103857566764
6,122.62960601208026,-21.8565311969939,53.11572700296736
7,140.37715811515153,-20.242186047730463,52.52225519287834
8,135.22750228485214,-18.899338733800334,54.3026706231454
9,100.41562104071704,-27.054975454406062,54.00593471810089
10,120.58277735859507,-17.172380202254026,56.37982195845698
11,115.51924559197144,-19.625566699756547,52.818991097922854
12,163.99146174257672,-18.365213366752158,54.59940652818991
13,100.0220922674663,-18.91230952534053,56.083086053412465
14,159.64462354806116,-16.047322981251753,53.11572700296736
15,119.87670397152002,-17.306102390774424,54.00593471810089
16,122.81855183878756,-19.50715932606085,53.11572700296736
17,111.7632965179821,-20.709190636845314,52.22551928783383
18,80.88407266985122,-22.842772920197596,52.818991097922854
19,96.67940118066478,-22.70923765910306,54.59940652818991
20,110.19373192706001,-18.401685223401564,54.89614243323442
