T,TOP_N,Final_Return,Monthly_Return,Max_Drawdown,Sharpe,Risk_Adj_Ratio,Days
4,5,28.343300000000006,1.5578233380039164,-10.313106905422675,1.2978973371550746,2.748279471930712,339
5,5,25.907780000000002,1.4373620614313243,-9.852963104596224,1.2031136538180656,2.6294404764303345,339
5,3,27.114799999999995,1.4973321052452304,-10.318134937970758,1.1798080538990896,2.6278780189448265,339
6,5,25.752489999999995,1.4296074538606263,-10.263999778301159,1.2376559562103733,2.5090111609747527,339
4,8,24.96360999999998,1.390074447367451,-10.374315712850413,1.173900448099589,2.4062897921140154,339
6,3,27.009299999999993,1.4921117545266371,-11.258633272206552,1.2100239196823177,2.3989856803201928,339
4,3,25.22656000000001,1.4032775622623062,-11.167324024013258,1.1040540400551424,2.258961945203253,339
5,8,23.88252999999998,1.335516525709446,-10.774871416609466,1.1404305827187817,2.216502552706574,339
7,3,25.533510000000014,1.418657125033529,-11.590859826523559,1.167553294511931,2.202900421724647,339
6,8,23.435740000000017,1.3128382310576114,-11.37628882189885,1.156015138149818,2.0600514251086226,339
7,5,21.321180000000005,1.2044511552079085,-11.759876845031291,1.0665807041786424,1.8130444970610806,339
8,3,22.267910000000015,1.2531955031934938,-12.695753139025069,1.064534863856232,1.7539652635140959,339
8,5,20.524270000000012,1.1631432200258196,-12.180367656510638,1.053868457480489,1.6850287757142863,339
10,3,20.93779,1.184609956437277,-13.035774990348992,1.0253258132413308,1.6061791504917236,339
7,8,19.744089999999993,1.1224535369747546,-12.408881402424365,1.0149198223751763,1.5911256913248057,339
8,8,19.338559999999983,1.101205104280778,-12.492991621432791,1.0134096182686902,1.5479526910770545,339
10,5,18.96513999999998,1.0815791441297629,-12.260060342633016,1.0226556808970115,1.546904294920212,339
10,8,17.52054999999999,1.005107149464135,-12.300062072868734,0.9705456892721586,1.424427770868451,339
