date,total_market_value,cash_balance,total_asset_value,shares,nav,strategy_yield,strategy_yield_daily,strategy_drawdown,profit_loss,benchmark_price,benchmark_yield,benchmark_yield_daily,benchmark_drawdown
2021-12-02,0.0,1000000.0,1000000.0,1000000.0,1.0,0.0,0.0,0.0,0,4856.163,0.0,0.0,0.0
2021-12-03,143541.1891154797,856216.5712893009,999757.7604047806,1000000.0,0.9997577604047806,-0.00024223959521940674,-0.00024223959521940674,-0.00024223959521940674,-1,4901.0175,0.009236613350911194,0.009236613350910972,0.0
2021-12-06,335571.99201190926,661569.7593390942,997141.7513510034,1000000.0,0.9971417513510035,-0.002858248648996531,-0.0026166429082960635,-0.002858248648996531,-1,4892.6209,0.007507552773661219,-0.001713236078018543,-0.001713236078018543
2021-12-07,557821.8052969496,442206.81030750275,1000028.6156044523,1000000.0,1.0000286156044522,0.00002861560445222011,0.002895139281388436,0.0,1,4922.1015,0.01357831275432897,0.006025523048393211,0.0
2021-12-08,781896.3790109331,217840.60771465302,999736.9867255861,1000000.0,0.9997369867255861,-0.00026301327441391464,-0.00029162053396828455,-0.00029162053396825094,-1,4995.9298,0.02878132385589205,0.014999345299969935,0.0
2021-12-09,966696.7790311909,43420.67548632622,1010117.4545175171,1000000.0,1.010117454517517,0.01011745451751711,0.010383198711022902,0.0,1,5078.6901,0.04582364718811949,0.01656554501626495,0.0
2021-12-10,987900.6426177083,12942.67651438713,1000843.3191320954,1000000.0,1.0008433191320953,0.0008433191320953437,-0.009181244561160028,-0.009181244561159985,-1,5055.1172,0.04096942380228996,-0.00464153148466373,-0.00464153148466373
2021-12-13,994997.5633390847,12942.67651438713,1007940.2398534719,1000000.0,1.0079402398534718,0.007940239853471809,0.0070909407953392,-0.002155407427431588,1,5083.8007,0.04687604184620664,0.00567415133322724,0.0
2021-12-14,984877.89388672,12942.67651438713,997820.5704011071,1000000.0,0.997820570401107,-0.0021794295988929457,-0.01003994984249849,-0.012173717087468505,-1,5049.6953,0.039852925035671394,-0.0067086422172292215,-0.0067086422172292215
2021-12-15,995546.0767955438,726.0353326797485,996272.1121282235,1000000.0,0.9962721121282235,-0.0037278878717764696,-0.00155184039978357,-0.013706665821260122,-1,5005.8991,0.03083424094290077,-0.008673038153411139,-0.015323496060732689
2021-12-16,1006513.2109585077,1186.7726802825928,1007699.9836387903,1000000.0,1.0076999836387903,0.00769998363879032,0.01147063274325196,-0.0023932572077783876,1,5034.7321,0.03677164460912885,0.005759804467493357,-0.009651951934307679
2021-12-17,994988.5303354211,2003.870165348053,996992.4005007691,1000000.0,0.9969924005007691,-0.0030075994992309063,-0.010625764921972406,-0.01299359194126315,-1,4954.7599,0.020303457688714444,-0.015884102353728058,-0.025382741695597844
2021-12-20,986780.4406362899,3855.8773279190063,990636.3179642089,1000000.0,0.9906363179642089,-0.009363682035791077,-0.006375256755585738,-0.019286011212045984,-1,4880.4178,0.004994642889870171,-0.01500417810356458,-0.04000607262200495
2021-12-21,1006722.9592289622,6145.2319502830505,1012868.1911792452,1000000.0,1.0128681911792452,0.012868191179245203,0.022442013089852723,0.0,1,4913.4853,0.011804031289724293,0.006775546962393353,-0.033501588683442995
2021-12-22,994299.7824271566,18710.36169528961,1013010.1441224462,1000000.0,1.0130101441224462,0.013010144122446166,0.00014014947298887127,0.0,1,4914.4544,0.012003592136425434,0.00019723270567206796,-0.03331096358675123
2021-12-23,996893.5226841387,19391.998952627182,1016285.5216367659,1000000.0,1.0162855216367659,0.016285521636765887,0.0032333116635837114,0.0,1,4948.7389,0.019063589916566093,0.006976257628924287,-0.026567091821675715
2021-12-24,1007708.209326669,1396.0513710975647,1009104.2606977666,1000000.0,1.0091042606977665,0.009104260697766486,-0.007066184439421818,-0.007066184439421863,-1,4921.3449,0.01342251073532763,-0.005535551693786167,-0.03195558000532939
2021-12-27,996241.2040884951,15143.631082773209,1011384.8351712683,1000000.0,1.0113848351712684,0.011384835171268426,0.002259998854751627,-0.004822155153410779,1,4919.3238,0.01300631795102447,-0.00041068042193104226,-0.0323531368961808
2021-12-28,978218.9496403888,29131.66747689247,1007350.6171172813,1000000.0,1.0073506171172812,0.007350617117281244,-0.003988806153400575,-0.008791726664662769,-1,4955.9644,0.02055149302031256,0.007448300109864636,-0.0251458126594144
2021-12-29,988704.229892068,8475.602859258652,997179.8327513266,1000000.0,0.9971798327513266,-0.0028201672486733997,-0.010096568357758306,-0.018799528753168593,-1,4883.4804,0.005625305410877024,-0.014625609497921244,-0.03940364932087115
2021-12-30,988727.7605560535,15255.503565073013,1003983.2641211265,1000000.0,1.0039832641211266,0.003983264121126595,0.00682267244718397,-0.012105119332828873,1,4921.5109,0.013456694101907418,0.007787581168545277,-0.0319229272697491
2021-12-31,994448.3318545236,15255.503565073013,1009703.8354195966,1000000.0,1.0097038354195966,0.00970383541959663,0.005697875156791329,-0.0064762176347540334,1,4940.3733,0.017340912980062795,0.003832644158118237,-0.028212632332341392
2022-01-04,976339.243406475,46100.54958462715,1022439.7929911022,1000000.0,1.0224397929911022,0.022439792991102214,0.012613557683687493,0.0,1,4917.7653,0.012685385560575524,-0.004576172411910662,-0.03265969887450537
2022-01-05,1002778.518863744,19642.941862344742,1022421.4607260887,1000000.0,1.0224214607260886,0.022421460726088638,-0.00001792992129144955,-0.00001792992129145965,-1,4868.1202,0.00246227319799619,-0.010095052726489362,-0.042425050218825366
2022-01-06,1007118.7198361658,11325.947868824005,1018444.6677049898,1000000.0,1.0184446677049899,0.01844466770498987,-0.003889582891065868,-0.003907443072442174,-1,4818.2318,-0.007810940448251036,-0.010247980318974226,-0.05223825945812555
