date,symbol,side,posi_balance,posi_vwap,price,market_value
2021-12-07 16:00:00,SHSE.512890,多,38700,0.7839999794960022,0.784,30340.800000000003
2021-12-08 16:00:00,SHSE.512890,多,38700,0.7839999794960022,0.785,30379.5
2021-12-09 16:00:00,SHSE.512890,多,38700,0.7839999794960022,0.787,30456.9
2021-12-10 16:00:00,SHSE.512890,多,38700,0.7839999794960022,0.784,30340.800000000003
2021-12-13 16:00:00,SHSE.512890,多,38700,0.7839999794960022,0.779,30147.3
2021-12-14 16:00:00,SHSE.512890,多,38700,0.7839999794960022,0.769,29760.3
2021-12-15 16:00:00,SHSE.512890,多,38700,0.7839999794960022,0.776,30031.2
2021-12-16 16:00:00,SHSE.512890,多,38700,0.7839999794960022,0.787,30456.9
2021-12-17 16:00:00,SHSE.512890,多,38700,0.7839999794960022,0.788,30495.600000000002
2021-12-20 16:00:00,SHSE.512890,多,77600,0.785002573786937,0.784,60838.4
2021-12-21 16:00:00,SHSE.512890,多,78000,0.785053842724898,0.798,62244.0
2021-12-22 16:00:00,SHSE.512890,多,78000,0.785053842724898,0.795,62010.0
2021-12-23 16:00:00,SHSE.512890,多,78000,0.785053842724898,0.799,62322.0
2021-12-24 16:00:00,SHSE.512890,多,78000,0.785053842724898,0.793,61854.0
2021-12-27 16:00:00,SHSE.512890,多,78000,0.785053842724898,0.797,62166.0
2021-12-28 16:00:00,SHSE.512890,多,78000,0.785053842724898,0.791,61698.0
2021-12-29 16:00:00,SHSE.512890,多,78000,0.785053842724898,0.788,61464.0
2021-12-30 16:00:00,SHSE.512890,多,78000,0.785053842724898,0.789,61542.0
2021-12-31 16:00:00,SHSE.512890,多,78000,0.785053842724898,0.795,62010.0
2022-01-04 16:00:00,SHSE.512890,多,39100,0.785053842724898,0.809,31631.9
2022-01-05 16:00:00,SHSE.512890,多,38900,0.785053842724898,0.812,31586.800000000003
2022-01-06 16:00:00,SHSE.512890,多,38900,0.785053842724898,0.818,31820.199999999997
2022-01-07 16:00:00,SHSE.512890,多,76000,0.804553868943843,0.825,62700.0
2022-01-10 16:00:00,SHSE.512890,多,76000,0.804553868943843,0.829,63004.0
2022-01-11 16:00:00,SHSE.512890,多,113200,0.8132446372787531,0.832,94182.4
2022-01-12 16:00:00,SHSE.512890,多,113200,0.8132446372787531,0.827,93616.4
2022-01-13 16:00:00,SHSE.512890,多,150300,0.8193552423304337,0.835,125500.5
2022-01-14 16:00:00,SHSE.512890,多,150300,0.8193552423304337,0.81,121743.00000000001
2022-01-17 16:00:00,SHSE.512890,多,150300,0.8193552423304337,0.813,122193.9
2022-01-18 16:00:00,SHSE.512890,多,150300,0.8193552423304337,0.82,123245.99999999999
2022-01-19 16:00:00,SHSE.512890,多,149000,0.8193552423304337,0.835,124415.0
2022-01-20 16:00:00,SHSE.512890,多,149000,0.8193552423304337,0.829,123521.0
2022-01-21 16:00:00,SHSE.512890,多,111900,0.8193552423304337,0.821,91869.9
2022-01-24 16:00:00,SHSE.512890,多,111900,0.8193552423304337,0.822,91981.79999999999
2022-01-25 16:00:00,SHSE.512890,多,74700,0.8193552423304337,0.8,59760.0
2022-01-26 16:00:00,SHSE.512890,多,74700,0.8193552423304337,0.806,60208.200000000004
2022-01-27 16:00:00,SHSE.512890,多,37600,0.8193552423304337,0.797,29967.2
2022-01-28 16:00:00,SHSE.512890,多,37600,0.8193552423304337,0.791,29741.600000000002
2022-02-07 16:00:00,SHSE.512890,多,37600,0.8193552423304337,0.811,30493.600000000002
2022-02-08 16:00:00,SHSE.512890,多,37600,0.8193552423304337,0.83,31208.0
2022-02-09 16:00:00,SHSE.512890,多,37600,0.8193552423304337,0.834,31358.399999999998
2022-02-10 16:00:00,SHSE.512890,多,37600,0.8193552423304337,0.845,31772.0
2022-02-11 16:00:00,SHSE.512890,多,37600,0.8193552423304337,0.848,31884.8
2022-02-14 16:00:00,SHSE.512890,多,175700,0.8285079853662446,0.831,146006.69999999998
2022-02-15 16:00:00,SHSE.512890,多,175700,0.8285079853662446,0.824,144776.8
