日期,Strategy,Benchmark
2025-01-23,1.0039367933016,1.0028306742151312
2025-01-24,1.0114467982345363,1.0110653628409676
2025-01-27,1.0086475230709646,1.005404014410705
2025-02-05,1.003387782907963,1.0002573340195573
2025-02-06,1.0181531623574387,1.0118373648996395
2025-02-07,1.0424573287404908,1.026248069994853
2025-02-10,1.0570067657840192,1.0272774060730825
2025-02-11,1.0476440159214897,1.0231600617601644
2025-02-12,1.0749520963579717,1.032938754503345
2025-02-13,1.0571468884694502,1.030365414307771
2025-02-14,1.090072380688824,1.0380854348944926
2025-02-17,1.0931106591019617,1.0398867730313943
2025-02-18,1.0959927985397913,1.03242408646423
2025-02-19,1.1080423298493831,1.0378281008749353
2025-02-20,1.0869774941053556,1.0347400926402466
2025-02-21,1.1323840494194681,1.0486361296963453
2025-02-24,1.1157828750022256,1.0452907874420994
2025-02-25,1.1094824080633574,1.0347400926402464
2025-02-26,1.1494718028709558,1.04323211528564
2025-02-27,1.1488318778911213,1.046577457539886
2025-02-28,1.0855496509333271,1.027792074112197
2025-03-03,1.0757107902447631,1.0244467318579509
2025-03-04,1.0847449250532553,1.0234173957797212
2025-03-05,1.0957574678617605,1.0277920741121969
2025-03-06,1.1232514414487254,1.0419454451878531
2025-03-07,1.1175322407044217,1.039372104992279
2025-03-10,1.0939492346213293,1.035254760679361
2025-03-11,1.0895866412951447,1.0383427689140496
2025-03-12,1.024565771202117,1.0357694287184758
2025-03-13,1.006657683197379,1.030622748327328
2025-03-14,1.0196029078247983,1.0566134843026238
2025-03-17,1.0159491403112,1.0535254760679353
2025-03-18,1.0268359743492483,1.0558414822439517
2025-03-19,1.0306111613738704,1.057385486361296
2025-03-20,1.027108677692707,1.0488934637159022
2025-03-21,0.9844787774862468,1.031909418425115
2025-03-24,0.9792632096017927,1.0362840967575906
2025-03-25,0.9642736869752577,1.0367987647967054
2025-03-26,0.9692252472114026,1.0326814204837873
2025-03-27,1.0164964110905665,1.0362840967575908
2025-03-28,1.0195621195419304,1.0313947503860004
2025-03-31,1.0182887809520735,1.025218733916623
2025-04-01,1.03973747814845,1.0247040658775084
2025-04-02,1.0280647226886297,1.0239320638188363
2025-04-03,1.00978124780112,1.0187853834276885
2025-04-07,0.956284539003521,0.9508492022645387
2025-04-08,0.9865640562147326,0.9598558929490472
2025-04-09,0.9897183960941633,0.9691199176531131
2025-04-10,0.9969524690636398,0.9853319608852283
2025-04-11,0.991460528073907,0.9881626351003594
2025-04-14,1.0116708667822898,0.9902213072568186
2025-04-15,1.0039715439117558,0.9909933093154907
2025-04-16,1.0209214132442992,0.9933093154915071
2025-04-17,1.0142185979807024,0.9940813175501794
2025-04-18,1.0000156284182393,0.9966546577457532
2025-04-21,0.9880726423193377,0.9971693257848679
2025-04-22,0.994605892316523,0.9979413278435402
2025-04-23,0.9885851576796123,0.9989706639217698
2025-04-24,0.9986622922639979,0.9989706639217698
2025-04-25,0.995181690616516,0.9989706639217698
2025-04-28,0.9910608013034186,0.9974266598044255
2025-04-29,0.9853169412566205,0.9956253216675238
2025-04-30,0.9942001681345747,0.9948533196088517
2025-05-06,1.0246858686271687,1.004374678332475
2025-05-07,1.0164985782229523,1.0105506948018521
2025-05-08,1.028232081370398,1.016469377251672
2025-05-09,1.013336715608793,1.0151827071538848
2025-05-12,1.039387477685634,1.0267627380339672
2025-05-13,1.028907524835525,1.0277920741121969
2025-05-14,1.0289621307115364,1.0409161091096235
2025-05-15,1.0200994042584293,1.0321667524446725
2025-05-16,1.022740865369858,1.02650540401441
2025-05-19,1.0159107871273774,1.0249613998970657
2025-05-20,1.0248439287572302,1.0301080802882134
2025-05-21,1.0269707184670032,1.0342254246011315
2025-05-22,1.0147579425607411,1.033710756562017
2025-05-23,1.0179639766412631,1.0262480699948526
2025-05-26,0.9940042974598717,1.0208440555841476
2025-05-27,1.0153779687359075,1.0154400411734426
2025-05-28,1.0086937868470054,1.014410705095213
2025-05-29,1.0112373899594869,1.02058672156459
2025-05-30,1.006337392989963,1.0187853834276883
2025-06-03,1.0082431953011488,1.0182707153885735
2025-06-04,1.0096342395985871,1.0226453937210491
2025-06-05,1.005323288255368,1.025218733916623
2025-06-06,1.0071832334228072,1.0257334019557378
2025-06-09,1.0214479681663209,1.0280494081317542
2025-06-10,1.0024429207165682,1.0221307256819343
2025-06-11,1.0031784094309377,1.0303654143077705
2025-06-12,1.013643704693581,1.0308800823468856
2025-06-13,0.995908093702331,1.0241893978383934
2025-06-16,0.9999013739408006,1.0267627380339672
2025-06-17,0.9717528770785602,1.0265054040144097
2025-06-18,0.968124939827466,1.004632012352032
2025-06-19,0.9489052330928509,0.9966546577457531
2025-06-20,0.943162973000307,0.9979413278435401
2025-06-23,0.9571856600809867,1.001286670097786
2025-06-24,0.9357792538740825,1.0128667009778685
2025-06-25,0.9401623141598993,1.0295934122490986
2025-06-26,0.9462904598456932,1.0257334019557378
2025-06-27,0.9516785834815044,1.019814719505918
2025-06-30,0.9713913299149151,1.0247040658775084
2025-07-01,0.9605135946404876,1.0262480699948526
2025-07-02,0.9406035173493955,1.027277406073082
2025-07-03,0.9475403131818303,1.033196088522902
2025-07-04,0.9526408076694627,1.0375707668553777
2025-07-07,0.9385279157923012,1.0329387545033448
2025-07-08,0.9349669475756897,1.0416881111682958
2025-07-09,0.9457778003091574,1.0409161091096235
2025-07-10,0.946695094664114,1.0460627895007715
2025-07-11,0.9484203323439324,1.0496654657745745
2025-07-14,0.9454293917295269,1.0494081317550172
2025-07-15,0.9328806914419828,1.0494081317550172
