STOP_LOSS,TRAILING_TRIGGER,TRAILING_DROP,Return,MaxDD,Sharpe,Calmar,Status
0.15,0.1,0.03,56.77,26.66,0.81,2.1294073518379597,OK
0.1,0.2,0.03,54.73,26.01,0.74,2.1041906958861976,OK
0.15,0.06,0.05,57.44,27.49,0.86,2.0894870862131683,OK
0.15,0.1,0.04,54.25,26.26,0.77,2.065879664889566,OK
0.1,0.2,0.02,54.16,26.34,0.73,2.056188306757783,OK
0.1,0.2,0.04,53.49,26.06,0.73,2.052570990023024,OK
0.12,0.15,0.03,54.08,27.06,0.73,1.9985218033998522,OK
0.15,0.12,0.03,54.97,27.7,0.75,1.9844765342960289,OK
0.12,0.15,0.02,53.91,27.28,0.73,1.976173020527859,OK
0.15,0.08,0.05,54.93,28.18,0.79,1.9492547906316537,OK
0.12,0.12,0.05,52.38,27.03,0.75,1.9378468368479467,OK
0.1,0.2,0.05,51.31,26.54,0.7,1.933308214016579,OK
0.15,0.12,0.02,53.64,28.02,0.74,1.9143468950749465,OK
0.12,0.15,0.04,50.29,27.21,0.7,1.8482175670709298,OK
0.15,0.1,0.05,51.52,28.47,0.73,1.8096241657885495,OK
0.15,0.12,0.04,50.21,27.76,0.7,1.8087175792507204,OK
0.12,0.15,0.05,48.51,28.09,0.67,1.726949092203631,OK
0.15,0.15,0.03,49.17,29.37,0.65,1.6741573033707866,OK
0.15,0.15,0.02,48.88,29.83,0.64,1.6386188400938655,OK
0.15,0.12,0.05,48.0,29.37,0.67,1.634320735444331,OK
0.12,0.2,0.03,46.84,28.78,0.62,1.6275191104933981,OK
0.12,0.2,0.02,46.55,28.9,0.62,1.6107266435986158,OK
0.12,0.2,0.04,45.64,28.84,0.61,1.5825242718446602,OK
0.15,0.15,0.04,46.06,29.5,0.62,1.5613559322033899,OK
0.12,0.2,0.05,44.14,29.0,0.59,1.5220689655172415,OK
0.15,0.15,0.05,44.58,30.17,0.6,1.477626781571097,OK
0.15,0.2,0.03,42.63,30.61,0.55,1.3926821300228684,OK
0.15,0.2,0.02,42.26,30.69,0.55,1.376995764092538,OK
0.15,0.2,0.04,41.44,30.67,0.54,1.3511574828822952,OK
0.15,0.2,0.05,39.42,31.06,0.51,1.2691564713457824,OK
