T,Date,Cumulative
14,2024-11-21,0.9889184305536359
14,2024-12-11,1.0122185872187213
14,2024-12-31,0.9391683399366846
14,2025-01-21,0.9085685301868003
14,2025-02-18,0.9757717754526961
14,2025-03-10,1.0244984123322847
14,2025-03-28,0.9895773516449077
14,2025-04-18,0.9443095433324376
14,2025-05-13,0.9532933701936406
14,2025-06-03,0.9426947813259604
14,2025-06-23,0.9726680430153667
14,2025-07-11,1.0310592348649381
14,2025-07-31,1.0883238715302537
14,2025-08-20,1.2249928996976358
14,2025-09-09,1.2924291224279716
14,2025-09-29,1.424092038766427
14,2025-10-27,1.4065819977924585
14,2025-11-14,1.2575319013790134
14,2025-12-04,1.0888291601478595
14,2025-12-24,1.1984898112770364
14,2026-01-15,1.6436902097565307
14,2026-01-23,1.6962388168869555
20,2024-11-29,0.9704781831044921
20,2024-12-27,0.969160232493141
20,2025-01-27,0.9114408728465101
20,2025-03-04,0.9384787711204413
20,2025-04-01,0.9349380814074986
20,2025-04-30,0.8961100227661302
20,2025-06-03,0.8712993884723135
20,2025-07-01,0.9338098710436826
20,2025-07-29,1.038223763054573
20,2025-08-26,1.142267882195402
20,2025-09-23,1.287418536707585
20,2025-10-29,1.3797174479209613
20,2025-11-26,1.3052276585939848
20,2025-12-24,1.4987385980827888
20,2026-01-23,2.2378698883696293
