date,code,name,theme,qty,value,weight
2024-10-09,CASH,现金,现金,0,1000000.00,100%
2024-10-10,sz159717,ESGETF,esg,110400,99801.60,10.0%
2024-10-10,sh588830,科创新能源ETF,新能源,81400,99877.80,10.0%
2024-10-10,sz159529,标普消费ETF,标普,87600,99776.40,10.0%
2024-10-10,sz159930,能源ETF,能源,66500,99883.00,10.0%
2024-10-10,sz159501,纳指ETF嘉实,纳指嘉实,74100,99886.80,10.0%
2024-10-10,sz159918,中创400ETF,中创400,58200,99871.20,10.0%
2024-10-10,sh515360,方正沪深300ETF,300,18500,99437.50,10.0%
2024-10-10,sh510230,金融ETF,金融,78100,99889.90,10.0%
2024-10-10,sh511660,货币ETF建信,货币建信,900,90010.80,9.0%
2024-10-11,sz159717,ESGETF,esg,110400,96600.00,9.8%
2024-10-11,sh588830,科创新能源ETF,新能源,81400,94179.80,9.6%
2024-10-11,sz159529,标普消费ETF,标普,87600,99338.40,10.1%
2024-10-11,sz159930,能源ETF,能源,66500,97622.00,9.9%
2024-10-11,sz159501,纳指ETF嘉实,纳指嘉实,74100,99886.80,10.2%
2024-10-11,sz159918,中创400ETF,中创400,58200,95448.00,9.7%
2024-10-11,sh515360,方正沪深300ETF,300,18500,97698.50,10.0%
2024-10-11,sh510230,金融ETF,金融,78100,99889.90,10.2%
2024-10-11,sh511660,货币ETF建信,货币建信,900,90029.70,9.2%
2024-10-11,sz159954,恒生中国企业ETF南方,恒生中国企业南方,13200,11008.80,1.1%
2024-10-11,sz159699,恒生消费ETF,恒生消费,11700,10986.30,1.1%
2024-10-11,sh510170,大宗商品ETF,大宗商品,12100,11011.00,1.1%
2024-10-11,sh513750,港股通非银ETF,非银,9100,11038.30,1.1%
2024-10-11,sh515680,央企创新ETF嘉实,央企创新嘉实,7400,11018.60,1.1%
2024-10-11,sh560330,沪深300价值ETF申万菱信,300,9600,11030.40,1.1%
2024-10-11,sz159519,港股国企ETF,港股国企,8600,10922.00,1.1%
2024-10-11,sh512800,银行ETF,银行,7900,11028.40,1.1%
2024-10-11,sz159959,央企ETF,央企,7600,11042.80,1.1%
2024-10-11,sh513690,港股红利ETF博时,红利,12500,10962.50,1.1%
2024-10-14,sz159717,ESGETF,esg,110400,98808.00,9.9%
2024-10-14,sh588830,科创新能源ETF,新能源,81400,95807.80,9.6%
2024-10-14,sz159529,标普消费ETF,标普,87600,99513.60,10.0%
2024-10-14,sz159930,能源ETF,能源,66500,98686.00,9.9%
2024-10-14,sz159501,纳指ETF嘉实,纳指嘉实,74100,99886.80,10.0%
2024-10-14,sz159918,中创400ETF,中创400,58200,99172.80,10.0%
2024-10-14,sh515360,方正沪深300ETF,300,18500,98494.00,9.9%
2024-10-14,sh510230,金融ETF,金融,78100,102232.90,10.3%
2024-10-14,sh511660,货币ETF建信,货币建信,900,90033.30,9.0%
2024-10-14,sz159954,恒生中国企业ETF南方,恒生中国企业南方,13200,11272.80,1.1%
2024-10-14,sz159699,恒生消费ETF,恒生消费,11700,11150.10,1.1%
2024-10-14,sh510170,大宗商品ETF,大宗商品,12100,11180.40,1.1%
2024-10-14,sh513750,港股通非银ETF,非银,9100,11293.10,1.1%
2024-10-14,sh515680,央企创新ETF嘉实,央企创新嘉实,7400,11270.20,1.1%
2024-10-14,sh560330,沪深300价值ETF申万菱信,300,9600,11260.80,1.1%
2024-10-14,sz159519,港股国企ETF,港股国企,8600,11420.80,1.1%
2024-10-14,sh512800,银行ETF,银行,7900,11423.40,1.1%
2024-10-14,sz159959,央企ETF,央企,7600,11316.40,1.1%
2024-10-14,sh513690,港股红利ETF博时,红利,12500,11400.00,1.1%
2024-10-15,sz159717,ESGETF,esg,110400,96710.40,9.9%
2024-10-15,sh588830,科创新能源ETF,新能源,81400,93528.60,9.5%
2024-10-15,sz159529,标普消费ETF,标普,87600,100564.80,10.2%
2024-10-15,sz159930,能源ETF,能源,66500,96026.00,9.8%
2024-10-15,sz159501,纳指ETF嘉实,纳指嘉实,74100,101442.90,10.3%
2024-10-15,sz159918,中创400ETF,中创400,58200,97717.80,10.0%
2024-10-15,sh515360,方正沪深300ETF,300,18500,96311.00,9.8%
2024-10-15,sh510230,金融ETF,金融,78100,99343.20,10.1%
2024-10-15,sh511660,货币ETF建信,货币建信,900,90029.70,9.2%
2024-10-15,sz159954,恒生中国企业ETF南方,恒生中国企业南方,13200,10837.20,1.1%
2024-10-15,sz159699,恒生消费ETF,恒生消费,11700,10728.90,1.1%
2024-10-15,sh510170,大宗商品ETF,大宗商品,12100,10890.00,1.1%
2024-10-15,sh513750,港股通非银ETF,非银,9100,10792.60,1.1%
2024-10-15,sh515680,央企创新ETF嘉实,央企创新嘉实,7400,10937.20,1.1%
2024-10-15,sh560330,沪深300价值ETF申万菱信,300,9600,10992.00,1.1%
2024-10-15,sz159519,港股国企ETF,港股国企,8600,11102.60,1.1%
2024-10-15,sh512800,银行ETF,银行,7900,11154.80,1.1%
2024-10-15,sz159959,央企ETF,央企,7600,11004.80,1.1%
2024-10-15,sh513690,港股红利ETF博时,红利,12500,11125.00,1.1%
2024-10-16,sz159717,ESGETF,esg,110400,95937.60,9.8%
2024-10-16,sh588830,科创新能源ETF,新能源,81400,90679.60,9.3%
2024-10-16,sz159529,标普消费ETF,标普,87600,100740.00,10.3%
2024-10-16,sz159930,能源ETF,能源,66500,95893.00,9.8%
2024-10-16,sz159501,纳指ETF嘉实,纳指嘉实,74100,100331.40,10.2%
2024-10-16,sz159918,中创400ETF,中创400,58200,99114.60,10.1%
2024-10-16,sh515360,方正沪深300ETF,300,18500,95589.50,9.8%
2024-10-16,sh510230,金融ETF,金融,78100,100827.10,10.3%
2024-10-16,sh511660,货币ETF建信,货币建信,900,90024.30,9.2%
2024-10-16,sz159954,恒生中国企业ETF南方,恒生中国企业南方,13200,10929.60,1.1%
2024-10-16,sz159699,恒生消费ETF,恒生消费,11700,10670.40,1.1%
2024-10-16,sh510170,大宗商品ETF,大宗商品,12100,10877.90,1.1%
2024-10-16,sh513750,港股通非银ETF,非银,9100,10938.20,1.1%
2024-10-16,sh515680,央企创新ETF嘉实,央企创新嘉实,7400,10922.40,1.1%
2024-10-16,sh560330,沪深300价值ETF申万菱信,300,9600,11049.60,1.1%
2024-10-16,sz159519,港股国企ETF,港股国企,8600,11240.20,1.1%
2024-10-16,sh512800,银行ETF,银行,7900,11470.80,1.2%
