date,code,action,price,qty,amt,cash
2024-09-25,sh516860,BUY,0.73,1369700,999980.9881,9000019.0119
2024-09-25,sh517660,BUY,0.754,1326100,999979.38794,8000039.62396
2024-09-25,sz159851,BUY,0.857,1166700,999961.88619,7000077.7377700005
2024-09-25,sh513190,BUY,1.183,845200,999971.5871600001,6000106.15061
2024-09-25,sz159742,BUY,0.53,1886600,999997.9898,5000108.16081
2024-09-25,sh513090,BUY,1.0,999900,999999.99,4000108.17081
2024-09-25,sh513380,BUY,0.954,1048100,999987.3887399998,3000120.78207
2024-09-25,sh513260,BUY,1.0,999900,999999.99,2000120.7920700002
2024-09-25,sh516100,BUY,0.701,1426300,999936.28363,1000184.5084400002
2024-09-25,sh513750,BUY,1.017,983100,999912.68127,271.82717000029515
2024-10-22,sh517660,SELL,0.905,1326100,1200000.48795,1200272.3151200004
2024-10-22,sh513190,SELL,1.308,845200,1105411.0478400001,2305683.3629600005
2024-10-22,sz159742,SELL,0.618,1886600,1165802.20812,3471485.5710800006
2024-10-22,sh513090,SELL,1.452,999900,1451709.61452,4923195.1856
2024-10-22,sh513380,SELL,1.114,1048100,1167466.6416600002,6090661.827260001
2024-10-22,sh513260,SELL,1.164,999900,1163767.2116399999,7254429.038900001
2024-10-22,sh516100,SELL,1.13,1426300,1611557.8280999998,8865986.867
2024-10-22,sh513750,SELL,1.226,983100,1205160.0719400002,10071146.93894
2024-10-22,sz159546,BUY,1.226,1085600,1331078.69456,8740068.24438
2024-10-22,sz159995,BUY,1.19,1118400,1331029.0896,7409039.154779999
2024-10-22,sz159613,BUY,0.818,1627100,1331100.8967799998,6077938.2579999985
2024-10-22,sz159572,BUY,1.172,1135600,1331056.29232,4746881.9656799985
2024-10-22,sz159665,BUY,1.207,1102700,1331091.9958900001,3415789.9697899986
2024-10-22,sh562920,BUY,0.871,1528100,1331108.19751,2084681.7722799985
2024-10-22,sh562560,BUY,1.282,1038200,1331105.4972400002,753576.2750399983
2024-10-22,sz159573,BUY,1.165,1142400,1331029.0896,-577452.8145600017
2024-11-11,sh516860,SELL,1.409,1369700,1929714.30927,1352261.4947099984
2024-11-11,sz159851,SELL,1.646,1166700,1920196.16118,3272457.655889998
2024-11-11,sz159546,SELL,1.354,1085600,1469755.4097600002,4742213.065649998
2024-11-11,sz159995,SELL,1.355,1118400,1515280.4568,6257493.522449998
2024-11-11,sz159572,SELL,1.31,1135600,1487487.2364,7744980.758849998
2024-11-11,sz159665,SELL,1.373,1102700,1513855.6992900001,9258836.458139999
2024-11-11,sh562920,SELL,1.049,1528100,1602816.60231,10861653.060449999
2024-11-11,sh562560,SELL,1.452,1038200,1507315.6533599999,12368968.713809999
2024-11-11,sz159573,SELL,1.301,1142400,1486113.77376,13855082.487569999
2024-11-11,sz159527,BUY,1.616,956900,1546505.0350400002,12308577.452529998
2024-11-11,sh561980,BUY,1.501,1030200,1546484.83302,10762092.619509999
2024-11-11,sz159538,BUY,1.304,1185900,1546568.24136,9215524.37815
2024-11-11,sh516630,BUY,1.227,1260300,1546542.73881,7668981.639339999
2024-11-11,sh588010,BUY,0.693,2231500,1546584.14295,6122397.496389999
2024-11-11,sh516700,BUY,1.032,1498400,1546503.43488,4575894.0615099985
2024-11-11,sh516000,BUY,1.038,1489800,1546567.0412400002,3029327.0202699983
2024-11-11,sz159890,BUY,1.287,1201500,1546485.13305,1482841.8872199983
2024-11-11,sh512720,BUY,1.195,1294000,1546484.633,-63642.74578000163
2024-11-29,sz159613,SELL,0.915,1627100,1488647.62035,1425004.8745699984
2024-11-29,sz159527,SELL,1.455,956900,1392150.27105,2817155.1456199987
2024-11-29,sh561980,SELL,1.332,1030200,1372089.17736,4189244.322979999
2024-11-29,sz159538,SELL,1.217,1185900,1443095.97597,5632340.298949999
2024-11-29,sh516630,SELL,1.112,1260300,1401313.4546400001,7033653.753589999
2024-11-29,sh588010,SELL,0.617,2231500,1376697.81645,8410351.570039999
2024-11-29,sh516700,SELL,0.917,1498400,1373895.39672,9784246.966759998
