T,Return,MaxDD
7,88.8283531564001,-14.60749502022508
8,81.75759799880012,-15.088004850761704
9,84.43193627600006,-14.78637838839405
10,84.97511815350008,-14.646461046374949
11,86.69289344450011,-14.579733677006478
12,90.32266309380009,-14.55320466342014
13,90.6745302722001,-15.178164753644586
14,98.30419850780004,-14.640696138436283
15,95.90432164460003,-15.300673763912332
16,92.67272593620002,-14.800322915758478
17,88.33845573130009,-15.14501233552139
