Date,AAPL,MSFT,GOOGL,AMZN,META,NVDA,TSLA,AVGO,AMD,INTC,QCOM,MU,AMAT,CRM,ADBE,ORCL,CSCO,INTU,NOW,COST,NFLX,CMCSA,PEP,TMUS,PYPL,ADP,ISRG,AMGN,GILD,REGN,VRTX,MRNA,HON,SBUX,LRCX,ADI,KLAC,SNPS,CDNS,MRVL,ASML,PANW,ABNB,COIN,DDOG,ZS
2021-01-04 00:00:00-05:00,125.97447204589844,208.88221740722656,85.6592788696289,159.3314971923828,267.0744323730469,13.076725959777832,243.2566680908203,38.253108978271484,92.30000305175781,44.90293502807617,133.33761596679688,72.2503662109375,83.19064331054688,217.66529846191406,485.3399963378906,59.30576705932617,38.03580093383789,359.558837890625,105.36599731445312,359.6884460449219,52.2859992980957,40.69205093383789,123.65279388427734,127.94139099121094,231.38510131835938,152.3035125732422,266.6666564941406,193.64248657226562,49.610374450683594,480.1967468261719,229.42999267578125,111.7300033569336,176.99119567871094,92.12076568603516,45.26313018798828,133.80874633789062,246.6731414794922,254.6999969482422,135.75999450683594,45.3896598815918,477.94921875,58.61000061035156,139.14999389648438,,91.2300033569336,196.08999633789062
2021-01-05 00:00:00-05:00,127.5319595336914,209.083740234375,86.35006713867188,160.92550659179688,269.0903015136719,13.367158889770508,245.0366668701172,38.5121955871582,92.7699966430664,45.752723693847656,136.8663330078125,75.3823471069336,85.80499267578125,218.86077880859375,485.69000244140625,58.57084655761719,38.05310821533203,356.8212585449219,106.39399719238281,355.5158996582031,52.08000183105469,40.449249267578125,124.02137756347656,127.38107299804688,234.3682098388672,151.8798370361328,268.3500061035156,194.58226013183594,49.519596099853516,480.7835388183594,228.5800018310547,109.18000030517578,177.42526245117188,92.42455291748047,46.82835388183594,136.20045471191406,251.84666442871094,258.8900146484375,136.13999938964844,46.663818359375,483.07281494140625,58.358333587646484,148.3000030517578,,93.02999877929688,193.47999572753906
2021-01-06 00:00:00-05:00,123.23905944824219,203.6622772216797,85.49799346923828,156.91900634765625,261.48345947265625,12.579126358032227,251.9933319091797,38.27470016479492,90.33000183105469,46.1956901550293,135.75296020507812,75.23596954345703,86.98291015625,213.55523681640625,466.30999755859375,58.43075942993164,38.41649627685547,349.2083435058594,101.44999694824219,350.10382080078125,50.04899978637695,40.91865158081055,122.5042953491211,127.07189178466797,226.3068389892578,151.34803771972656,264.2633361816406,199.2725067138672,51.128971099853516,467.4972229003906,226.64999389648438,116.26000213623047,180.65956115722656,93.09467315673828,47.01203536987305,136.814453125,251.29708862304688,249.6999969482422,130.63999938964844,45.5856819152832,468.6004943847656,57.54666519165039,142.77000427246094,,91.33000183105469,184.4199981689453
2021-01-07 00:00:00-05:00,127.44438171386719,209.4579315185547,88.05171966552734,158.10800170898438,266.875732421875,13.306580543518066,272.0133361816406,39.887691497802734,95.16000366210938,47.18107604980469,139.80247497558594,77.1873779296875,90.55492401123047,215.36328125,477.739990234375,58.897682189941406,38.90103530883789,356.58905029296875,102.28199768066406,348.1167907714844,50.888999938964844,40.99959182739258,122.11005401611328,128.6756591796875,234.49789428710938,152.20436096191406,269.4033203125,199.9303741455078,51.59940719604492,478.5459289550781,232.89999389648438,115.08999633789062,180.95745849609375,92.34414672851562,48.71359634399414,142.5967254638672,263.5961608886719,258.8399963378906,137.0500030517578,48.04579162597656,479.3161926269531,60.518333435058594,151.27000427246094,,96.63999938964844,193.0500030517578
2021-01-08 00:00:00-05:00,128.5443878173828,210.73414611816406,89.21739959716797,159.13499450683594,265.7138671875,13.23951530456543,293.3399963378906,40.0900993347168,94.58000183105469,46.69291305541992,140.646484375,75.53844451904297,91.51255798339844,219.37454223632812,485.1000061035156,59.18717956542969,38.98755645751953,362.8092346191406,105.9280014038086,350.0280456542969,51.040000915527344,41.71177291870117,123.57566833496094,130.4822540283203,241.9008026123047,154.18746948242188,272.9166564941406,203.74923706054688,52.02858352661133,495.979248046875,237.0,112.75,178.7615203857422,94.41708374023438,47.498741149902344,143.6322479248047,268.32440185546875,262.79998779296875,136.19000244140625,48.10462188720703,486.3037414550781,61.09166717529297,149.77000427246094,,99.94000244140625,197.3699951171875
2021-01-11 00:00:00-05:00,125.55587768554688,208.69032287597656,87.15597534179688,155.7104949951172,255.05831909179688,13.583298683166504,270.39666748046875,40.10089874267578,97.25,46.593467712402344,140.17059326171875,76.758056640625,93.81092834472656,215.63002014160156,474.239990234375,58.8603401184082,39.24713134765625,360.7552795410156,104.61199951171875,344.4172668457031,49.90999984741211,41.695594787597656,121.78436279296875,128.4244384765625,236.9522247314453,151.89788818359375,271.2166748046875,202.9632110595703,51.591163635253906,500.1461181640625,234.63999938964844,117.26000213623047,177.34014892578125,93.46100616455078,48.904876708984375,145.06179809570312,273.9433288574219,260.42999267578125,134.69000244140625,49.24155044555664,485.5486145019531,60.79999923706055,148.1300048828125,,104.25,198.6999969482422
2021-01-12 00:00:00-05:00,125.38065338134766,206.23388671875,86.22003936767578,156.04150390625,249.34820556640625,13.446935653686523,283.14666748046875,40.42745590209961,95.36000061035156,48.13030242919922,138.68008422851562,77.52887725830078,95.77410125732422,212.9328155517578,471.6499938964844,58.29068374633789,39.61918258666992,354.2928466796875,102.64199829101562,344.5970458984375,49.42499923706055,40.473533630371094,121.21866607666016,124.32816314697266,237.09190368652344,152.39364624023438,262.80999755859375,202.1259765625,51.23626708984375,502.9605407714844,229.3800048828125,124.55000305175781,177.78274536132812,91.87055969238281,50.79486083984375,145.78573608398438,275.7247009277344,258.5799865722656,133.72000122070312,49.633602142333984,491.264892578125,61.746665954589844,160.8000030517578,,105.58000183105469,205.89999389648438
2021-01-13 00:00:00-05:00,127.4151611328125,207.58685302734375,86.70735931396484,158.29449462890625,249.8944091796875,13.493803024291992,284.8033447265625,40.59117889404297,91.77999877929688,51.48423385620117,141.34686279296875,77.96793365478516,93.89712524414062,215.5608673095703,472.04998779296875,57.95450210571289,39.24713134765625,353.60491943359375,104.34200286865234,347.19903564453125,50.77899932861328,40.594932556152344,122.212890625,124.14460754394531,244.3351593017578,148.42742919921875,270.48333740234375,203.1085205078125,50.79059982299805,509.07659912109375,227.10000610351562,124.05999755859375,176.1996612548828,91.93311309814453,49.853660583496094,145.2267608642578,274.8814697265625,257.1400146484375,134.1199951171875,49.24155044555664,491.3891296386719,60.96666717529297,169.99000549316406,,104.8499984741211,207.0800018310547
2021-01-14 00:00:00-05:00,125.48775482177734,204.4011688232422,85.89698028564453,156.37350463867188,243.93601989746094,13.16323184967041,281.6666564941406,40.66855239868164,90.79000091552734,53.563499450683594,144.42665100097656,79.32415008544922,101.3188705444336,213.01185607910156,463.2699890136719,57.52493667602539,39.0654296875,354.1378479003906,102.86799621582031,342.84661865234375,50.08599853515625,40.12553405761719,121.50149536132812,120.46373748779297,241.501708984375,145.94851684570312,265.71331787109375,206.45741271972656,51.500370025634766,515.0534057617188,226.1199951171875,129.72000122070312,177.5529327392578,90.9770736694336,52.816463470458984,146.12477111816406,287.9385070800781,257.9100036621094,135.39999389648438,50.2902946472168,520.6300659179688,60.526668548583984,180.5,,101.83999633789062,209.8699951171875
2021-01-15 00:00:00-05:00,123.76471710205078,204.04612731933594,85.73321533203125,155.21249389648438,249.61636352539062,12.823441505432129,275.38665771484375,40.10899353027344,88.20999908447266,52.053775787353516,141.05052185058594,78.75824737548828,98.7715072631836,210.58139038085938,458.0799865722656,57.69301223754883,39.30769348144531,359.4667053222656,102.75199890136719,342.66680908203125,49.79800033569336,39.405250549316406,121.18439483642578,122.96595001220703,239.2369384765625,145.2364044189453,259.47332763671875,209.72952270507812,52.2679328918457,515.0733642578125,225.5500030517578,129.64999389648438,175.30599975585938,91.43275451660156,51.84495544433594,144.5577850341797,288.17535400390625,258.9200134277344,134.63999938964844,49.761024475097656,504.2362365722656,60.811668395996094,169.27000427246094,,99.83999633789062,211.05999755859375
