N,T,收益率,最大回撤,Calmar
3,8,122.66,9.08,13.508810572687224
3,10,124.95,6.86,18.214285714285715
3,12,120.49,7.76,15.527061855670103
3,14,128.18,7.49,17.113484646194927
4,8,125.4,8.18,15.330073349633253
4,10,137.49,7.05,19.50212765957447
4,12,125.86,7.26,17.336088154269973
4,14,134.9,6.7,20.134328358208954
5,8,129.1,8.76,14.737442922374429
5,10,143.21,6.73,21.27934621099554
5,12,128.9,6.67,19.325337331334335
5,14,139.67,6.01,23.239600665557404
