收盘,日期
0.977,2025-11-20
0.959,2025-11-21
0.957,2025-11-24
0.964,2025-11-25
0.963,2025-11-26
0.962,2025-11-27
0.957,2025-11-28
0.968,2025-12-01
0.97,2025-12-02
0.966,2025-12-03
0.971,2025-12-04
0.968,2025-12-05
0.964,2025-12-08
0.951,2025-12-09
0.936,2025-12-10
0.937,2025-12-11
0.94,2025-12-12
0.941,2025-12-15
0.93,2025-12-16
0.934,2025-12-17
0.936,2025-12-18
0.934,2025-12-19
0.931,2025-12-22
0.936,2025-12-23
0.931,2025-12-24
0.929,2025-12-25
0.93,2025-12-26
0.923,2025-12-29
0.927,2025-12-30
0.918,2025-12-31
0.916,2026-01-05
0.922,2026-01-06
0.921,2026-01-07
0.916,2026-01-08
0.92,2026-01-09
0.918,2026-01-12
0.923,2026-01-13
0.921,2026-01-14
0.923,2026-01-15
0.915,2026-01-16
0.911,2026-01-19
0.913,2026-01-20
0.912,2026-01-21
0.925,2026-01-22
0.92,2026-01-23
