收盘,日期
1.056,2025-09-26
1.07,2025-09-29
1.075,2025-09-30
1.08,2025-10-09
1.052,2025-10-10
1.04,2025-10-13
1.016,2025-10-14
1.039,2025-10-15
1.033,2025-10-16
1.007,2025-10-17
1.021,2025-10-20
1.05,2025-10-21
1.043,2025-10-22
1.045,2025-10-23
1.067,2025-10-24
1.081,2025-10-27
1.081,2025-10-28
1.097,2025-10-29
1.08,2025-10-30
1.082,2025-10-31
1.08,2025-11-03
1.064,2025-11-04
1.068,2025-11-05
1.078,2025-11-06
1.073,2025-11-07
1.065,2025-11-10
1.058,2025-11-11
1.061,2025-11-12
1.078,2025-11-13
1.062,2025-11-14
1.056,2025-11-17
1.046,2025-11-18
1.037,2025-11-19
1.027,2025-11-20
0.994,2025-11-21
1.006,2025-11-24
1.023,2025-11-25
1.03,2025-11-26
1.029,2025-11-27
1.037,2025-11-28
1.05,2025-12-01
1.04,2025-12-02
1.033,2025-12-03
1.035,2025-12-04
1.048,2025-12-05
1.069,2025-12-08
1.07,2025-12-09
1.067,2025-12-10
1.053,2025-12-11
1.051,2025-12-12
1.042,2025-12-15
1.025,2025-12-16
1.047,2025-12-17
1.038,2025-12-18
1.047,2025-12-19
1.06,2025-12-22
1.062,2025-12-23
1.071,2025-12-24
1.076,2025-12-25
1.075,2025-12-26
1.078,2025-12-29
1.076,2025-12-30
1.073,2025-12-31
1.104,2026-01-05
1.114,2026-01-06
1.115,2026-01-07
1.114,2026-01-08
1.13,2026-01-09
1.152,2026-01-12
1.144,2026-01-13
1.153,2026-01-14
1.159,2026-01-15
1.159,2026-01-16
1.158,2026-01-19
1.144,2026-01-20
1.156,2026-01-21
1.162,2026-01-22
1.173,2026-01-23
