收盘,日期
0.962,2025-09-26
0.973,2025-09-29
0.987,2025-09-30
0.977,2025-10-09
0.954,2025-10-10
0.931,2025-10-13
0.889,2025-10-14
0.912,2025-10-15
0.932,2025-10-16
0.909,2025-10-17
0.903,2025-10-20
0.916,2025-10-21
0.889,2025-10-22
0.869,2025-10-23
0.869,2025-10-24
0.872,2025-10-27
0.862,2025-10-28
0.881,2025-10-29
0.843,2025-10-30
0.888,2025-10-31
0.906,2025-11-03
0.881,2025-11-04
0.878,2025-11-05
0.881,2025-11-06
0.861,2025-11-07
0.874,2025-11-10
0.868,2025-11-11
0.891,2025-11-12
0.932,2025-11-13
0.923,2025-11-14
0.907,2025-11-17
0.895,2025-11-18
0.886,2025-11-19
0.889,2025-11-20
0.86,2025-11-21
0.879,2025-11-24
0.886,2025-11-25
0.903,2025-11-26
0.905,2025-11-27
0.899,2025-11-28
0.894,2025-12-01
0.881,2025-12-02
0.867,2025-12-03
0.882,2025-12-04
0.883,2025-12-05
0.87,2025-12-08
0.851,2025-12-09
0.848,2025-12-10
0.845,2025-12-11
0.856,2025-12-12
0.823,2025-12-15
0.809,2025-12-16
0.814,2025-12-17
0.816,2025-12-18
0.83,2025-12-19
0.823,2025-12-22
0.823,2025-12-23
0.818,2025-12-24
0.82,2025-12-25
0.818,2025-12-26
0.802,2025-12-29
0.794,2025-12-30
0.785,2025-12-31
0.83,2026-01-05
0.833,2026-01-06
0.858,2026-01-07
0.864,2026-01-08
0.874,2026-01-09
0.873,2026-01-12
0.876,2026-01-13
0.883,2026-01-14
0.878,2026-01-15
0.872,2026-01-16
0.848,2026-01-19
0.838,2026-01-20
0.835,2026-01-21
0.824,2026-01-22
0.842,2026-01-23
