收盘,日期
1.414,2025-09-26
1.436,2025-09-29
1.439,2025-09-30
1.456,2025-10-09
1.379,2025-10-10
1.375,2025-10-13
1.312,2025-10-14
1.337,2025-10-15
1.347,2025-10-16
1.299,2025-10-17
1.329,2025-10-20
1.379,2025-10-21
1.376,2025-10-22
1.371,2025-10-23
1.44,2025-10-24
1.475,2025-10-27
1.468,2025-10-28
1.507,2025-10-29
1.473,2025-10-30
1.412,2025-10-31
1.412,2025-11-03
1.393,2025-11-04
1.404,2025-11-05
1.45,2025-11-06
1.438,2025-11-07
1.419,2025-11-10
1.393,2025-11-11
1.394,2025-11-12
1.411,2025-11-13
1.368,2025-11-14
1.36,2025-11-17
1.355,2025-11-18
1.357,2025-11-19
1.348,2025-11-20
1.289,2025-11-21
1.286,2025-11-24
1.307,2025-11-25
1.349,2025-11-26
1.347,2025-11-27
1.352,2025-11-28
1.37,2025-12-01
1.362,2025-12-02
1.354,2025-12-03
1.374,2025-12-04
1.384,2025-12-05
1.429,2025-12-08
1.45,2025-12-09
1.449,2025-12-10
1.418,2025-12-11
1.431,2025-12-12
1.4,2025-12-15
1.373,2025-12-16
1.423,2025-12-17
1.389,2025-12-18
1.395,2025-12-19
1.435,2025-12-22
1.44,2025-12-23
1.448,2025-12-24
1.447,2025-12-25
1.447,2025-12-26
1.437,2025-12-29
1.454,2025-12-30
1.428,2025-12-31
1.47,2026-01-05
1.477,2026-01-06
1.486,2026-01-07
1.48,2026-01-08
1.487,2026-01-09
1.498,2026-01-12
1.463,2026-01-13
1.476,2026-01-14
1.496,2026-01-15
1.501,2026-01-16
1.494,2026-01-19
1.46,2026-01-20
1.49,2026-01-21
1.506,2026-01-22
1.495,2026-01-23
