收盘,日期
1.787,2025-09-26
1.811,2025-09-29
1.79,2025-09-30
1.777,2025-10-09
1.713,2025-10-10
1.692,2025-10-13
1.599,2025-10-14
1.622,2025-10-15
1.629,2025-10-16
1.594,2025-10-17
1.653,2025-10-20
1.737,2025-10-21
1.737,2025-10-22
1.71,2025-10-23
1.809,2025-10-24
1.876,2025-10-27
1.886,2025-10-28
1.899,2025-10-29
1.838,2025-10-30
1.771,2025-10-31
1.789,2025-11-03
1.774,2025-11-04
1.756,2025-11-05
1.793,2025-11-06
1.777,2025-11-07
1.773,2025-11-10
1.721,2025-11-11
1.728,2025-11-12
1.733,2025-11-13
1.67,2025-11-14
1.707,2025-11-17
1.713,2025-11-18
1.723,2025-11-19
1.731,2025-11-20
1.652,2025-11-21
1.659,2025-11-24
1.719,2025-11-25
1.803,2025-11-26
1.79,2025-11-27
1.794,2025-11-28
1.838,2025-12-01
1.829,2025-12-02
1.812,2025-12-03
1.83,2025-12-04
1.851,2025-12-05
1.953,2025-12-08
2.008,2025-12-09
2.027,2025-12-10
1.958,2025-12-11
1.979,2025-12-12
1.942,2025-12-15
1.884,2025-12-16
1.98,2025-12-17
1.948,2025-12-18
1.949,2025-12-19
2.018,2025-12-22
2.002,2025-12-23
2.029,2025-12-24
2.029,2025-12-25
2.015,2025-12-26
2.012,2025-12-29
2.032,2025-12-30
2.025,2025-12-31
2.087,2026-01-05
2.085,2026-01-06
2.102,2026-01-07
2.084,2026-01-08
2.138,2026-01-09
2.31,2026-01-12
2.229,2026-01-13
2.29,2026-01-14
2.268,2026-01-15
2.228,2026-01-16
2.191,2026-01-19
2.134,2026-01-20
2.16,2026-01-21
2.23,2026-01-22
2.211,2026-01-23
