收盘,日期
1.038,2025-09-26
1.042,2025-09-29
1.064,2025-09-30
1.07,2025-10-09
1.044,2025-10-10
1.024,2025-10-13
0.995,2025-10-14
1.015,2025-10-15
1.016,2025-10-16
1.0,2025-10-17
0.998,2025-10-20
1.007,2025-10-21
1.0,2025-10-22
0.999,2025-10-23
1.002,2025-10-24
1.009,2025-10-27
0.999,2025-10-28
1.005,2025-10-29
0.98,2025-10-30
0.996,2025-10-31
0.988,2025-11-03
0.966,2025-11-04
0.966,2025-11-05
0.968,2025-11-06
0.967,2025-11-07
0.98,2025-11-10
0.976,2025-11-11
0.98,2025-11-12
0.993,2025-11-13
0.987,2025-11-14
0.97,2025-11-17
0.968,2025-11-18
0.962,2025-11-19
0.955,2025-11-20
0.94,2025-11-21
0.945,2025-11-24
0.947,2025-11-25
0.952,2025-11-26
0.946,2025-11-27
0.949,2025-11-28
0.954,2025-12-01
0.943,2025-12-02
0.939,2025-12-03
0.941,2025-12-04
0.947,2025-12-05
0.948,2025-12-08
0.946,2025-12-09
0.948,2025-12-10
0.944,2025-12-11
0.943,2025-12-12
0.933,2025-12-15
0.922,2025-12-16
0.933,2025-12-17
0.934,2025-12-18
0.946,2025-12-19
0.942,2025-12-22
0.938,2025-12-23
0.937,2025-12-24
0.945,2025-12-25
0.944,2025-12-26
0.931,2025-12-29
0.929,2025-12-30
0.924,2025-12-31
0.954,2026-01-05
0.961,2026-01-06
0.966,2026-01-07
0.97,2026-01-08
0.982,2026-01-09
0.986,2026-01-12
0.996,2026-01-13
0.987,2026-01-14
0.981,2026-01-15
0.972,2026-01-16
0.97,2026-01-19
0.96,2026-01-20
0.96,2026-01-21
0.95,2026-01-22
0.957,2026-01-23
