开盘,收盘,日期
0.9268737,0.9240875,2023-12-14
0.925945,0.9194439,2023-12-15
0.9203726,0.9194439,2023-12-18
0.9194439,0.9194439,2023-12-19
0.9194439,0.9194439,2023-12-20
0.9185152,0.915729,2023-12-21
0.9148002,0.915729,2023-12-22
0.915729,0.915729,2023-12-25
0.915729,0.9148002,2023-12-26
0.9148002,0.9194439,2023-12-27
0.9203726,0.9166577,2023-12-28
0.9166577,0.9203726,2023-12-29
0.9213013,0.9305887,2024-01-02
0.9287312,0.939876,2024-01-03
0.939876,0.9510208,2024-01-04
0.9473058,0.9538069,2024-01-05
0.9538069,0.9454483,2024-01-08
0.9408047,0.9510208,2024-01-09
0.9473058,0.9435909,2024-01-10
0.9454483,0.9408047,2024-01-11
0.9370897,0.9408047,2024-01-12
0.9435909,0.950092,2024-01-15
0.9473058,0.9538069,2024-01-16
0.9519495,0.9426622,2024-01-17
0.9426622,0.936161,2024-01-18
0.9352323,0.9305887,2024-01-19
0.9287312,0.9092278,2024-01-22
0.9008693,0.9148002,2024-01-23
0.915729,0.9333748,2024-01-24
0.9352323,0.9612368,2024-01-25
0.9584506,0.9733103,2024-01-26
0.9760965,0.9779539,2024-01-29
0.9751677,0.9649518,2024-01-30
0.9565931,0.9658804,2024-01-31
0.9621655,0.9528782,2024-02-01
0.9575219,0.9556645,2024-02-02
0.9538069,0.9528782,2024-02-05
0.9473058,0.9686666,2024-02-06
0.9621655,0.9779539,2024-02-07
0.9779539,0.9770253,2024-02-08
0.984455,1.002101,2024-02-19
1.002101,1.011388,2024-02-20
1.011388,1.014174,2024-02-21
1.013246,1.030892,2024-02-22
1.030892,1.028105,2024-02-23
1.026248,1.004887,2024-02-26
1.004887,1.012317,2024-02-27
1.004887,1.003958,2024-02-28
1.003958,1.012317,2024-02-29
1.011388,1.012317,2024-03-01
1.008602,1.016961,2024-03-04
1.018818,1.026248,2024-03-05
1.029963,1.025319,2024-03-06
1.025319,1.029034,2024-03-07
1.029034,1.034607,2024-03-08
1.030892,1.027177,2024-03-11
1.023462,1.003958,2024-03-12
1.001172,0.9983861,2024-03-13
0.9965285,1.00303,2024-03-14
1.002101,1.004887,2024-03-15
1.003958,1.005816,2024-03-18
1.005816,1.00303,2024-03-19
1.00303,1.009531,2024-03-20
1.008602,1.011388,2024-03-21
1.012317,1.009531,2024-03-22
1.007673,1.01046,2024-03-25
1.009531,1.012317,2024-03-26
1.011388,1.011388,2024-03-27
1.008602,1.008602,2024-03-28
1.008602,1.019747,2024-03-29
1.017889,1.021604,2024-04-01
1.024391,1.029034,2024-04-02
1.029963,1.03925,2024-04-03
1.041108,1.042965,2024-04-08
1.042036,1.038321,2024-04-09
1.038321,1.040179,2024-04-10
1.038321,1.050395,2024-04-11
1.048537,1.048537,2024-04-12
1.048537,1.06897,2024-04-15
1.063397,1.069898,2024-04-16
1.06897,1.089402,2024-04-17
1.094974,1.094974,2024-04-18
1.087544,1.094974,2024-04-19
1.095903,1.073613,2024-04-22
1.068041,1.055967,2024-04-23
1.058754,1.055967,2024-04-24
1.052252,1.06154,2024-04-25
1.057825,1.049466,2024-04-26
1.050395,1.045751,2024-04-29
1.044823,1.052252,2024-04-30
1.052252,1.059682,2024-05-06
1.059682,1.059682,2024-05-07
1.058754,1.064326,2024-05-08
1.065255,1.071756,2024-05-09
1.06897,1.075471,2024-05-10
1.075471,1.086615,2024-05-13
1.085687,1.081972,2024-05-14
1.076399,1.078257,2024-05-15
1.078257,1.081972,2024-05-16
1.081972,1.087544,2024-05-17
1.086615,1.098689,2024-05-20
1.09776,1.101475,2024-05-21
1.101475,1.101475,2024-05-22
1.094045,1.086615,2024-05-23
1.086615,1.09033,2024-05-24
1.09033,1.106119,2024-05-27
1.106119,1.103333,2024-05-28
1.100546,1.102404,2024-05-29
1.102404,1.096832,2024-05-30
1.09776,1.09776,2024-05-31
1.09776,1.083829,2024-06-03
1.081043,1.088473,2024-06-04
1.086615,1.072685,2024-06-05
1.074542,1.075471,2024-06-06
1.075471,1.084758,2024-06-07
1.085687,1.069898,2024-06-11
1.068041,1.079186,2024-06-12
1.078257,1.068041,2024-06-13
1.066183,1.071756,2024-06-14
1.070856,1.057717,2024-06-17
1.059594,1.057717,2024-06-18
1.05584,1.06241,2024-06-19
1.059594,1.060533,2024-06-20
1.053963,1.061471,2024-06-21
1.059594,1.04927,2024-06-24
1.04927,1.052086,2024-06-25
1.051147,1.056779,2024-06-26
1.05584,1.05584,2024-06-27
1.057717,1.068041,2024-06-28
1.068041,1.086811,2024-07-01
