收盘,日期
0.974,2025-09-26
0.968,2025-09-29
0.986,2025-09-30
0.999,2025-10-09
0.998,2025-10-10
0.998,2025-10-13
0.999,2025-10-14
1.005,2025-10-15
1.009,2025-10-16
1.001,2025-10-17
1.009,2025-10-20
1.007,2025-10-21
0.997,2025-10-22
1.001,2025-10-23
1.002,2025-10-24
0.999,2025-10-27
0.997,2025-10-28
1.003,2025-10-29
1.012,2025-10-30
0.991,2025-10-31
0.993,2025-11-03
0.986,2025-11-04
0.98,2025-11-05
0.974,2025-11-06
0.969,2025-11-07
0.973,2025-11-10
0.969,2025-11-11
0.977,2025-11-12
0.968,2025-11-13
0.952,2025-11-14
0.953,2025-11-17
0.945,2025-11-18
0.96,2025-11-19
0.954,2025-11-20
0.942,2025-11-21
0.95,2025-11-24
0.94,2025-11-25
0.932,2025-11-26
0.927,2025-11-27
0.925,2025-11-28
0.927,2025-12-01
0.93,2025-12-02
0.926,2025-12-03
0.937,2025-12-04
0.936,2025-12-05
0.942,2025-12-08
0.95,2025-12-09
0.942,2025-12-10
0.93,2025-12-11
0.932,2025-12-12
0.924,2025-12-15
0.919,2025-12-16
0.914,2025-12-17
0.917,2025-12-18
0.922,2025-12-19
0.924,2025-12-22
0.92,2025-12-23
0.929,2025-12-24
0.922,2025-12-25
0.923,2025-12-26
0.916,2025-12-29
0.915,2025-12-30
0.915,2025-12-31
0.921,2026-01-05
0.921,2026-01-06
0.937,2026-01-07
0.926,2026-01-08
0.93,2026-01-09
0.931,2026-01-12
0.94,2026-01-13
0.945,2026-01-14
0.939,2026-01-15
0.93,2026-01-16
0.93,2026-01-19
0.932,2026-01-20
0.928,2026-01-21
0.938,2026-01-22
0.944,2026-01-23
