开盘,收盘,日期
2690.287,2732.155,2020-09-04
2728.742,2641.202,2020-09-07
2648.44,2650.629,2020-09-08
2609.129,2523.396,2020-09-09
2551.302,2483.031,2020-09-10
2474.703,2536.618,2020-09-11
2568.014,2572.601,2020-09-14
2578.693,2595.154,2020-09-15
2597.639,2554.8,2020-09-16
2551.289,2557.321,2020-09-17
2558.291,2596.082,2020-09-18
2605.554,2569.219,2020-09-21
2556.462,2555.544,2020-09-22
2563.713,2599.885,2020-09-23
2576.035,2535.868,2020-09-24
2551.445,2540.426,2020-09-25
2551.781,2521.246,2020-09-28
2538.364,2563.379,2020-09-29
2575.464,2574.758,2020-09-30
2632.592,2672.934,2020-10-09
2702.156,2777.388,2020-10-12
2769.662,2784.717,2020-10-13
2777.887,2764.244,2020-10-14
2767.171,2737.963,2020-10-15
2735.68,2724.497,2020-10-16
2750.946,2689.669,2020-10-19
2698.055,2740.583,2020-10-20
2746.728,2700.533,2020-10-21
2686.777,2673.585,2020-10-22
2680.707,2600.843,2020-10-23
2585.788,2617.743,2020-10-26
2618.696,2650.764,2020-10-27
2648.49,2670.481,2020-10-28
2635.693,2699.923,2020-10-29
2709.002,2655.865,2020-10-30
2670.516,2708.388,2020-11-02
2720.7,2744.314,2020-11-03
2747.541,2750.554,2020-11-04
2782.063,2787.878,2020-11-05
2798.554,2733.072,2020-11-06
2753.925,2813.998,2020-11-09
2811.485,2773.218,2020-11-10
2762.706,2681.524,2020-11-11
2705.761,2700.51,2020-11-12
2699.517,2706.813,2020-11-13
2716.021,2712.409,2020-11-16
2715.086,2658.092,2020-11-17
2656.889,2620.672,2020-11-18
2614.781,2645.161,2020-11-19
2649.559,2667.093,2020-11-20
2677.347,2686.358,2020-11-23
2689.798,2674.798,2020-11-24
2678.106,2615.531,2020-11-25
2616.74,2609.386,2020-11-26
2614.664,2618.991,2020-11-27
2627.867,2631.889,2020-11-30
2628.726,2698.443,2020-12-01
2697.444,2682.972,2020-12-02
2681.586,2712.518,2020-12-03
2701.369,2730.837,2020-12-04
2720.854,2726.483,2020-12-07
2736.029,2746.281,2020-12-08
2752.354,2697.826,2020-12-09
2689.215,2718.545,2020-12-10
2727.966,2687.781,2020-12-11
2695.191,2726.601,2020-12-14
2727.953,2758.854,2020-12-15
2764.337,2760.64,2020-12-16
2758.442,2785.615,2020-12-17
2787.776,2780.73,2020-12-18
2789.642,2882.443,2020-12-21
2867.21,2811.749,2020-12-22
2822.259,2842.97,2020-12-23
2838.938,2820.753,2020-12-24
2811.547,2840.801,2020-12-25
2847.12,2842.81,2020-12-28
2838.708,2812.997,2020-12-29
2828.014,2900.538,2020-12-30
2911.39,2966.256,2020-12-31
2977.321,3078.111,2021-01-04
3050.183,3097.977,2021-01-05
3113.847,3115.091,2021-01-06
3106.339,3162.398,2021-01-07
3179.365,3150.78,2021-01-08
3159.594,3092.861,2021-01-11
3079.84,3180.35,2021-01-12
3180.747,3130.298,2021-01-13
3101.962,3089.177,2021-01-14
3073.997,3089.945,2021-01-15
3078.026,3149.2,2021-01-18
3146.273,3084.488,2021-01-19
3106.348,3204.932,2021-01-20
3217.827,3283.721,2021-01-21
3282.041,3358.238,2021-01-22
3363.602,3355.24,2021-01-25
3335.438,3258.355,2021-01-26
3269.773,3281.031,2021-01-27
3219.93,3161.863,2021-01-28
3201.669,3128.865,2021-01-29
3134.79,3159.993,2021-02-01
3176.253,3228.698,2021-02-02
3245.261,3223.766,2021-02-03
3208.646,3200.549,2021-02-04
3224.847,3193.707,2021-02-05
3202.483,3278.06,2021-02-08
3291.501,3334.242,2021-02-09
3350.324,3413.81,2021-02-10
3475.89,3320.144,2021-02-18
3289.006,3285.535,2021-02-19
3278.586,3138.672,2021-02-22
3099.189,3112.357,2021-02-23
3112.723,3007.456,2021-02-24
3040.901,2977.176,2021-02-25
2907.483,2914.113,2021-02-26
2958.53,2994.751,2021-03-01
3019.096,2966.892,2021-03-02
2951.29,2997.749,2021-03-03
2962.52,2851.873,2021-03-04
2800.25,2871.972,2021-03-05
2889.085,2728.844,2021-03-08
2717.17,2633.45,2021-03-09
2708.229,2676.702,2021-03-10
2682.948,2746.575,2021-03-11
2768.577,2756.813,2021-03-12
2737.447,2644.015,2021-03-15
2664.693,2672.117,2021-03-16
2662.926,2704.136,2021-03-17
2717.274,2748.726,2021-03-18
2697.827,2671.518,2021-03-19
2683.638,2698.261,2021-03-22
2684.643,2668.082,2021-03-23
2650.372,2634.614,2021-03-24
2609.378,2655.999,2021-03-25
2672.909,2745.4,2021-03-26
2747.856,2733.963,2021-03-29
2728.49,2771.322,2021-03-30
2770.332,2758.501,2021-03-31
2766.417,2815.413,2021-04-01
2828.352,2852.229,2021-04-02
2865.445,2831.598,2021-04-06
2843.574,2807.201,2021-04-07
2793.166,2826.99,2021-04-08
2823.78,2783.327,2021-04-09
2789.785,2719.953,2021-04-12
2719.556,2742.852,2021-04-13
2753.665,2804.409,2021-04-14
2787.247,2790.644,2021-04-15
2801.739,2783.373,2021-04-16
2777.017,2898.729,2021-04-19
2880.057,2896.108,2021-04-20
2873.362,2916.975,2021-04-21
2941.303,2939.395,2021-04-22
2938.932,2994.488,2021-04-23
3019.303,2969.405,2021-04-26
2964.027,2986.034,2021-04-27
2990.7,3050.585,2021-04-28
3053.738,3051.417,2021-04-29
3040.649,3091.395,2021-04-30
3059.584,3014.812,2021-05-06
3021.867,2910.411,2021-05-07
2920.42,2921.721,2021-05-10
2898.801,2921.343,2021-05-11
2913.064,2960.355,2021-05-12
2922.731,2943.617,2021-05-13
2954.172,3033.806,2021-05-14
3049.019,3112.741,2021-05-17
3108.634,3090.123,2021-05-18
3081.221,3114.724,2021-05-19
3113.552,3143.616,2021-05-20
3162.791,3113.259,2021-05-21
3128.776,3139.686,2021-05-24
3155.274,3227.355,2021-05-25
3226.698,3196.848,2021-05-26
3192.045,3226.108,2021-05-27
3226.081,3232.291,2021-05-28
3246.149,3309.069,2021-05-31
3290.533,3300.159,2021-06-01
3309.181,3243.022,2021-06-02
3241.158,3201.784,2021-06-03
3194.39,3242.612,2021-06-04
3240.954,3228.243,2021-06-07
3227.271,3208.572,2021-06-08
3203.147,3207.626,2021-06-09
3213.444,3285.51,2021-06-10
3305.531,3298.497,2021-06-11
3298.212,3262.188,2021-06-15
3258.603,3125.701,2021-06-16
3133.911,3188.593,2021-06-17
3210.137,3239.227,2021-06-18
3235.692,3270.577,2021-06-21
3273.631,3281.992,2021-06-22
3288.756,3318.946,2021-06-23
3326.334,3279.159,2021-06-24
3288.269,3347.699,2021-06-25
3356.219,3412.863,2021-06-28
3438.885,3406.238,2021-06-29
3418.812,3477.178,2021-06-30
3486.778,3455.359,2021-07-01
3429.606,3333.897,2021-07-02
3332.49,3352.117,2021-07-05
3359.263,3291.988,2021-07-06
3278.126,3409.589,2021-07-07
3435.311,3432.957,2021-07-08
3413.018,3409.309,2021-07-09
3453.01,3534.763,2021-07-12
3518.527,3514.977,2021-07-13
3491.42,3488.627,2021-07-14
3476.114,3537.391,2021-07-15
3525.271,3432.647,2021-07-16
3438.198,3449.526,2021-07-19
3431.001,3463.791,2021-07-20
3480.702,3560.045,2021-07-21
3572.435,3544.436,2021-07-22
3539.423,3469.873,2021-07-23
3450.903,3371.228,2021-07-26
3384.456,3232.839,2021-07-27
3204.314,3284.92,2021-07-28
3375.326,3459.721,2021-07-29
3454.026,3440.182,2021-07-30
3448.257,3493.359,2021-08-02
3490.857,3477.229,2021-08-03
3463.729,3563.127,2021-08-04
3547.836,3532.5,2021-08-05
3539.967,3490.902,2021-08-06
3455.703,3456.747,2021-08-09
3453.845,3468.67,2021-08-10
3457.789,3437.058,2021-08-11
3413.521,3386.432,2021-08-12
3360.517,3345.126,2021-08-13
3330.825,3301.391,2021-08-16
3311.952,3224.153,2021-08-17
3238.261,3248.373,2021-08-18
3259.094,3278.357,2021-08-19
3256.492,3192.9,2021-08-20
3218.968,3293.77,2021-08-23
3301.865,3330.58,2021-08-24
3330.809,3348.662,2021-08-25
3361.907,3264.45,2021-08-26
3259.154,3257.072,2021-08-27
3275.975,3271.802,2021-08-30
3273.813,3214.117,2021-08-31
3214.166,3186.85,2021-09-01
3181.258,3138.803,2021-09-02
3150.304,3102.145,2021-09-03
3106.257,3228.088,2021-09-06
3222.428,3251.487,2021-09-07
3259.534,3219.947,2021-09-08
3224.451,3221.941,2021-09-09
3207.864,3232.01,2021-09-10
3231.395,3194.275,2021-09-13
3199.411,3236.547,2021-09-14
3233.154,3200.399,2021-09-15
3199.459,3128.845,2021-09-16
3124.316,3193.261,2021-09-17
3144.455,3164.328,2021-09-22
3197.261,3182.467,2021-09-23
3176.868,3207.817,2021-09-24
3228.068,3231.583,2021-09-27
3219.381,3211.454,2021-09-28
3181.979,3175.152,2021-09-29
3188.392,3244.646,2021-09-30
3259.46,3243.204,2021-10-08
3242.184,3196.189,2021-10-11
3194.012,3138.263,2021-10-12
3141.424,3210.159,2021-10-13
3216.86,3215.736,2021-10-14
3198.893,3276.321,2021-10-15
3287.039,3276.484,2021-10-18
3293.801,3297.293,2021-10-19
3304.551,3285.122,2021-10-20
3286.27,3279.487,2021-10-21
3290.541,3284.911,2021-10-22
3303.22,3338.624,2021-10-25
3370.785,3327.537,2021-10-26
3321.64,3308.962,2021-10-27
3301.906,3278.359,2021-10-28
3275.831,3350.665,2021-10-29
3341.472,3331.915,2021-11-01
3329.414,3339.597,2021-11-02
3334.414,3327.085,2021-11-03
3351.298,3362.249,2021-11-04
3354.379,3352.754,2021-11-05
3353.889,3380.292,2021-11-08
3400.973,3409.942,2021-11-09
3388.054,3399.663,2021-11-10
