收盘,日期
1.274,2025-09-26
1.293,2025-09-29
1.293,2025-09-30
1.307,2025-10-09
1.291,2025-10-10
1.316,2025-10-13
1.253,2025-10-14
1.273,2025-10-15
1.263,2025-10-16
1.233,2025-10-17
1.241,2025-10-20
1.26,2025-10-21
1.253,2025-10-22
1.255,2025-10-23
1.269,2025-10-24
1.287,2025-10-27
1.279,2025-10-28
1.303,2025-10-29
1.281,2025-10-30
1.277,2025-10-31
1.278,2025-11-03
1.26,2025-11-04
1.264,2025-11-05
1.285,2025-11-06
1.281,2025-11-07
1.277,2025-11-10
1.271,2025-11-11
1.267,2025-11-12
1.272,2025-11-13
1.261,2025-11-14
1.237,2025-11-17
1.222,2025-11-18
1.227,2025-11-19
1.223,2025-11-20
1.195,2025-11-21
1.199,2025-11-24
1.204,2025-11-25
1.209,2025-11-26
1.212,2025-11-27
1.223,2025-11-28
1.235,2025-12-01
1.226,2025-12-02
1.228,2025-12-03
1.232,2025-12-04
1.242,2025-12-05
1.248,2025-12-08
1.246,2025-12-09
1.248,2025-12-10
1.237,2025-12-11
1.252,2025-12-12
1.248,2025-12-15
1.226,2025-12-16
1.246,2025-12-17
1.243,2025-12-18
1.256,2025-12-19
1.264,2025-12-22
1.263,2025-12-23
1.273,2025-12-24
1.273,2025-12-25
1.287,2025-12-26
1.281,2025-12-29
1.283,2025-12-30
1.284,2025-12-31
1.304,2026-01-05
1.328,2026-01-06
1.334,2026-01-07
1.326,2026-01-08
1.365,2026-01-09
1.371,2026-01-12
1.36,2026-01-13
1.369,2026-01-14
1.357,2026-01-15
1.384,2026-01-16
1.399,2026-01-19
1.388,2026-01-20
1.394,2026-01-21
1.396,2026-01-22
1.418,2026-01-23
