收盘,日期
1.277,2025-09-26
1.327,2025-09-29
1.32,2025-09-30
1.325,2025-10-09
1.335,2025-10-10
1.315,2025-10-13
1.314,2025-10-14
1.323,2025-10-15
1.325,2025-10-16
1.3,2025-10-17
1.3,2025-10-20
1.314,2025-10-21
1.296,2025-10-22
1.306,2025-10-23
1.315,2025-10-24
1.335,2025-10-27
1.328,2025-10-28
1.356,2025-10-29
1.338,2025-10-30
1.321,2025-10-31
1.314,2025-11-03
1.31,2025-11-04
1.306,2025-11-05
1.319,2025-11-06
1.315,2025-11-07
1.325,2025-11-10
1.315,2025-11-11
1.306,2025-11-12
1.316,2025-11-13
1.304,2025-11-14
1.288,2025-11-17
1.289,2025-11-18
1.289,2025-11-19
1.294,2025-11-20
1.25,2025-11-21
1.247,2025-11-24
1.255,2025-11-25
1.249,2025-11-26
1.248,2025-11-27
1.258,2025-11-28
1.263,2025-12-01
1.254,2025-12-02
1.243,2025-12-03
1.245,2025-12-04
1.275,2025-12-05
1.303,2025-12-08
1.287,2025-12-09
1.291,2025-12-10
1.278,2025-12-11
1.283,2025-12-12
1.293,2025-12-15
1.286,2025-12-16
1.31,2025-12-17
1.297,2025-12-18
1.299,2025-12-19
1.299,2025-12-22
1.296,2025-12-23
1.303,2025-12-24
1.309,2025-12-25
1.317,2025-12-26
1.31,2025-12-29
1.308,2025-12-30
1.3,2025-12-31
1.319,2026-01-05
1.369,2026-01-06
1.352,2026-01-07
1.321,2026-01-08
1.32,2026-01-09
1.333,2026-01-12
1.329,2026-01-13
1.317,2026-01-14
1.297,2026-01-15
1.285,2026-01-16
1.283,2026-01-19
1.29,2026-01-20
1.282,2026-01-21
1.283,2026-01-22
1.281,2026-01-23
