收盘,日期
1.209,2025-09-26
1.229,2025-09-29
1.246,2025-09-30
1.28,2025-10-09
1.223,2025-10-10
1.236,2025-10-13
1.193,2025-10-14
1.208,2025-10-15
1.191,2025-10-16
1.15,2025-10-17
1.156,2025-10-20
1.17,2025-10-21
1.157,2025-10-22
1.172,2025-10-23
1.185,2025-10-24
1.195,2025-10-27
1.207,2025-10-28
1.221,2025-10-29
1.202,2025-10-30
1.231,2025-10-31
1.241,2025-11-03
1.219,2025-11-04
1.196,2025-11-05
1.204,2025-11-06
1.175,2025-11-07
1.184,2025-11-10
1.16,2025-11-11
1.141,2025-11-12
1.156,2025-11-13
1.13,2025-11-14
1.156,2025-11-17
1.169,2025-11-18
1.154,2025-11-19
1.135,2025-11-20
1.109,2025-11-21
1.148,2025-11-24
1.147,2025-11-25
1.141,2025-11-26
1.126,2025-11-27
1.133,2025-11-28
1.139,2025-12-01
1.12,2025-12-02
1.095,2025-12-03
1.095,2025-12-04
1.115,2025-12-05
1.123,2025-12-08
1.105,2025-12-09
1.109,2025-12-10
1.088,2025-12-11
1.098,2025-12-12
1.087,2025-12-15
1.079,2025-12-16
1.099,2025-12-17
1.087,2025-12-18
1.092,2025-12-19
1.097,2025-12-22
1.085,2025-12-23
1.094,2025-12-24
1.109,2025-12-25
1.113,2025-12-26
1.118,2025-12-29
1.125,2025-12-30
1.138,2025-12-31
1.173,2026-01-05
1.202,2026-01-06
1.183,2026-01-07
1.193,2026-01-08
1.238,2026-01-09
1.362,2026-01-12
1.332,2026-01-13
1.386,2026-01-14
1.353,2026-01-15
1.319,2026-01-16
1.289,2026-01-19
1.258,2026-01-20
1.253,2026-01-21
1.272,2026-01-22
1.296,2026-01-23
