收盘,日期
0.508,2025-09-26
0.508,2025-09-29
0.518,2025-09-30
0.52,2025-10-09
0.507,2025-10-10
0.496,2025-10-13
0.483,2025-10-14
0.493,2025-10-15
0.496,2025-10-16
0.486,2025-10-17
0.489,2025-10-20
0.494,2025-10-21
0.49,2025-10-22
0.489,2025-10-23
0.49,2025-10-24
0.495,2025-10-27
0.49,2025-10-28
0.495,2025-10-29
0.482,2025-10-30
0.491,2025-10-31
0.488,2025-11-03
0.478,2025-11-04
0.477,2025-11-05
0.479,2025-11-06
0.479,2025-11-07
0.483,2025-11-10
0.48,2025-11-11
0.484,2025-11-12
0.491,2025-11-13
0.489,2025-11-14
0.479,2025-11-17
0.477,2025-11-18
0.473,2025-11-19
0.471,2025-11-20
0.463,2025-11-21
0.467,2025-11-24
0.47,2025-11-25
0.474,2025-11-26
0.471,2025-11-27
0.47,2025-11-28
0.472,2025-12-01
0.465,2025-12-02
0.463,2025-12-03
0.464,2025-12-04
0.467,2025-12-05
0.468,2025-12-08
0.467,2025-12-09
0.468,2025-12-10
0.467,2025-12-11
0.467,2025-12-12
0.46,2025-12-15
0.453,2025-12-16
0.457,2025-12-17
0.457,2025-12-18
0.464,2025-12-19
0.462,2025-12-22
0.461,2025-12-23
0.461,2025-12-24
0.462,2025-12-25
0.462,2025-12-26
0.458,2025-12-29
0.456,2025-12-30
0.453,2025-12-31
0.469,2026-01-05
0.472,2026-01-06
0.476,2026-01-07
0.476,2026-01-08
0.482,2026-01-09
0.481,2026-01-12
0.489,2026-01-13
0.483,2026-01-14
0.48,2026-01-15
0.474,2026-01-16
0.472,2026-01-19
0.468,2026-01-20
0.466,2026-01-21
0.463,2026-01-22
0.465,2026-01-23
