开盘,收盘,日期
0.963,1.001,2020-01-02
1.006,1.012,2020-01-03
1.011,1.015,2020-01-06
1.015,1.014,2020-01-07
1.011,0.999,2020-01-08
0.994,1.004,2020-01-09
1.004,0.992,2020-01-10
0.992,0.992,2020-01-13
0.994,0.987,2020-01-14
0.992,0.964,2020-01-15
0.963,0.958,2020-01-16
0.962,0.953,2020-01-17
0.953,0.963,2020-01-20
0.963,0.928,2020-01-21
0.934,0.935,2020-01-22
0.935,0.919,2020-01-23
0.827,0.827,2020-02-03
0.744,0.777,2020-02-04
0.767,0.785,2020-02-05
0.793,0.8,2020-02-06
0.79,0.805,2020-02-07
0.805,0.839,2020-02-10
0.839,0.845,2020-02-11
0.842,0.852,2020-02-12
0.852,0.845,2020-02-13
0.832,0.899,2020-02-14
0.883,0.908,2020-02-17
0.901,0.894,2020-02-18
0.894,0.897,2020-02-19
0.889,0.909,2020-02-20
0.912,0.917,2020-02-21
0.917,0.913,2020-02-24
0.882,0.905,2020-02-25
0.89,0.916,2020-02-26
0.916,0.924,2020-02-27
0.894,0.884,2020-02-28
0.884,0.972,2020-03-02
1.009,0.965,2020-03-03
0.96,0.968,2020-03-04
0.961,0.983,2020-03-05
0.978,0.971,2020-03-06
0.963,0.958,2020-03-09
0.921,0.962,2020-03-10
0.956,0.962,2020-03-11
0.9,0.936,2020-03-12
0.891,0.902,2020-03-13
0.905,0.869,2020-03-16
0.899,0.855,2020-03-17
0.855,0.831,2020-03-18
0.812,0.827,2020-03-19
0.781,0.83,2020-03-20
0.79,0.814,2020-03-23
0.813,0.826,2020-03-24
0.85,0.852,2020-03-25
0.84,0.839,2020-03-26
0.831,0.848,2020-03-27
0.831,0.834,2020-03-30
0.82,0.825,2020-03-31
0.798,0.817,2020-04-01
0.779,0.823,2020-04-02
0.796,0.814,2020-04-03
0.84,0.839,2020-04-07
0.811,0.82,2020-04-08
0.824,0.833,2020-04-09
0.825,0.821,2020-04-10
0.802,0.833,2020-04-13
0.81,0.839,2020-04-14
0.839,0.837,2020-04-15
0.837,0.836,2020-04-16
0.826,0.851,2020-04-17
0.85,0.856,2020-04-20
0.844,0.839,2020-04-21
0.849,0.847,2020-04-22
0.838,0.846,2020-04-23
0.83,0.848,2020-04-24
0.811,0.844,2020-04-27
0.8,0.818,2020-04-28
0.823,0.805,2020-04-29
0.806,0.832,2020-04-30
