收盘,日期
1.257,2025-09-26
1.267,2025-09-29
1.278,2025-09-30
1.297,2025-10-09
1.265,2025-10-10
1.261,2025-10-13
1.239,2025-10-14
1.259,2025-10-15
1.255,2025-10-16
1.232,2025-10-17
1.234,2025-10-20
1.254,2025-10-21
1.25,2025-10-22
1.255,2025-10-23
1.27,2025-10-24
1.289,2025-10-27
1.281,2025-10-28
1.3,2025-10-29
1.286,2025-10-30
1.276,2025-10-31
1.273,2025-11-03
1.262,2025-11-04
1.265,2025-11-05
1.285,2025-11-06
1.282,2025-11-07
1.284,2025-11-10
1.273,2025-11-11
1.271,2025-11-12
1.283,2025-11-13
1.271,2025-11-14
1.266,2025-11-17
1.253,2025-11-18
1.257,2025-11-19
1.259,2025-11-20
1.219,2025-11-21
1.215,2025-11-24
1.229,2025-11-25
1.235,2025-11-26
1.234,2025-11-27
1.246,2025-11-28
1.251,2025-12-01
1.247,2025-12-02
1.242,2025-12-03
1.245,2025-12-04
1.257,2025-12-05
1.272,2025-12-08
1.261,2025-12-09
1.263,2025-12-10
1.252,2025-12-11
1.261,2025-12-12
1.251,2025-12-15
1.237,2025-12-16
1.261,2025-12-17
1.254,2025-12-18
1.261,2025-12-19
1.274,2025-12-22
1.28,2025-12-23
1.285,2025-12-24
1.29,2025-12-25
1.296,2025-12-26
1.29,2025-12-29
1.297,2025-12-30
1.294,2025-12-31
1.317,2026-01-05
1.341,2026-01-06
1.338,2026-01-07
1.333,2026-01-08
1.344,2026-01-09
1.357,2026-01-12
1.351,2026-01-13
1.347,2026-01-14
1.349,2026-01-15
1.345,2026-01-16
1.349,2026-01-19
1.347,2026-01-20
1.351,2026-01-21
1.352,2026-01-22
1.36,2026-01-23
