收盘,日期
0.988,2025-09-26
1.0,2025-09-29
1.006,2025-09-30
1.011,2025-10-09
0.99,2025-10-10
0.983,2025-10-13
0.957,2025-10-14
0.97,2025-10-15
0.961,2025-10-16
0.936,2025-10-17
0.946,2025-10-20
0.965,2025-10-21
0.961,2025-10-22
0.96,2025-10-23
0.979,2025-10-24
0.992,2025-10-27
0.996,2025-10-28
1.01,2025-10-29
0.995,2025-10-30
0.991,2025-10-31
0.997,2025-11-03
0.98,2025-11-04
0.985,2025-11-05
0.997,2025-11-06
0.993,2025-11-07
0.992,2025-11-10
0.982,2025-11-11
0.98,2025-11-12
1.003,2025-11-13
0.981,2025-11-14
0.986,2025-11-17
0.977,2025-11-18
0.971,2025-11-19
0.96,2025-11-20
0.923,2025-11-21
0.933,2025-11-24
0.948,2025-11-25
0.959,2025-11-26
0.955,2025-11-27
0.963,2025-11-28
0.973,2025-12-01
0.966,2025-12-02
0.957,2025-12-03
0.957,2025-12-04
0.975,2025-12-05
0.989,2025-12-08
0.993,2025-12-09
0.992,2025-12-10
0.977,2025-12-11
0.982,2025-12-12
0.975,2025-12-15
0.958,2025-12-16
0.974,2025-12-17
0.967,2025-12-18
0.976,2025-12-19
0.983,2025-12-22
0.985,2025-12-23
1.0,2025-12-24
1.006,2025-12-25
1.008,2025-12-26
1.002,2025-12-29
1.005,2025-12-30
0.998,2025-12-31
1.021,2026-01-05
1.036,2026-01-06
1.035,2026-01-07
1.042,2026-01-08
1.059,2026-01-09
1.091,2026-01-12
1.066,2026-01-13
1.081,2026-01-14
1.07,2026-01-15
1.069,2026-01-16
1.073,2026-01-19
1.055,2026-01-20
1.059,2026-01-21
1.072,2026-01-22
1.088,2026-01-23
