收盘,日期
1.087,2025-09-26
1.099,2025-09-29
1.122,2025-09-30
1.164,2025-10-09
1.089,2025-10-10
1.105,2025-10-13
1.04,2025-10-14
1.054,2025-10-15
1.051,2025-10-16
1.01,2025-10-17
1.017,2025-10-20
1.051,2025-10-21
1.047,2025-10-22
1.04,2025-10-23
1.091,2025-10-24
1.12,2025-10-27
1.11,2025-10-28
1.114,2025-10-29
1.092,2025-10-30
1.05,2025-10-31
1.038,2025-11-03
1.03,2025-11-04
1.02,2025-11-05
1.058,2025-11-06
1.046,2025-11-07
1.039,2025-11-10
1.023,2025-11-11
1.018,2025-11-12
1.036,2025-11-13
1.001,2025-11-14
0.999,2025-11-17
1.005,2025-11-18
0.996,2025-11-19
0.983,2025-11-20
0.943,2025-11-21
0.948,2025-11-24
0.961,2025-11-25
0.974,2025-11-26
0.976,2025-11-27
0.986,2025-11-28
1.006,2025-12-01
0.992,2025-12-02
0.984,2025-12-03
1.002,2025-12-04
1.0,2025-12-05
1.023,2025-12-08
1.021,2025-12-09
1.02,2025-12-10
1.005,2025-12-11
1.021,2025-12-12
0.996,2025-12-15
0.979,2025-12-16
0.999,2025-12-17
0.993,2025-12-18
0.993,2025-12-19
1.015,2025-12-22
1.024,2025-12-23
1.039,2025-12-24
1.04,2025-12-25
1.035,2025-12-26
1.036,2025-12-29
1.047,2025-12-30
1.033,2025-12-31
1.083,2026-01-05
1.106,2026-01-06
1.127,2026-01-07
1.131,2026-01-08
1.138,2026-01-09
1.159,2026-01-12
1.119,2026-01-13
1.138,2026-01-14
1.155,2026-01-15
1.208,2026-01-16
1.195,2026-01-19
1.184,2026-01-20
1.234,2026-01-21
1.224,2026-01-22
1.225,2026-01-23
