收盘,日期
1.034,2025-09-26
1.035,2025-09-29
1.054,2025-09-30
1.069,2025-10-09
1.061,2025-10-10
1.063,2025-10-13
1.049,2025-10-14
1.054,2025-10-15
1.036,2025-10-16
1.001,2025-10-17
1.015,2025-10-20
1.019,2025-10-21
1.012,2025-10-22
1.012,2025-10-23
1.034,2025-10-24
1.043,2025-10-27
1.045,2025-10-28
1.051,2025-10-29
1.039,2025-10-30
1.031,2025-10-31
1.035,2025-11-03
1.021,2025-11-04
1.021,2025-11-05
1.024,2025-11-06
1.019,2025-11-07
1.022,2025-11-10
1.017,2025-11-11
1.007,2025-11-12
1.01,2025-11-13
1.001,2025-11-14
1.007,2025-11-17
0.993,2025-11-18
0.99,2025-11-19
0.986,2025-11-20
0.96,2025-11-21
0.994,2025-11-24
0.994,2025-11-25
0.977,2025-11-26
0.98,2025-11-27
0.995,2025-11-28
1.004,2025-12-01
0.999,2025-12-02
0.987,2025-12-03
0.992,2025-12-04
1.02,2025-12-05
1.028,2025-12-08
1.023,2025-12-09
1.026,2025-12-10
1.021,2025-12-11
1.041,2025-12-12
1.045,2025-12-15
1.029,2025-12-16
1.02,2025-12-17
1.038,2025-12-18
1.047,2025-12-19
1.05,2025-12-22
1.022,2025-12-23
1.057,2025-12-24
1.095,2025-12-25
1.105,2025-12-26
1.124,2025-12-29
1.117,2025-12-30
1.155,2025-12-31
1.176,2026-01-05
1.23,2026-01-06
1.204,2026-01-07
1.26,2026-01-08
1.291,2026-01-09
1.42,2026-01-12
1.299,2026-01-13
1.326,2026-01-14
1.266,2026-01-15
1.271,2026-01-16
1.29,2026-01-19
1.251,2026-01-20
1.246,2026-01-21
1.277,2026-01-22
1.325,2026-01-23
