收盘,日期
0.74,2025-09-26
0.74,2025-09-29
0.752,2025-09-30
0.75,2025-10-09
0.734,2025-10-10
0.717,2025-10-13
0.696,2025-10-14
0.714,2025-10-15
0.716,2025-10-16
0.701,2025-10-17
0.705,2025-10-20
0.714,2025-10-21
0.707,2025-10-22
0.703,2025-10-23
0.706,2025-10-24
0.715,2025-10-27
0.708,2025-10-28
0.713,2025-10-29
0.695,2025-10-30
0.718,2025-10-31
0.712,2025-11-03
0.696,2025-11-04
0.693,2025-11-05
0.697,2025-11-06
0.69,2025-11-07
0.697,2025-11-10
0.693,2025-11-11
0.699,2025-11-12
0.712,2025-11-13
0.71,2025-11-14
0.695,2025-11-17
0.69,2025-11-18
0.683,2025-11-19
0.682,2025-11-20
0.665,2025-11-21
0.674,2025-11-24
0.678,2025-11-25
0.686,2025-11-26
0.681,2025-11-27
0.682,2025-11-28
0.684,2025-12-01
0.673,2025-12-02
0.67,2025-12-03
0.674,2025-12-04
0.676,2025-12-05
0.678,2025-12-08
0.676,2025-12-09
0.676,2025-12-10
0.674,2025-12-11
0.675,2025-12-12
0.663,2025-12-15
0.649,2025-12-16
0.658,2025-12-17
0.656,2025-12-18
0.667,2025-12-19
0.666,2025-12-22
0.663,2025-12-23
0.663,2025-12-24
0.666,2025-12-25
0.664,2025-12-26
0.656,2025-12-29
0.652,2025-12-30
0.649,2025-12-31
0.674,2026-01-05
0.677,2026-01-06
0.686,2026-01-07
0.687,2026-01-08
0.698,2026-01-09
0.7,2026-01-12
0.71,2026-01-13
0.699,2026-01-14
0.693,2026-01-15
0.688,2026-01-16
0.682,2026-01-19
0.672,2026-01-20
0.673,2026-01-21
0.665,2026-01-22
0.671,2026-01-23
