收盘,日期
1.524,2025-09-26
1.529,2025-09-29
1.543,2025-09-30
1.565,2025-10-09
1.528,2025-10-10
1.528,2025-10-13
1.493,2025-10-14
1.513,2025-10-15
1.497,2025-10-16
1.457,2025-10-17
1.467,2025-10-20
1.494,2025-10-21
1.483,2025-10-22
1.487,2025-10-23
1.507,2025-10-24
1.532,2025-10-27
1.533,2025-10-28
1.551,2025-10-29
1.534,2025-10-30
1.532,2025-10-31
1.523,2025-11-03
1.5,2025-11-04
1.5,2025-11-05
1.52,2025-11-06
1.52,2025-11-07
1.523,2025-11-10
1.513,2025-11-11
1.505,2025-11-12
1.524,2025-11-13
1.513,2025-11-14
1.509,2025-11-17
1.488,2025-11-18
1.48,2025-11-19
1.467,2025-11-20
1.429,2025-11-21
1.435,2025-11-24
1.446,2025-11-25
1.445,2025-11-26
1.444,2025-11-27
1.462,2025-11-28
1.475,2025-12-01
1.461,2025-12-02
1.455,2025-12-03
1.456,2025-12-04
1.469,2025-12-05
1.487,2025-12-08
1.48,2025-12-09
1.487,2025-12-10
1.472,2025-12-11
1.487,2025-12-12
1.483,2025-12-15
1.464,2025-12-16
1.485,2025-12-17
1.481,2025-12-18
1.493,2025-12-19
1.509,2025-12-22
1.512,2025-12-23
1.53,2025-12-24
1.542,2025-12-25
1.552,2025-12-26
1.546,2025-12-29
1.554,2025-12-30
1.557,2025-12-31
1.59,2026-01-05
1.623,2026-01-06
1.636,2026-01-07
1.641,2026-01-08
1.678,2026-01-09
1.724,2026-01-12
1.694,2026-01-13
1.709,2026-01-14
1.708,2026-01-15
1.717,2026-01-16
1.724,2026-01-19
1.706,2026-01-20
1.726,2026-01-21
1.742,2026-01-22
1.784,2026-01-23
