收盘,日期
1.438,2025-09-26
1.456,2025-09-29
1.46,2025-09-30
1.482,2025-10-09
1.455,2025-10-10
1.448,2025-10-13
1.434,2025-10-14
1.455,2025-10-15
1.454,2025-10-16
1.424,2025-10-17
1.431,2025-10-20
1.45,2025-10-21
1.447,2025-10-22
1.449,2025-10-23
1.47,2025-10-24
1.492,2025-10-27
1.482,2025-10-28
1.502,2025-10-29
1.49,2025-10-30
1.468,2025-10-31
1.473,2025-11-03
1.458,2025-11-04
1.46,2025-11-05
1.48,2025-11-06
1.482,2025-11-07
1.486,2025-11-10
1.474,2025-11-11
1.472,2025-11-12
1.484,2025-11-13
1.465,2025-11-14
1.452,2025-11-17
1.448,2025-11-18
1.451,2025-11-19
1.442,2025-11-20
1.406,2025-11-21
1.405,2025-11-24
1.417,2025-11-25
1.425,2025-11-26
1.422,2025-11-27
1.43,2025-11-28
1.446,2025-12-01
1.437,2025-12-02
1.429,2025-12-03
1.432,2025-12-04
1.447,2025-12-05
1.456,2025-12-08
1.453,2025-12-09
1.452,2025-12-10
1.438,2025-12-11
1.45,2025-12-12
1.437,2025-12-15
1.422,2025-12-16
1.448,2025-12-17
1.442,2025-12-18
1.45,2025-12-19
1.463,2025-12-22
1.465,2025-12-23
1.473,2025-12-24
1.48,2025-12-25
1.484,2025-12-26
1.476,2025-12-29
1.482,2025-12-30
1.475,2025-12-31
1.5,2026-01-05
1.523,2026-01-06
1.525,2026-01-07
1.516,2026-01-08
1.523,2026-01-09
1.529,2026-01-12
1.521,2026-01-13
1.522,2026-01-14
1.52,2026-01-15
1.521,2026-01-16
1.522,2026-01-19
1.514,2026-01-20
1.516,2026-01-21
1.52,2026-01-22
1.515,2026-01-23
