收盘,日期
1.146,2025-09-26
1.151,2025-09-29
1.178,2025-09-30
1.167,2025-10-09
1.13,2025-10-10
1.097,2025-10-13
1.069,2025-10-14
1.094,2025-10-15
1.079,2025-10-16
1.044,2025-10-17
1.068,2025-10-20
1.087,2025-10-21
1.07,2025-10-22
1.076,2025-10-23
1.087,2025-10-24
1.104,2025-10-27
1.09,2025-10-28
1.098,2025-10-29
1.078,2025-10-30
1.069,2025-10-31
1.067,2025-11-03
1.048,2025-11-04
1.039,2025-11-05
1.06,2025-11-06
1.044,2025-11-07
1.059,2025-11-10
1.055,2025-11-11
1.062,2025-11-12
1.08,2025-11-13
1.052,2025-11-14
1.04,2025-11-17
1.02,2025-11-18
1.012,2025-11-19
1.001,2025-11-20
0.982,2025-11-21
1.0,2025-11-24
1.006,2025-11-25
1.013,2025-11-26
1.007,2025-11-27
1.009,2025-11-28
1.011,2025-12-01
1.005,2025-12-02
0.99,2025-12-03
1.003,2025-12-04
1.013,2025-12-05
1.011,2025-12-08
0.995,2025-12-09
0.996,2025-12-10
0.993,2025-12-11
1.006,2025-12-12
0.98,2025-12-15
0.958,2025-12-16
0.969,2025-12-17
0.957,2025-12-18
0.975,2025-12-19
0.973,2025-12-22
0.967,2025-12-23
0.967,2025-12-24
0.968,2025-12-25
0.975,2025-12-26
0.966,2025-12-29
0.972,2025-12-30
0.959,2025-12-31
0.996,2026-01-05
1.008,2026-01-06
0.992,2026-01-07
0.984,2026-01-08
0.987,2026-01-09
1.011,2026-01-12
1.013,2026-01-13
1.027,2026-01-14
1.021,2026-01-15
1.017,2026-01-16
1.0,2026-01-19
0.988,2026-01-20
0.993,2026-01-21
0.995,2026-01-22
1.004,2026-01-23
