开盘,收盘,日期
0.974,0.982,2022-02-16
0.983,0.966,2022-02-17
0.966,1.006,2022-02-18
1.003,1.016,2022-02-21
1.014,1.008,2022-02-22
1.005,0.992,2022-02-23
0.987,0.977,2022-02-24
0.986,0.969,2022-02-25
0.968,0.964,2022-02-28
0.966,0.977,2022-03-01
0.977,0.98,2022-03-02
0.974,1.002,2022-03-03
1.03,0.991,2022-03-04
0.991,0.99,2022-03-07
0.991,0.956,2022-03-08
0.956,0.924,2022-03-09
0.925,0.93,2022-03-10
0.921,0.931,2022-03-11
0.922,0.914,2022-03-14
0.914,0.843,2022-03-15
0.87,0.869,2022-03-16
0.897,0.906,2022-03-17
0.883,0.956,2022-03-18
0.963,0.937,2022-03-21
0.928,0.974,2022-03-22
0.974,0.993,2022-03-23
0.973,0.979,2022-03-24
0.979,0.977,2022-03-25
0.97,1.006,2022-03-28
1.005,0.982,2022-03-29
0.978,1.045,2022-03-30
1.05,1.052,2022-03-31
1.05,1.091,2022-04-01
1.13,1.13,2022-04-06
1.12,1.072,2022-04-07
1.069,1.105,2022-04-08
1.09,1.064,2022-04-11
1.055,1.035,2022-04-12
1.02,1.036,2022-04-13
1.036,1.075,2022-04-14
1.07,1.087,2022-04-15
1.059,1.043,2022-04-18
1.035,1.044,2022-04-19
1.045,0.992,2022-04-20
0.98,0.976,2022-04-21
0.96,0.997,2022-04-22
0.978,0.947,2022-04-25
0.913,0.963,2022-04-26
0.966,0.936,2022-04-27
0.925,0.957,2022-04-28
0.957,0.995,2022-04-29
0.995,0.983,2022-05-05
0.947,0.924,2022-05-06
0.92,0.929,2022-05-09
0.868,0.931,2022-05-10
0.929,0.915,2022-05-11
0.921,0.899,2022-05-12
0.899,0.942,2022-05-13
0.975,0.955,2022-05-16
0.939,0.949,2022-05-17
0.944,0.939,2022-05-18
0.93,0.957,2022-05-19
0.96,0.947,2022-05-20
0.948,0.92,2022-05-23
0.921,0.904,2022-05-24
0.898,0.907,2022-05-25
0.907,0.917,2022-05-26
0.917,0.91,2022-05-27
0.91,0.9,2022-05-30
0.9,0.898,2022-05-31
0.898,0.896,2022-06-01
0.895,0.882,2022-06-02
0.874,0.873,2022-06-06
0.872,0.887,2022-06-07
0.885,0.875,2022-06-08
0.876,0.887,2022-06-09
0.885,0.884,2022-06-10
0.875,0.854,2022-06-13
0.836,0.872,2022-06-14
0.88,0.891,2022-06-15
0.891,0.886,2022-06-16
0.878,0.883,2022-06-17
0.885,0.908,2022-06-20
0.908,0.911,2022-06-21
0.915,0.896,2022-06-22
0.896,0.909,2022-06-23
0.91,0.904,2022-06-24
0.906,0.908,2022-06-27
0.907,0.899,2022-06-28
0.899,0.942,2022-06-29
0.942,0.961,2022-06-30
0.956,0.956,2022-07-01
0.952,0.95,2022-07-04
0.949,0.936,2022-07-05
0.936,0.909,2022-07-06
0.909,0.91,2022-07-07
0.912,0.913,2022-07-08
0.9,0.902,2022-07-11
0.9,0.907,2022-07-12
0.909,0.916,2022-07-13
0.905,0.894,2022-07-14
0.891,0.854,2022-07-15
0.85,0.878,2022-07-18
0.879,0.881,2022-07-19
0.878,0.878,2022-07-20
0.872,0.861,2022-07-21
0.865,0.856,2022-07-22
0.858,0.869,2022-07-25
0.872,0.91,2022-07-26
0.909,0.905,2022-07-27
0.903,0.908,2022-07-28
0.918,0.892,2022-07-29
0.884,0.878,2022-08-01
0.87,0.854,2022-08-02
0.858,0.831,2022-08-03
0.831,0.835,2022-08-04
0.835,0.843,2022-08-05
0.849,0.843,2022-08-08
0.838,0.844,2022-08-09
0.838,0.835,2022-08-10
0.835,0.85,2022-08-11
0.849,0.857,2022-08-12
0.857,0.856,2022-08-15
0.862,0.865,2022-08-16
0.865,0.891,2022-08-17
0.887,0.88,2022-08-18
0.878,0.897,2022-08-19
0.9,0.9,2022-08-22
0.9,0.89,2022-08-23
0.888,0.879,2022-08-24
0.884,0.893,2022-08-25
0.894,0.886,2022-08-26
0.877,0.885,2022-08-29
0.877,0.898,2022-08-30
0.903,0.902,2022-08-31
0.896,0.91,2022-09-01
0.905,0.9,2022-09-02
0.9,0.911,2022-09-05
0.912,0.939,2022-09-06
0.937,0.935,2022-09-07
0.938,0.933,2022-09-08
0.934,0.968,2022-09-09
0.968,0.951,2022-09-13
0.941,0.948,2022-09-14
0.945,0.982,2022-09-15
0.975,0.936,2022-09-16
0.933,0.944,2022-09-19
0.935,0.917,2022-09-20
0.911,0.93,2022-09-21
0.92,0.912,2022-09-22
0.911,0.912,2022-09-23
0.915,0.904,2022-09-26
0.908,0.913,2022-09-27
0.907,0.9,2022-09-28
0.906,0.88,2022-09-29
0.897,0.901,2022-09-30
0.906,0.91,2022-10-10
0.902,0.891,2022-10-11
0.889,0.905,2022-10-12
0.898,0.888,2022-10-13
0.887,0.886,2022-10-14
0.887,0.882,2022-10-17
0.876,0.868,2022-10-18
0.866,0.864,2022-10-19
0.857,0.856,2022-10-20
0.86,0.863,2022-10-21
0.855,0.83,2022-10-24
0.825,0.819,2022-10-25
0.819,0.805,2022-10-26
0.807,0.815,2022-10-27
0.81,0.79,2022-10-28
0.777,0.751,2022-10-31
0.747,0.761,2022-11-01
0.758,0.775,2022-11-02
0.764,0.762,2022-11-03
0.762,0.779,2022-11-04
0.778,0.784,2022-11-07
0.784,0.791,2022-11-08
0.796,0.809,2022-11-09
0.805,0.806,2022-11-10
0.82,0.887,2022-11-11
0.92,0.895,2022-11-14
0.881,0.895,2022-11-15
0.895,0.872,2022-11-16
0.868,0.871,2022-11-17
0.87,0.865,2022-11-18
0.86,0.865,2022-11-21
0.869,0.858,2022-11-22
0.851,0.859,2022-11-23
0.88,0.875,2022-11-24
0.88,0.923,2022-11-25
0.892,0.914,2022-11-28
0.968,1.005,2022-11-29
1.006,0.962,2022-11-30
0.952,0.95,2022-12-01
0.941,0.928,2022-12-02
0.928,0.935,2022-12-05
0.924,0.935,2022-12-06
0.93,0.917,2022-12-07
0.913,0.935,2022-12-08
0.935,0.959,2022-12-09
0.95,0.926,2022-12-12
0.919,0.928,2022-12-13
0.921,0.919,2022-12-14
0.917,0.917,2022-12-15
0.928,0.928,2022-12-16
0.933,0.919,2022-12-19
0.905,0.886,2022-12-20
0.882,0.883,2022-12-21
0.896,0.881,2022-12-22
0.872,0.884,2022-12-23
0.886,0.866,2022-12-26
0.868,0.869,2022-12-27
0.867,0.871,2022-12-28
0.869,0.853,2022-12-29
0.853,0.856,2022-12-30
0.856,0.865,2023-01-03
0.866,0.905,2023-01-04
0.909,0.907,2023-01-05
0.916,0.901,2023-01-06
0.901,0.892,2023-01-09
0.894,0.89,2023-01-10
0.9,0.902,2023-01-11
0.895,0.885,2023-01-12
0.879,0.888,2023-01-13
0.894,0.895,2023-01-16
0.893,0.893,2023-01-17
0.897,0.885,2023-01-18
0.884,0.89,2023-01-19
0.886,0.892,2023-01-20
0.9,0.88,2023-01-30
0.877,0.893,2023-01-31
0.893,0.888,2023-02-01
