开盘,收盘,日期
0.994,0.994,2020-01-02
0.995,0.995,2020-01-03
0.995,0.996,2020-01-06
0.997,0.997,2020-01-07
0.997,0.997,2020-01-09
0.999,0.999,2020-01-13
1.0,1.0,2020-01-16
1.0,1.0,2020-01-17
1.002,1.002,2020-01-23
1.001,1.002,2020-02-03
1.002,1.004,2020-02-04
1.003,1.004,2020-02-05
1.006,1.007,2020-02-06
1.007,1.002,2020-02-07
1.007,1.012,2020-02-10
1.011,1.011,2020-02-11
1.01,1.014,2020-02-12
1.008,1.008,2020-02-13
1.011,1.012,2020-02-14
1.013,1.013,2020-02-17
1.015,1.015,2020-02-19
1.009,1.014,2020-02-21
1.011,1.013,2020-02-24
1.025,1.015,2020-02-25
1.012,1.016,2020-02-26
1.012,1.014,2020-02-27
1.005,1.018,2020-02-28
1.009,1.017,2020-03-02
1.011,1.013,2020-03-03
1.014,1.018,2020-03-04
1.01,1.017,2020-03-05
1.013,1.017,2020-03-06
1.017,1.016,2020-03-09
1.015,1.016,2020-03-10
1.017,1.017,2020-03-11
1.017,1.019,2020-03-12
1.018,1.019,2020-03-13
1.02,1.02,2020-03-16
1.001,1.014,2020-03-17
1.014,1.02,2020-03-18
1.015,1.016,2020-03-19
1.015,1.008,2020-03-20
1.012,1.016,2020-03-23
1.015,1.015,2020-03-24
1.015,1.018,2020-03-25
1.013,1.013,2020-03-26
1.013,1.016,2020-03-27
1.014,1.016,2020-03-30
1.015,1.017,2020-03-31
1.017,1.016,2020-04-01
1.017,1.019,2020-04-02
1.017,1.019,2020-04-03
1.017,1.018,2020-04-07
1.018,1.019,2020-04-08
1.019,1.021,2020-04-09
1.023,1.022,2020-04-10
1.024,1.022,2020-04-13
1.022,1.022,2020-04-15
1.023,1.023,2020-04-16
1.024,1.024,2020-04-17
1.025,1.025,2020-04-20
1.003,1.003,2020-04-30
1.026,1.027,2020-05-06
1.026,1.026,2020-05-14
1.026,1.026,2020-05-20
1.024,1.024,2020-05-27
1.024,1.024,2020-05-29
1.016,1.025,2020-06-02
1.02,1.02,2020-06-03
1.0,1.024,2020-06-05
1.025,1.025,2020-06-08
1.025,1.025,2020-06-09
1.024,1.024,2020-06-11
1.025,1.033,2020-06-12
1.027,1.029,2020-06-15
1.029,1.029,2020-06-23
1.007,1.007,2020-07-02
1.022,1.021,2020-07-03
1.02,1.021,2020-07-07
1.021,1.022,2020-07-08
1.024,1.022,2020-07-09
1.005,1.005,2020-07-14
1.029,1.027,2020-07-17
1.029,1.029,2020-07-22
1.008,1.008,2020-07-29
1.01,1.009,2020-08-03
1.025,1.025,2020-08-04
1.016,1.016,2020-08-19
1.016,1.016,2020-08-26
1.013,1.013,2020-09-02
1.008,1.008,2020-09-08
1.018,1.018,2020-09-09
1.017,1.017,2020-09-10
1.002,1.025,2020-09-11
1.006,1.015,2020-09-14
1.017,1.018,2020-09-18
1.018,1.018,2020-09-21
1.019,1.019,2020-09-23
1.016,1.02,2020-09-25
1.022,1.023,2020-09-28
1.023,1.022,2020-09-29
1.023,1.023,2020-09-30
1.024,1.024,2020-10-09
1.024,1.023,2020-10-12
1.023,1.024,2020-10-13
1.025,1.006,2020-10-15
1.024,1.024,2020-10-16
1.024,1.024,2020-10-30
1.024,1.025,2020-11-02
1.028,1.028,2020-11-03
1.029,1.029,2020-11-05
1.029,1.03,2020-11-06
1.029,1.029,2020-11-12
1.029,1.031,2020-11-13
1.029,1.029,2020-11-16
1.033,1.033,2020-11-17
1.036,1.036,2020-11-19
1.036,1.037,2020-11-23
1.037,1.037,2020-11-24
0.955,1.038,2020-11-25
1.037,1.039,2020-11-26
1.04,1.041,2020-11-27
