收盘,日期
1.311,2025-09-26
1.327,2025-09-29
1.311,2025-09-30
1.308,2025-10-09
1.317,2025-10-10
1.32,2025-10-13
1.346,2025-10-14
1.359,2025-10-15
1.375,2025-10-16
1.364,2025-10-17
1.364,2025-10-20
1.367,2025-10-21
1.374,2025-10-22
1.383,2025-10-23
1.382,2025-10-24
1.387,2025-10-27
1.385,2025-10-28
1.378,2025-10-29
1.372,2025-10-30
1.363,2025-10-31
1.372,2025-11-03
1.39,2025-11-04
1.388,2025-11-05
1.389,2025-11-06
1.387,2025-11-07
1.399,2025-11-10
1.394,2025-11-11
1.407,2025-11-12
1.409,2025-11-13
1.405,2025-11-14
1.385,2025-11-17
1.384,2025-11-18
1.396,2025-11-19
1.405,2025-11-20
1.38,2025-11-21
1.372,2025-11-24
1.388,2025-11-25
1.382,2025-11-26
1.385,2025-11-27
1.379,2025-11-28
1.384,2025-12-01
1.384,2025-12-02
1.374,2025-12-03
1.368,2025-12-04
1.387,2025-12-05
1.401,2025-12-08
1.393,2025-12-09
1.379,2025-12-10
1.381,2025-12-11
1.382,2025-12-12
1.4,2025-12-15
1.393,2025-12-16
1.407,2025-12-17
1.419,2025-12-18
1.417,2025-12-19
1.412,2025-12-22
1.419,2025-12-23
1.415,2025-12-24
1.423,2025-12-25
1.422,2025-12-26
1.424,2025-12-29
1.42,2025-12-30
1.417,2025-12-31
1.44,2026-01-05
1.464,2026-01-06
1.456,2026-01-07
1.423,2026-01-08
1.415,2026-01-09
1.414,2026-01-12
1.422,2026-01-13
1.399,2026-01-14
1.389,2026-01-15
1.371,2026-01-16
1.367,2026-01-19
1.377,2026-01-20
1.358,2026-01-21
1.347,2026-01-22
1.331,2026-01-23
