收盘,日期
1.588,2025-09-26
1.605,2025-09-29
1.6,2025-09-30
1.616,2025-10-09
1.545,2025-10-10
1.552,2025-10-13
1.476,2025-10-14
1.5,2025-10-15
1.491,2025-10-16
1.45,2025-10-17
1.478,2025-10-20
1.534,2025-10-21
1.523,2025-10-22
1.518,2025-10-23
1.579,2025-10-24
1.609,2025-10-27
1.62,2025-10-28
1.631,2025-10-29
1.6,2025-10-30
1.577,2025-10-31
1.589,2025-11-03
1.573,2025-11-04
1.553,2025-11-05
1.58,2025-11-06
1.553,2025-11-07
1.543,2025-11-10
1.509,2025-11-11
1.507,2025-11-12
1.516,2025-11-13
1.474,2025-11-14
1.502,2025-11-17
1.513,2025-11-18
1.507,2025-11-19
1.502,2025-11-20
1.447,2025-11-21
1.469,2025-11-24
1.491,2025-11-25
1.538,2025-11-26
1.523,2025-11-27
1.523,2025-11-28
1.551,2025-12-01
1.538,2025-12-02
1.513,2025-12-03
1.519,2025-12-04
1.529,2025-12-05
1.575,2025-12-08
1.592,2025-12-09
1.594,2025-12-10
1.555,2025-12-11
1.57,2025-12-12
1.55,2025-12-15
1.518,2025-12-16
1.554,2025-12-17
1.542,2025-12-18
1.545,2025-12-19
1.566,2025-12-22
1.558,2025-12-23
1.569,2025-12-24
1.58,2025-12-25
1.583,2025-12-26
1.589,2025-12-29
1.593,2025-12-30
1.606,2025-12-31
1.655,2026-01-05
1.666,2026-01-06
1.66,2026-01-07
1.682,2026-01-08
1.754,2026-01-09
1.914,2026-01-12
1.852,2026-01-13
1.935,2026-01-14
1.905,2026-01-15
1.858,2026-01-16
1.818,2026-01-19
1.768,2026-01-20
1.78,2026-01-21
1.812,2026-01-22
1.824,2026-01-23
