开盘,收盘,日期
2.113469,2.1309,2020-01-02
2.1309,2.125816,2020-01-03
2.122911,2.121458,2020-01-06
2.120006,2.135984,2020-01-07
2.134531,2.121458,2020-01-08
2.127995,2.138163,2020-01-09
2.139616,2.131626,2020-01-10
2.132353,2.139616,2020-01-13
2.145426,2.15051,2020-01-14
2.149057,2.143247,2020-01-15
2.143247,2.140342,2020-01-16
2.138051,2.125833,2020-01-17
2.125833,2.125833,2020-01-20
2.125833,2.08689,2020-01-21
2.086127,2.083836,2020-01-22
2.076964,2.036494,2020-01-23
1.875376,1.84636,2020-02-03
1.84636,1.895229,2020-02-04
1.895993,1.919664,2020-02-05
1.921191,1.924246,2020-02-06
1.918901,1.919664,2020-02-07
1.918901,1.952499,2020-02-10
1.95708,1.963189,2020-02-11
1.963189,1.968534,2020-02-12
1.967007,1.956317,2020-02-13
1.954026,1.96777,2020-02-14
1.96777,2.002132,2020-02-17
2.002895,2.003659,2020-02-18
2.002895,2.002132,2020-02-19
2.002132,2.029621,2020-02-20
2.029621,2.041839,2020-02-21
2.040311,2.028094,2020-02-24
2.004423,2.002132,2020-02-25
1.977697,2.007477,2020-02-26
2.011295,2.009004,2020-02-27
1.985333,1.953262,2020-02-28
1.954026,2.013586,2020-03-02
2.031148,2.018931,2020-03-03
2.013586,2.037257,2020-03-04
2.042602,2.054056,2020-03-05
2.042602,2.036494,2020-03-06
2.001368,1.982279,2020-03-09
1.977697,2.010531,2020-03-10
2.010531,1.998314,2020-03-11
1.983042,1.967007,2020-03-12
1.908974,1.933409,2020-03-13
1.9357,1.889121,2020-03-16
1.889884,1.871558,2020-03-17
1.879194,1.851705,2020-03-18
1.847887,1.81887,2020-03-19
1.826506,1.83796,2020-03-20
1.808944,1.780691,2020-03-23
1.80818,1.812762,2020-03-24
1.841778,1.856286,2020-03-25
1.853996,1.842542,2020-03-26
1.857814,1.852468,2020-03-27
1.838724,1.835669,2020-03-30
1.84636,1.831851,2020-03-31
1.831851,1.819634,2020-04-01
1.817343,1.839487,2020-04-02
1.839487,1.834142,2020-04-03
1.850941,1.860868,2020-04-07
1.858577,1.861631,2020-04-08
1.863159,1.860868,2020-04-09
1.860868,1.847887,2020-04-10
1.847887,1.840251,2020-04-13
1.842542,1.858577,2020-04-14
1.860104,1.851705,2020-04-15
1.84865,1.845596,2020-04-16
1.850941,1.850941,2020-04-17
1.850941,1.853232,2020-04-20
1.852468,1.841015,2020-04-21
1.835669,1.841778,2020-04-22
1.842542,1.835669,2020-04-23
1.834906,1.821925,2020-04-24
1.822688,1.830324,2020-04-27
1.828797,1.81658,2020-04-28
1.815816,1.841015,2020-04-29
1.842542,1.872322,2020-04-30
1.864686,1.871558,2020-05-06
1.871558,1.872322,2020-05-07
1.873085,1.885303,2020-05-08
1.885303,1.883776,2020-05-11
1.883776,1.875376,2020-05-12
1.870795,1.876903,2020-05-13
1.876903,1.858577,2020-05-14
1.860104,1.854759,2020-05-15
1.855523,1.854759,2020-05-18
1.859341,1.860868,2020-05-19
1.860868,1.84865,2020-05-20
1.849414,1.842542,2020-05-21
1.843305,1.81658,2020-05-22
1.81658,1.815816,2020-05-25
1.817343,1.824979,2020-05-26
1.825743,1.834142,2020-05-27
1.834142,1.837196,2020-05-28
1.834906,1.826506,2020-05-29
1.826506,1.85705,2020-06-01
1.85705,1.861631,2020-06-02
1.866976,1.869267,2020-06-03
1.883776,1.877667,2020-06-04
1.877667,1.866213,2020-06-05
1.86774,1.873849,2020-06-08
1.873849,1.87843,2020-06-09
1.87843,1.870795,2020-06-10
1.872322,1.857814,2020-06-11
1.847887,1.855523,2020-06-12
1.855523,1.843305,2020-06-15
1.847887,1.864686,2020-06-16
1.864686,1.870795,2020-06-17
1.870795,1.88683,2020-06-18
1.88683,1.884539,2020-06-19
1.884539,1.875376,2020-06-22
1.875376,1.868504,2020-06-23
1.869267,1.870795,2020-06-24
1.870795,1.85705,2020-06-29
1.860104,1.870031,2020-06-30
1.871558,1.900575,2020-07-01
1.901338,1.944099,2020-07-02
1.947153,1.972352,2020-07-03
1.983042,2.112089,2020-07-06
2.12507,2.079254,2020-07-07
2.080018,2.109798,2020-07-08
2.107507,2.118961,2020-07-09
2.118961,2.071619,2020-07-10
2.070855,2.112089,2020-07-13
2.113616,2.099871,2020-07-14
2.107507,2.069328,2020-07-15
2.069328,2.014349,2020-07-16
2.015113,2.015877,2020-07-17
2.018931,2.092999,2020-07-20
2.096053,2.087654,2020-07-21
2.087654,2.088418,2020-07-22
2.086127,2.063219,2020-07-23
2.063219,2.004423,2020-07-24
2.004423,1.994496,2020-07-27
1.996023,2.009004,2020-07-28
2.002132,2.032676,2020-07-29
2.041839,2.034203,2020-07-30
2.034966,2.048711,2020-07-31
2.063219,2.09529,2020-08-03
2.10598,2.096053,2020-08-04
2.096053,2.084599,2020-08-05
