收盘,日期
1.023,2025-09-26
1.071,2025-09-29
1.06,2025-09-30
1.062,2025-10-09
1.066,2025-10-10
1.053,2025-10-13
1.051,2025-10-14
1.055,2025-10-15
1.054,2025-10-16
1.034,2025-10-17
1.036,2025-10-20
1.045,2025-10-21
1.035,2025-10-22
1.045,2025-10-23
1.054,2025-10-24
1.066,2025-10-27
1.059,2025-10-28
1.085,2025-10-29
1.064,2025-10-30
1.052,2025-10-31
1.049,2025-11-03
1.045,2025-11-04
1.041,2025-11-05
1.052,2025-11-06
1.045,2025-11-07
1.056,2025-11-10
1.044,2025-11-11
1.039,2025-11-12
1.049,2025-11-13
1.035,2025-11-14
1.023,2025-11-17
1.024,2025-11-18
1.025,2025-11-19
1.022,2025-11-20
0.986,2025-11-21
0.987,2025-11-24
0.99,2025-11-25
0.987,2025-11-26
0.988,2025-11-27
0.991,2025-11-28
0.995,2025-12-01
0.986,2025-12-02
0.98,2025-12-03
0.98,2025-12-04
1.004,2025-12-05
1.023,2025-12-08
1.01,2025-12-09
1.014,2025-12-10
0.999,2025-12-11
1.005,2025-12-12
1.01,2025-12-15
1.003,2025-12-16
1.023,2025-12-17
1.013,2025-12-18
1.016,2025-12-19
1.017,2025-12-22
1.013,2025-12-23
1.022,2025-12-24
1.026,2025-12-25
1.032,2025-12-26
1.027,2025-12-29
1.023,2025-12-30
1.019,2025-12-31
1.037,2026-01-05
1.079,2026-01-06
1.065,2026-01-07
1.037,2026-01-08
1.04,2026-01-09
1.053,2026-01-12
1.042,2026-01-13
1.036,2026-01-14
1.024,2026-01-15
1.018,2026-01-16
1.011,2026-01-19
1.018,2026-01-20
1.01,2026-01-21
1.01,2026-01-22
1.01,2026-01-23
