开盘,收盘,日期
0.981,0.998,2021-07-20
0.998,1.031,2021-07-21
1.04,1.04,2021-07-22
1.04,1.033,2021-07-23
1.025,1.01,2021-07-26
1.01,0.974,2021-07-27
0.97,0.975,2021-07-28
1.0,1.019,2021-07-29
1.018,1.02,2021-07-30
1.025,1.05,2021-08-02
1.05,1.021,2021-08-03
1.021,1.083,2021-08-04
1.081,1.079,2021-08-05
1.089,1.085,2021-08-06
1.079,1.052,2021-08-09
1.051,1.037,2021-08-10
1.036,1.045,2021-08-11
1.045,1.047,2021-08-12
1.045,1.035,2021-08-13
1.03,1.005,2021-08-16
1.0,0.982,2021-08-17
0.985,0.983,2021-08-18
0.983,1.011,2021-08-19
1.006,0.998,2021-08-20
1.002,1.025,2021-08-23
1.022,1.04,2021-08-24
1.052,1.035,2021-08-25
1.035,1.017,2021-08-26
1.015,1.026,2021-08-27
1.027,1.036,2021-08-30
1.043,1.017,2021-08-31
1.032,0.993,2021-09-01
0.993,0.988,2021-09-02
0.987,0.96,2021-09-03
0.973,1.002,2021-09-06
1.006,1.023,2021-09-07
1.026,1.005,2021-09-08
1.014,1.014,2021-09-09
1.015,1.013,2021-09-10
1.013,1.005,2021-09-13
1.004,1.023,2021-09-14
1.022,1.021,2021-09-15
1.025,0.99,2021-09-16
0.985,0.994,2021-09-17
0.989,0.982,2021-09-22
0.993,0.984,2021-09-23
0.979,0.989,2021-09-24
0.989,0.987,2021-09-27
0.981,0.967,2021-09-28
0.96,0.952,2021-09-29
0.956,0.983,2021-09-30
0.987,0.977,2021-10-08
0.972,0.981,2021-10-11
0.981,0.957,2021-10-12
0.967,0.993,2021-10-13
0.984,1.002,2021-10-14
1.005,1.032,2021-10-15
1.033,1.043,2021-10-18
1.048,1.048,2021-10-19
1.048,1.057,2021-10-20
1.066,1.048,2021-10-21
1.045,1.051,2021-10-22
1.051,1.077,2021-10-25
1.09,1.081,2021-10-26
1.073,1.093,2021-10-27
1.093,1.085,2021-10-28
1.092,1.106,2021-10-29
1.102,1.098,2021-11-01
1.098,1.11,2021-11-02
1.109,1.093,2021-11-03
1.099,1.119,2021-11-04
1.113,1.109,2021-11-05
1.121,1.137,2021-11-08
1.136,1.144,2021-11-09
1.138,1.124,2021-11-10
1.129,1.127,2021-11-11
1.128,1.126,2021-11-12
1.12,1.097,2021-11-15
1.097,1.089,2021-11-16
1.097,1.096,2021-11-17
1.098,1.092,2021-11-18
1.101,1.103,2021-11-19
1.104,1.162,2021-11-22
1.162,1.155,2021-11-23
1.15,1.139,2021-11-24
1.139,1.136,2021-11-25
1.133,1.147,2021-11-26
1.142,1.164,2021-11-29
1.16,1.158,2021-11-30
1.156,1.15,2021-12-01
1.142,1.164,2021-12-02
1.166,1.164,2021-12-03
1.159,1.134,2021-12-06
1.148,1.104,2021-12-07
1.118,1.131,2021-12-08
1.132,1.133,2021-12-09
1.118,1.142,2021-12-10
1.143,1.139,2021-12-13
1.134,1.125,2021-12-14
1.122,1.114,2021-12-15
1.11,1.116,2021-12-16
1.115,1.093,2021-12-17
1.101,1.053,2021-12-20
1.055,1.063,2021-12-21
1.079,1.081,2021-12-22
1.081,1.087,2021-12-23
1.087,1.052,2021-12-24
1.051,1.05,2021-12-27
1.055,1.066,2021-12-28
1.067,1.054,2021-12-29
1.053,1.06,2021-12-30
1.06,1.062,2021-12-31
1.069,1.049,2022-01-04
1.049,1.005,2022-01-05
0.985,0.993,2022-01-06
0.992,0.982,2022-01-07
0.982,0.987,2022-01-10
0.991,0.972,2022-01-11
0.982,1.009,2022-01-12
1.011,0.993,2022-01-13
0.994,1.006,2022-01-14
1.006,1.034,2022-01-17
1.035,1.03,2022-01-18
1.015,0.999,2022-01-19
1.0,0.997,2022-01-20
0.994,0.988,2022-01-21
0.982,1.007,2022-01-24
1.005,0.983,2022-01-25
0.988,0.994,2022-01-26
0.994,0.96,2022-01-27
0.965,0.952,2022-01-28
0.957,0.956,2022-02-07
0.956,0.918,2022-02-08
0.915,0.928,2022-02-09
0.93,0.908,2022-02-10
0.908,0.886,2022-02-11
0.888,0.896,2022-02-14
0.902,0.93,2022-02-15
0.933,0.931,2022-02-16
0.931,0.948,2022-02-17
0.94,0.937,2022-02-18
0.937,0.927,2022-02-21
0.923,0.923,2022-02-22
0.923,0.956,2022-02-23
0.959,0.941,2022-02-24
0.942,0.957,2022-02-25
0.957,0.961,2022-02-28
0.97,0.958,2022-03-01
0.958,0.936,2022-03-02
0.935,0.915,2022-03-03
0.907,0.889,2022-03-04
0.89,0.863,2022-03-07
0.84,0.824,2022-03-08
0.826,0.829,2022-03-09
0.846,0.853,2022-03-10
0.853,0.852,2022-03-11
0.847,0.818,2022-03-14
0.818,0.809,2022-03-15
0.813,0.851,2022-03-16
0.855,0.872,2022-03-17
0.868,0.866,2022-03-18
0.868,0.877,2022-03-21
0.873,0.872,2022-03-22
0.877,0.869,2022-03-23
0.874,0.86,2022-03-24
0.859,0.836,2022-03-25
0.833,0.817,2022-03-28
0.822,0.815,2022-03-29
0.82,0.847,2022-03-30
0.843,0.83,2022-03-31
0.83,0.837,2022-04-01
0.834,0.82,2022-04-06
0.813,0.804,2022-04-07
0.81,0.798,2022-04-08
0.789,0.749,2022-04-11
0.74,0.76,2022-04-12
0.755,0.75,2022-04-13
0.759,0.753,2022-04-14
0.754,0.745,2022-04-15
0.74,0.756,2022-04-18
0.756,0.749,2022-04-19
0.751,0.728,2022-04-20
0.728,0.708,2022-04-21
0.704,0.702,2022-04-22
0.694,0.655,2022-04-25
0.646,0.639,2022-04-26
0.638,0.687,2022-04-27
0.682,0.689,2022-04-28
0.694,0.727,2022-04-29
0.724,0.718,2022-05-05
0.71,0.703,2022-05-06
0.696,0.691,2022-05-09
0.68,0.709,2022-05-10
0.713,0.749,2022-05-11
0.749,0.747,2022-05-12
0.755,0.763,2022-05-13
0.768,0.757,2022-05-16
0.759,0.789,2022-05-17
0.793,0.792,2022-05-18
0.788,0.8,2022-05-19
0.802,0.809,2022-05-20
0.809,0.811,2022-05-23
0.816,0.785,2022-05-24
0.781,0.785,2022-05-25
0.781,0.781,2022-05-26
0.786,0.784,2022-05-27
0.789,0.799,2022-05-30
0.799,0.807,2022-05-31
0.807,0.823,2022-06-01
0.822,0.839,2022-06-02
0.845,0.882,2022-06-06
0.882,0.872,2022-06-07
0.877,0.883,2022-06-08
0.883,0.857,2022-06-09
0.85,0.893,2022-06-10
0.888,0.901,2022-06-13
0.896,0.905,2022-06-14
0.905,0.9,2022-06-15
0.903,0.9,2022-06-16
0.895,0.928,2022-06-17
0.93,0.945,2022-06-20
