收盘,日期
98.97,2025-09-26
98.987,2025-09-29
99.129,2025-09-30
98.979,2025-10-09
99.02,2025-10-10
99.064,2025-10-13
99.104,2025-10-14
99.104,2025-10-15
99.11,2025-10-16
99.209,2025-10-17
99.227,2025-10-20
99.3,2025-10-21
99.33,2025-10-22
99.38,2025-10-23
99.445,2025-10-24
99.474,2025-10-27
99.621,2025-10-28
99.675,2025-10-29
99.7,2025-10-30
99.78,2025-10-31
99.775,2025-11-03
99.759,2025-11-04
99.83,2025-11-05
99.804,2025-11-06
99.789,2025-11-07
99.814,2025-11-10
99.804,2025-11-11
99.803,2025-11-12
99.787,2025-11-13
99.785,2025-11-14
99.815,2025-11-17
99.825,2025-11-18
99.835,2025-11-19
99.815,2025-11-20
99.784,2025-11-21
99.761,2025-11-24
99.714,2025-11-25
99.607,2025-11-26
99.6,2025-11-27
99.603,2025-11-28
99.608,2025-12-01
99.57,2025-12-02
99.548,2025-12-03
99.475,2025-12-04
99.511,2025-12-05
99.416,2025-12-08
99.419,2025-12-09
99.43,2025-12-10
99.498,2025-12-11
99.511,2025-12-12
99.482,2025-12-15
99.48,2025-12-16
99.5,2025-12-17
99.524,2025-12-18
99.567,2025-12-19
99.585,2025-12-22
99.657,2025-12-23
99.677,2025-12-24
99.74,2025-12-25
99.75,2025-12-26
99.643,2025-12-29
99.654,2025-12-30
99.698,2025-12-31
99.616,2026-01-05
99.65,2026-01-06
99.679,2026-01-07
99.688,2026-01-08
99.712,2026-01-09
99.695,2026-01-12
99.745,2026-01-13
99.737,2026-01-14
99.769,2026-01-15
99.79,2026-01-16
99.748,2026-01-19
99.809,2026-01-20
99.819,2026-01-21
99.84,2026-01-22
99.913,2026-01-23
