收盘,日期
1.329,2025-09-26
1.396,2025-09-29
1.38,2025-09-30
1.383,2025-10-09
1.391,2025-10-10
1.372,2025-10-13
1.366,2025-10-14
1.38,2025-10-15
1.381,2025-10-16
1.353,2025-10-17
1.352,2025-10-20
1.363,2025-10-21
1.348,2025-10-22
1.36,2025-10-23
1.375,2025-10-24
1.389,2025-10-27
1.382,2025-10-28
1.413,2025-10-29
1.389,2025-10-30
1.374,2025-10-31
1.367,2025-11-03
1.362,2025-11-04
1.356,2025-11-05
1.375,2025-11-06
1.362,2025-11-07
1.381,2025-11-10
1.364,2025-11-11
1.359,2025-11-12
1.37,2025-11-13
1.352,2025-11-14
1.335,2025-11-17
1.338,2025-11-18
1.337,2025-11-19
1.335,2025-11-20
1.291,2025-11-21
1.29,2025-11-24
1.294,2025-11-25
1.292,2025-11-26
1.291,2025-11-27
1.295,2025-11-28
1.303,2025-12-01
1.29,2025-12-02
1.279,2025-12-03
1.281,2025-12-04
1.312,2025-12-05
1.338,2025-12-08
1.324,2025-12-09
1.327,2025-12-10
1.311,2025-12-11
1.319,2025-12-12
1.328,2025-12-15
1.316,2025-12-16
1.345,2025-12-17
1.333,2025-12-18
1.337,2025-12-19
1.336,2025-12-22
1.334,2025-12-23
1.343,2025-12-24
1.35,2025-12-25
1.357,2025-12-26
1.35,2025-12-29
1.348,2025-12-30
1.34,2025-12-31
1.363,2026-01-05
1.42,2026-01-06
1.402,2026-01-07
1.364,2026-01-08
1.365,2026-01-09
1.381,2026-01-12
1.372,2026-01-13
1.364,2026-01-14
1.345,2026-01-15
1.332,2026-01-16
1.325,2026-01-19
1.333,2026-01-20
1.324,2026-01-21
1.326,2026-01-22
1.32,2026-01-23
