收盘,日期
2.85,2025-09-26
2.876,2025-09-29
2.849,2025-09-30
2.844,2025-10-09
2.857,2025-10-10
2.856,2025-10-13
2.92,2025-10-14
2.945,2025-10-15
2.988,2025-10-16
2.949,2025-10-17
2.961,2025-10-20
2.976,2025-10-21
2.988,2025-10-22
3.006,2025-10-23
3.001,2025-10-24
3.015,2025-10-27
3.008,2025-10-28
2.99,2025-10-29
2.98,2025-10-30
2.958,2025-10-31
2.98,2025-11-03
3.021,2025-11-04
3.018,2025-11-05
3.023,2025-11-06
3.015,2025-11-07
3.039,2025-11-10
3.035,2025-11-11
3.061,2025-11-12
3.072,2025-11-13
3.054,2025-11-14
3.016,2025-11-17
3.012,2025-11-18
3.042,2025-11-19
3.052,2025-11-20
3.003,2025-11-21
2.982,2025-11-24
3.019,2025-11-25
3.009,2025-11-26
3.012,2025-11-27
2.998,2025-11-28
3.012,2025-12-01
3.007,2025-12-02
2.98,2025-12-03
2.972,2025-12-04
3.013,2025-12-05
3.036,2025-12-08
3.024,2025-12-09
3.003,2025-12-10
2.991,2025-12-11
3.006,2025-12-12
3.046,2025-12-15
3.021,2025-12-16
3.062,2025-12-17
3.085,2025-12-18
3.083,2025-12-19
3.078,2025-12-22
3.087,2025-12-23
3.079,2025-12-24
3.096,2025-12-25
3.096,2025-12-26
3.103,2025-12-29
3.09,2025-12-30
3.088,2025-12-31
3.133,2026-01-05
3.195,2026-01-06
3.161,2026-01-07
3.101,2026-01-08
3.092,2026-01-09
3.081,2026-01-12
3.088,2026-01-13
3.073,2026-01-14
3.025,2026-01-15
3.0,2026-01-16
2.98,2026-01-19
2.989,2026-01-20
2.962,2026-01-21
2.932,2026-01-22
2.9,2026-01-23
