收盘,日期
0.823,2025-09-26
0.827,2025-09-29
0.848,2025-09-30
0.848,2025-10-09
0.821,2025-10-10
0.796,2025-10-13
0.771,2025-10-14
0.787,2025-10-15
0.796,2025-10-16
0.775,2025-10-17
0.78,2025-10-20
0.788,2025-10-21
0.777,2025-10-22
0.77,2025-10-23
0.774,2025-10-24
0.786,2025-10-27
0.776,2025-10-28
0.784,2025-10-29
0.761,2025-10-30
0.785,2025-10-31
0.779,2025-11-03
0.762,2025-11-04
0.763,2025-11-05
0.765,2025-11-06
0.753,2025-11-07
0.761,2025-11-10
0.756,2025-11-11
0.77,2025-11-12
0.794,2025-11-13
0.787,2025-11-14
0.773,2025-11-17
0.767,2025-11-18
0.761,2025-11-19
0.761,2025-11-20
0.739,2025-11-21
0.754,2025-11-24
0.76,2025-11-25
0.769,2025-11-26
0.76,2025-11-27
0.758,2025-11-28
0.761,2025-12-01
0.749,2025-12-02
0.74,2025-12-03
0.75,2025-12-04
0.752,2025-12-05
0.75,2025-12-08
0.745,2025-12-09
0.746,2025-12-10
0.746,2025-12-11
0.748,2025-12-12
0.728,2025-12-15
0.712,2025-12-16
0.721,2025-12-17
0.722,2025-12-18
0.737,2025-12-19
0.733,2025-12-22
0.731,2025-12-23
0.73,2025-12-24
0.734,2025-12-25
0.731,2025-12-26
0.722,2025-12-29
0.716,2025-12-30
0.71,2025-12-31
0.744,2026-01-05
0.749,2026-01-06
0.77,2026-01-07
0.77,2026-01-08
0.781,2026-01-09
0.781,2026-01-12
0.802,2026-01-13
0.795,2026-01-14
0.787,2026-01-15
0.785,2026-01-16
0.768,2026-01-19
0.759,2026-01-20
0.759,2026-01-21
0.754,2026-01-22
0.764,2026-01-23
