收盘,日期
1.328,2025-09-26
1.341,2025-09-29
1.365,2025-09-30
1.384,2025-10-09
1.322,2025-10-10
1.333,2025-10-13
1.279,2025-10-14
1.303,2025-10-15
1.288,2025-10-16
1.243,2025-10-17
1.256,2025-10-20
1.288,2025-10-21
1.285,2025-10-22
1.277,2025-10-23
1.323,2025-10-24
1.339,2025-10-27
1.331,2025-10-28
1.348,2025-10-29
1.33,2025-10-30
1.316,2025-10-31
1.309,2025-11-03
1.29,2025-11-04
1.29,2025-11-05
1.321,2025-11-06
1.311,2025-11-07
1.305,2025-11-10
1.293,2025-11-11
1.287,2025-11-12
1.305,2025-11-13
1.279,2025-11-14
1.277,2025-11-17
1.273,2025-11-18
1.261,2025-11-19
1.249,2025-11-20
1.202,2025-11-21
1.222,2025-11-24
1.237,2025-11-25
1.244,2025-11-26
1.25,2025-11-27
1.263,2025-11-28
1.268,2025-12-01
1.251,2025-12-02
1.239,2025-12-03
1.251,2025-12-04
1.259,2025-12-05
1.286,2025-12-08
1.283,2025-12-09
1.284,2025-12-10
1.267,2025-12-11
1.288,2025-12-12
1.267,2025-12-15
1.241,2025-12-16
1.27,2025-12-17
1.265,2025-12-18
1.262,2025-12-19
1.282,2025-12-22
1.288,2025-12-23
1.304,2025-12-24
1.315,2025-12-25
1.312,2025-12-26
1.316,2025-12-29
1.319,2025-12-30
1.314,2025-12-31
1.362,2026-01-05
1.38,2026-01-06
1.401,2026-01-07
1.417,2026-01-08
1.448,2026-01-09
1.488,2026-01-12
1.451,2026-01-13
1.482,2026-01-14
1.466,2026-01-15
1.496,2026-01-16
1.484,2026-01-19
1.46,2026-01-20
1.494,2026-01-21
1.496,2026-01-22
1.524,2026-01-23
