收盘,日期
1.616,2025-09-26
1.639,2025-09-29
1.669,2025-09-30
1.711,2025-10-09
1.633,2025-10-10
1.643,2025-10-13
1.592,2025-10-14
1.611,2025-10-15
1.596,2025-10-16
1.537,2025-10-17
1.545,2025-10-20
1.561,2025-10-21
1.542,2025-10-22
1.563,2025-10-23
1.581,2025-10-24
1.592,2025-10-27
1.611,2025-10-28
1.625,2025-10-29
1.607,2025-10-30
1.649,2025-10-31
1.653,2025-11-03
1.621,2025-11-04
1.594,2025-11-05
1.603,2025-11-06
1.567,2025-11-07
1.584,2025-11-10
1.549,2025-11-11
1.525,2025-11-12
1.546,2025-11-13
1.516,2025-11-14
1.544,2025-11-17
1.567,2025-11-18
1.543,2025-11-19
1.52,2025-11-20
1.483,2025-11-21
1.528,2025-11-24
1.53,2025-11-25
1.525,2025-11-26
1.501,2025-11-27
1.509,2025-11-28
1.519,2025-12-01
1.496,2025-12-02
1.468,2025-12-03
1.47,2025-12-04
1.496,2025-12-05
1.507,2025-12-08
1.486,2025-12-09
1.489,2025-12-10
1.466,2025-12-11
1.483,2025-12-12
1.464,2025-12-15
1.444,2025-12-16
1.476,2025-12-17
1.46,2025-12-18
1.468,2025-12-19
1.473,2025-12-22
1.46,2025-12-23
1.474,2025-12-24
1.489,2025-12-25
1.494,2025-12-26
1.497,2025-12-29
1.504,2025-12-30
1.518,2025-12-31
1.573,2026-01-05
1.615,2026-01-06
1.593,2026-01-07
1.595,2026-01-08
1.666,2026-01-09
1.833,2026-01-12
1.793,2026-01-13
1.863,2026-01-14
1.831,2026-01-15
1.78,2026-01-16
1.736,2026-01-19
1.694,2026-01-20
1.689,2026-01-21
1.719,2026-01-22
1.756,2026-01-23
