收盘,日期
108.007,2025-09-26
108.028,2025-09-29
108.153,2025-09-30
108.169,2025-10-09
108.133,2025-10-10
108.14,2025-10-13
108.174,2025-10-14
108.151,2025-10-15
108.181,2025-10-16
108.212,2025-10-17
108.175,2025-10-20
108.2,2025-10-21
108.198,2025-10-22
108.19,2025-10-23
108.214,2025-10-24
108.214,2025-10-27
108.326,2025-10-28
108.422,2025-10-29
108.422,2025-10-30
108.49,2025-10-31
108.471,2025-11-03
108.471,2025-11-04
108.478,2025-11-05
108.43,2025-11-06
108.41,2025-11-07
108.401,2025-11-10
108.445,2025-11-11
108.48,2025-11-12
108.462,2025-11-13
108.485,2025-11-14
108.51,2025-11-17
108.496,2025-11-18
108.493,2025-11-19
108.493,2025-11-20
108.507,2025-11-21
108.518,2025-11-24
108.535,2025-11-25
108.474,2025-11-26
108.478,2025-11-27
108.492,2025-11-28
108.525,2025-12-01
108.514,2025-12-02
108.516,2025-12-03
108.401,2025-12-04
108.449,2025-12-05
108.443,2025-12-08
108.493,2025-12-09
108.529,2025-12-10
108.562,2025-12-11
108.57,2025-12-12
108.544,2025-12-15
108.553,2025-12-16
108.587,2025-12-17
108.63,2025-12-18
108.648,2025-12-19
108.634,2025-12-22
108.701,2025-12-23
108.666,2025-12-24
108.689,2025-12-25
108.71,2025-12-26
108.623,2025-12-29
108.633,2025-12-30
108.669,2025-12-31
108.541,2026-01-05
108.578,2026-01-06
108.558,2026-01-07
108.606,2026-01-08
108.637,2026-01-09
108.673,2026-01-12
108.662,2026-01-13
108.624,2026-01-14
108.66,2026-01-15
108.726,2026-01-16
108.766,2026-01-19
108.785,2026-01-20
108.74,2026-01-21
108.743,2026-01-22
108.751,2026-01-23
