收盘,日期
1.196,2025-09-26
1.2,2025-09-29
1.234,2025-09-30
1.248,2025-10-09
1.233,2025-10-10
1.249,2025-10-13
1.233,2025-10-14
1.23,2025-10-15
1.218,2025-10-16
1.177,2025-10-17
1.18,2025-10-20
1.196,2025-10-21
1.182,2025-10-22
1.178,2025-10-23
1.208,2025-10-24
1.222,2025-10-27
1.236,2025-10-28
1.243,2025-10-29
1.219,2025-10-30
1.204,2025-10-31
1.212,2025-11-03
1.195,2025-11-04
1.193,2025-11-05
1.203,2025-11-06
1.195,2025-11-07
1.193,2025-11-10
1.181,2025-11-11
1.17,2025-11-12
1.179,2025-11-13
1.174,2025-11-14
1.188,2025-11-17
1.172,2025-11-18
1.178,2025-11-19
1.165,2025-11-20
1.142,2025-11-21
1.188,2025-11-24
1.182,2025-11-25
1.16,2025-11-26
1.158,2025-11-27
1.172,2025-11-28
1.184,2025-12-01
1.181,2025-12-02
1.169,2025-12-03
1.176,2025-12-04
1.204,2025-12-05
1.216,2025-12-08
1.215,2025-12-09
1.225,2025-12-10
1.22,2025-12-11
1.233,2025-12-12
1.245,2025-12-15
1.226,2025-12-16
1.226,2025-12-17
1.239,2025-12-18
1.255,2025-12-19
1.262,2025-12-22
1.243,2025-12-23
1.278,2025-12-24
1.317,2025-12-25
1.332,2025-12-26
1.35,2025-12-29
1.34,2025-12-30
1.373,2025-12-31
1.407,2026-01-05
1.453,2026-01-06
1.44,2026-01-07
1.505,2026-01-08
1.567,2026-01-09
1.682,2026-01-12
1.552,2026-01-13
1.563,2026-01-14
1.503,2026-01-15
1.495,2026-01-16
1.526,2026-01-19
1.477,2026-01-20
1.479,2026-01-21
1.526,2026-01-22
1.574,2026-01-23
